_INDEX,EXP:int,EXPTotal:int,Reward1:id,#Name1:string,RewardNum1:int,Reward2:id,#Name2:string,RewardNum2:int,Reward3:id,RewardNum3:int,Reward4:id,RewardNum4:int,Reward5:id,RewardNum5:int
0,350,350,ITEM_CRYSTAL,黄金波利,200,ITEM_GOLD,Zeny,10000000,,,,,,
1,500,850,ITEM_CRYSTAL,黄金波利,200,ITEM_BATTLE_SOUL,魔魂,2000000,,,,,,
2,650,1500,ITEM_CRYSTAL,黄金波利,200,ITEM_BANQUET_TICKET,招募券,20,,,,,,
3,750,2250,ITEM_CRYSTAL,黄金波利,1500,ITEM_MONSTER_SPLINTER_RPS_SS,SS碎片,60,,,,,,
4,850,3100,ITEM_CRYSTAL,黄金波利,200,ITEM_SPAR_SUPER_BOX_TICKET,至尊券,2,,,,,,
5,950,4050,ITEM_CRYSTAL,黄金波利,200,ITEM_OPTIONAL_SUPER_RESCOURCE,超级可选资源宝箱,1,,,,,,
6,1000,5050,ITEM_CRYSTAL,黄金波利,200,ITEM_BANQUET_TICKET,招募券,20,,,,,,
7,1100,6150,ITEM_CRYSTAL,黄金波利,2000,ITEM_OPTIONAL_SS_MONSTER_RPS,三阵营可选SS,1,,,,,,
8,1150,7300,ITEM_CRYSTAL,黄金波利,200,ITEM_SPAR_SUPER_BOX_TICKET,至尊券,3,,,,,,
9,1250,8550,ITEM_CRYSTAL,黄金波利,200,ITEM_BANQUET_TICKET,招募券,20,,,,,,
10,1300,9850,ITEM_CRYSTAL,黄金波利,200,ITEM_OPTIONAL_EGGYRA_RPS,三阵营可选蛋,3,,,,,,
11,1350,11200,ITEM_CRYSTAL,黄金波利,2500,ITEM_OPTIONAL_SS_MONSTER_ALL,全阵营可选SS,1,,,,,,
12,1450,12650,ITEM_CRYSTAL,黄金波利,200,ITEM_SPAR_SUPER_BOX_TICKET,至尊券,4,,,,,,
13,1500,14150,ITEM_CRYSTAL,黄金波利,200,ITEM_BANQUET_TICKET,招募券,30,,,,,,
14,1550,15700,ITEM_CRYSTAL,黄金波利,200,ITEM_OPTIONAL_EGGYRA_ALL,全阵营可选蛋,4,ITEM_COLLECTION_PAINTING_15,1,,,,
15,1600,17300,ITEM_CRYSTAL,黄金波利,3000,ITEM_MONSTER_SPLINTER_RPS_SS,SS碎片,120,,,,,,
16,1650,18950,ITEM_CRYSTAL,黄金波利,200,ITEM_SPAR_SUPER_BOX_TICKET,至尊券,5,,,,,,
17,1700,20650,ITEM_CRYSTAL,黄金波利,200,ITEM_BANQUET_TICKET,招募券,30,,,,,,
18,1750,22400,ITEM_CRYSTAL,黄金波利,200,ITEM_OPTIONAL_EGGYRA_RPS,三阵营可选蛋,5,,,,,,
19,1800,24200,ITEM_CRYSTAL,黄金波利,3500,ITEM_OPTIONAL_SS_MONSTER_RPS,三阵营可选SS,2,ITEM_COLLECTION_MUSIC_BGM_RO_ACHIEVE_LV,1,,,,
20,1850,26050,ITEM_CRYSTAL,黄金波利,200,ITEM_SPAR_SUPER_BOX_TICKET,至尊券,6,,,,,,
21,1900,27950,ITEM_CRYSTAL,黄金波利,200,ITEM_BANQUET_TICKET,招募券,30,,,,,,
22,1950,29900,ITEM_CRYSTAL,黄金波利,200,ITEM_OPTIONAL_EGGYRA_ALL,全阵营可选蛋,6,,,,,,
23,2000,31900,ITEM_CRYSTAL,黄金波利,4000,ITEM_OPTIONAL_SS_MONSTER_RPS,三阵营可选SS,3,,,,,,
24,2050,33950,ITEM_CRYSTAL,黄金波利,5000,ITEM_OPTIONAL_SS_MONSTER_ALL,全阵营可选SS,1,ITEM_COLLECTION_PAINTING_16,1,,,,
25,2100,36050,ITEM_CRYSTAL,黄金波利,200,ITEM_BANQUET_TICKET,招募券,40,,,,,,
26,2150,38200,ITEM_CRYSTAL,黄金波利,200,ITEM_OPTIONAL_EGGYRA_ALL,全阵营可选蛋,7,,,,,,
27,2200,40400,ITEM_CRYSTAL,黄金波利,4500,ITEM_MONSTER_SPLINTER_RPS_SS,SS碎片,180,,,,,,
28,2250,42650,ITEM_CRYSTAL,黄金波利,200,ITEM_SPAR_SUPER_BOX_TICKET,至尊券,10,,,,,,
29,2300,44950,ITEM_CRYSTAL,黄金波利,200,ITEM_OPTIONAL_EGGYRA_ALL,全阵营可选蛋,8,ITEM_COLLECTION_PAINTING_17,1,,,,
30,2350,47300,ITEM_CRYSTAL,黄金波利,200,ITEM_OPTIONAL_SS_MONSTER_RPS,三阵营可选SS,3,,,,,,
31,2400,49700,ITEM_CRYSTAL,黄金波利,5000,ITEM_BANQUET_TICKET,招募券,50,,,,,,
32,2450,52150,ITEM_CRYSTAL,黄金波利,200,ITEM_OPTIONAL_EGGYRA_ALL,全阵营可选蛋,9,,,,,,
33,2500,54650,ITEM_CRYSTAL,黄金波利,200,ITEM_OPTIONAL_SS_MONSTER_ALL,全阵营可选SS,2,ITEM_OPTIONAL_SS_MONSTER_RPS,1,,,,
34,2550,57200,ITEM_CRYSTAL,黄金波利,6000,ITEM_OPTIONAL_SS_MONSTER_ALL,全阵营可选SS,3,ITEM_COLLECTION_MUSIC_BGM_RO_ACHIEVE_LV_2,1,,,,
