_ID,_VALUE,Name:loc,Quest:id[],#Name:string,Reward:id[],RewardNum:int[],NeedFinishQuest:int[]
ACHIEVE_QUEST_ADVENTURE_LV,1,LOC_ACHIEVE_QUEST_SMALL_TITLE_ADVENTURE_LV,ACHIEVE_QUEST_LV_1,玩家等级达到{0}级,ITEM_COLLECTION_BADGE_ADVENTURE_LV_1,1,4
,,,ACHIEVE_QUEST_LV_2,玩家等级达到{0}级,ITEM_COLLECTION_BADGE_ADVENTURE_LV_2,1,7
,,,ACHIEVE_QUEST_LV_3,玩家等级达到{0}级,ITEM_COLLECTION_BADGE_ADVENTURE_LV_3,1,10
,,,ACHIEVE_QUEST_LV_4,玩家等级达到{0}级,,,
,,,ACHIEVE_QUEST_LV_5,玩家等级达到{0}级,,,
,,,ACHIEVE_QUEST_LV_6,玩家等级达到{0}级,,,
,,,ACHIEVE_QUEST_LV_7,玩家等级达到{0}级,,,
,,,ACHIEVE_QUEST_LV_8,玩家等级达到{0}级,,,
,,,ACHIEVE_QUEST_LV_9,玩家等级达到{0}级,,,
,,,ACHIEVE_QUEST_LV_10,玩家等级达到{0}级,,,
ACHIEVE_QUEST_ADVENTURE_ADVENTURE,2,LOC_ACHIEVE_QUEST_SMALL_TITLE_ADVENTURE_ADVENTURE,ACHIEVE_QUEST_ADVENTURE_1,通过主线第{2}章,ITEM_COLLECTION_BADGE_ADVENTURE_ADVENTURE_1,1,4
,,,ACHIEVE_QUEST_ADVENTURE_2,通过主线第{2}章,ITEM_COLLECTION_BADGE_ADVENTURE_ADVENTURE_2,1,7
,,,ACHIEVE_QUEST_ADVENTURE_3,通过主线第{2}章,ITEM_COLLECTION_BADGE_ADVENTURE_ADVENTURE_3,1,10
,,,ACHIEVE_QUEST_ADVENTURE_4,通过主线第{2}章,,,
,,,ACHIEVE_QUEST_ADVENTURE_5,通过主线第{2}章,,,
,,,ACHIEVE_QUEST_ADVENTURE_6,通过主线第{2}章,,,
,,,ACHIEVE_QUEST_ADVENTURE_7,通过主线第{2}章,,,
,,,ACHIEVE_QUEST_ADVENTURE_8,通过主线第{2}章,,,
,,,ACHIEVE_QUEST_ADVENTURE_9,通过主线第{2}章,,,
,,,ACHIEVE_QUEST_ADVENTURE_10,通过主线第{2}章,,,
ACHIEVE_QUEST_ADVENTURE_DAILY_QUEST,3,LOC_ACHIEVE_QUEST_SMALL_TITLE_ADVENTURE_DAILY_QUEST,ACHIEVE_QUEST_DAILY_QUEST_1,累计完成{0}个每日任务,ITEM_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_1,1,4
,,,ACHIEVE_QUEST_DAILY_QUEST_2,累计完成{0}个每日任务,ITEM_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_2,1,8
,,,ACHIEVE_QUEST_DAILY_QUEST_3,累计完成{0}个每日任务,ITEM_COLLECTION_BADGE_ADVENTURE_DAILY_QUEST_3,1,12
,,,ACHIEVE_QUEST_DAILY_QUEST_4,累计完成{0}个每日任务,,,
,,,ACHIEVE_QUEST_DAILY_QUEST_5,累计完成{0}个每日任务,,,
,,,ACHIEVE_QUEST_DAILY_QUEST_6,累计完成{0}个每日任务,,,
,,,ACHIEVE_QUEST_LOGIN_1,累计登录游戏{0}天,,,
,,,ACHIEVE_QUEST_LOGIN_2,累计登录游戏{0}天,,,
,,,ACHIEVE_QUEST_LOGIN_3,累计登录游戏{0}天,,,
,,,ACHIEVE_QUEST_LOGIN_4,累计登录游戏{0}天,,,
,,,ACHIEVE_QUEST_LOGIN_5,累计登录游戏{0}天,,,
,,,ACHIEVE_QUEST_LOGIN_6,累计登录游戏{0}天,,,
ACHIEVE_QUEST_ADVENTURE_CHALLENGE,4,LOC_ACHIEVE_QUEST_SMALL_TITLE_ADVENTURE_CHALLENGE,ACHIEVE_QUEST_JIFENTOWER_1,吉芬塔到达第{1}层,ITEM_COLLECTION_BADGE_ADVENTURE_CHALLENGE_1,1,6
,,,ACHIEVE_QUEST_JIFENTOWER_2,吉芬塔到达第{1}层,ITEM_COLLECTION_BADGE_ADVENTURE_CHALLENGE_2,1,12
,,,ACHIEVE_QUEST_JIFENTOWER_3,吉芬塔到达第{1}层,ITEM_COLLECTION_BADGE_ADVENTURE_CHALLENGE_3,1,19
,,,ACHIEVE_QUEST_JIFENTOWER_4,吉芬塔到达第{1}层,,,
,,,ACHIEVE_QUEST_GUYONGMAO_ZENY_1,Zeny大作战通关精英难度,,,
,,,ACHIEVE_QUEST_GUYONGMAO_ZENY_2,Zeny大作战通关大师难度,,,
,,,ACHIEVE_QUEST_GUYONGMAO_SOUL_1,魔魂试炼通关精英难度,,,
,,,ACHIEVE_QUEST_GUYONGMAO_SOUL_2,魔魂试炼通关大师难度,,,
,,,ACHIEVE_QUEST_GUYONGMAO_TALENT_1,天赋果实园通关精英难度,,,
,,,ACHIEVE_QUEST_GUYONGMAO_TALENT_2,天赋果实园通关大师难度,,,
,,,ACHIEVE_QUEST_DOJO_1,道场挑战通过第{1}关,,,
,,,ACHIEVE_QUEST_DOJO_2,道场挑战通过第{1}关,,,
,,,ACHIEVE_QUEST_GOD_1,神之守护兽累计获得{0}颗星,,,
,,,ACHIEVE_QUEST_GOD_2,神之守护兽累计获得{0}颗星,,,
,,,ACHIEVE_QUEST_GOD_3,神之守护兽累计获得{0}颗星,,,
,,,ACHIEVE_QUEST_WORLD_MVP_TOTAL_1,对世界MVP累计造成{0}M点伤害,,,
,,,ACHIEVE_QUEST_WORLD_MVP_TOTAL_2,对世界MVP累计造成{0}M点伤害,,,
,,,ACHIEVE_QUEST_WORLD_MVP_ONCE_1,对世界MVP单次造成{0}M点伤害,,,
,,,ACHIEVE_QUEST_WORLD_MVP_ONCE_2,对世界MVP单次造成{0}M点伤害,,,
ACHIEVE_QUEST_ADVENTURE_CHALLENGE_ADVANCED,5,LOC_ACHIEVE_QUEST_SMALL_TITLE_ADVENTURE_CHALLENGE_ADVANCED,ACHIEVE_QUEST_JIFENTOWER_5,吉芬塔到达第{1}层,ITEM_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_1,1,6
,,,ACHIEVE_QUEST_JIFENTOWER_6,吉芬塔到达第{1}层,ITEM_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_2,1,12
,,,ACHIEVE_QUEST_JIFENTOWER_7,吉芬塔到达第{1}层,ITEM_COLLECTION_BADGE_ADVENTURE_CHALLENGE_ADVANCED_3,1,19
,,,ACHIEVE_QUEST_JIFENTOWER_8,吉芬塔到达第{1}层,,,
,,,ACHIEVE_QUEST_GUYONGMAO_ZENY_3,Zeny大作战通关噩梦难度,,,
,,,ACHIEVE_QUEST_GUYONGMAO_ZENY_4,Zeny大作战通关地狱难度,,,
,,,ACHIEVE_QUEST_GUYONGMAO_SOUL_3,魔魂试炼通关噩梦难度,,,
,,,ACHIEVE_QUEST_GUYONGMAO_SOUL_4,魔魂试炼通关地狱难度,,,
,,,ACHIEVE_QUEST_GUYONGMAO_TALENT_3,天赋果实园通关噩梦难度,,,
,,,ACHIEVE_QUEST_GUYONGMAO_TALENT_4,天赋果实园通关地狱难度,,,
,,,ACHIEVE_QUEST_DOJO_3,道场挑战通过第{1}关,,,
,,,ACHIEVE_QUEST_DOJO_4,道场挑战通过第{1}关,,,
,,,ACHIEVE_QUEST_GOD_4,神之守护兽累计获得{0}颗星,,,
,,,ACHIEVE_QUEST_GOD_5,神之守护兽累计获得{0}颗星,,,
,,,ACHIEVE_QUEST_GOD_6,神之守护兽累计获得{0}颗星,,,
,,,ACHIEVE_QUEST_WORLD_MVP_TOTAL_3,对世界MVP累计造成{0}M点伤害,,,
,,,ACHIEVE_QUEST_WORLD_MVP_TOTAL_4,对世界MVP累计造成{0}M点伤害,,,
,,,ACHIEVE_QUEST_WORLD_MVP_ONCE_3,对世界MVP单次造成{0}M点伤害,,,
,,,ACHIEVE_QUEST_WORLD_MVP_ONCE_4,对世界MVP单次造成{0}M点伤害,,,
ACHIEVE_QUEST_ADVENTURE_ACHIEVE,6,LOC_ACHIEVE_QUEST_SMALL_TITLE_ADVENTURE_ACHIEVE,ACHIEVE_QUEST_ACHIEVE_1,累计完成{0}个成就任务,ITEM_COLLECTION_BADGE_ADVENTURE_ACHIEVE_1,1,1
,,,ACHIEVE_QUEST_ACHIEVE_2,累计完成{0}个成就任务,ITEM_COLLECTION_BADGE_ADVENTURE_ACHIEVE_2,1,2
,,,ACHIEVE_QUEST_ACHIEVE_3,累计完成{0}个成就任务,ITEM_COLLECTION_BADGE_ADVENTURE_ACHIEVE_3,1,3
ACHIEVE_QUEST_GROW_MONSTER_HATCH,7,LOC_ACHIEVE_QUEST_SMALL_TITLE_GROW_MONSTER_HATCH,ACHIEVE_QUEST_UNLOCK_MONSTER_1,累计解锁{0}个魔物,ITEM_COLLECTION_BADGE_GROW_MONSTER_HATCH_1,1,6
,,,ACHIEVE_QUEST_UNLOCK_MONSTER_2,累计解锁{0}个魔物,ITEM_COLLECTION_BADGE_GROW_MONSTER_HATCH_2,1,12
,,,ACHIEVE_QUEST_UNLOCK_MONSTER_3,累计解锁{0}个魔物,ITEM_COLLECTION_BADGE_GROW_MONSTER_HATCH_3,1,19
,,,ACHIEVE_QUEST_UNLOCK_MONSTER_4,累计解锁{0}个魔物,,,
,,,ACHIEVE_QUEST_UNLOCK_MONSTER_5,累计解锁{0}个魔物,,,
,,,ACHIEVE_QUEST_UNLOCK_MONSTER_6,累计解锁{0}个魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_B_1,累计获得{0}个B级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_B_2,累计获得{0}个B级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_B_3,累计获得{0}个B级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_A_1,累计获得{0}个A级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_A_2,累计获得{0}个A级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_A_3,累计获得{0}个A级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_S_1,累计获得{0}个S级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_S_2,累计获得{0}个S级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_S_3,累计获得{0}个S级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_SS_1,累计获得{0}个SS级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_SS_2,累计获得{0}个SS级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_SS_3,累计获得{0}个SS级魔物,,,
,,,ACHIEVE_QUEST_GET_MONSTER_SS_4,累计获得{0}个SS级魔物,,,
