_ID,_VALUE,Name:loc,PictureName:string,Quest:id[]
ACHIEVEMENT_QUEST_TYPE_ADVENTURE,1,LOC_ACHIEVE_QUEST_BIG_TITLE_ADVENTURE,BTN_Achievement_Sort_01,ACHIEVE_QUEST_ADVENTURE_LV
,,,,ACHIEVE_QUEST_ADVENTURE_ADVENTURE
,,,,ACHIEVE_QUEST_ADVENTURE_DAILY_QUEST
,,,,ACHIEVE_QUEST_ADVENTURE_CHALLENGE
,,,,ACHIEVE_QUEST_ADVENTURE_CHALLENGE_ADVANCED
,,,,ACHIEVE_QUEST_ADVENTURE_ACHIEVE
ACHIEVEMENT_QUEST_TYPE_GROW,2,LOC_ACHIEVE_QUEST_BIG_TITLE_GROW,BTN_Achievement_Sort_01-1,ACHIEVE_QUEST_GROW_MONSTER_HATCH
,,,,ACHIEVE_QUEST_GROW_MONSTER_STRONGTHEN
,,,,ACHIEVE_QUEST_GROW_EQUIP_STRONGTHEN
,,,,ACHIEVE_QUEST_GROW_EQUIP_ADVANCED
ACHIEVEMENT_QUEST_TYPE_PVP,3,LOC_ACHIEVE_QUEST_BIG_TITLE_PVP,BTN_Achievement_Sort_01-2,ACHIEVE_QUEST_PVP_WIN_NUM
,,,,ACHIEVE_QUEST_PVP_RANK
ACHIEVEMENT_QUEST_TYPE_GUILD,4,LOC_ACHIEVE_QUEST_BIG_TITLE_GUILD,BTN_Achievement_Sort_01-3,ACHIEVE_QUEST_GUILD_TECHNOLOGY
,,,,ACHIEVE_QUEST_GUILD_BATTLE
,,,,ACHIEVE_QUEST_GUILD_RIGHT
ACHIEVEMENT_QUEST_TYPE_OTHER,5,LOC_ACHIEVE_QUEST_BIG_TITLE_OTHER,BTN_Achievement_Sort_01-4,ACHIEVE_QUEST_OTHER_SHOPPING
,,,,ACHIEVE_QUEST_OTHER_COLLECT
,,,,ACHIEVE_QUEST_OTHER_FRIEND
,,,,ACHIEVE_QUEST_OTHER_SPECIAL
