_ID,_VALUE,Name:loc,StartTime:int,EndTime:int,OpenTime:int,Sort:int,Type:int,UnlockLv:int,Day:int[],FinishQuest:int[],NeedFinishQuest:bool[],Reward1:id[],RewardNum1:int[],Reward2:id[],RewardNum2:int[],Reward3:id[],RewardNum3:int[]
ACTIVITY_LOGIN_REWARD_1,1,LOC_3_1_ACTIVITY_LOGIN_REWARD_RULE_TITLE_1,1595451600,1597870800,9,1,1,5,1,9,True,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,2,9,True,ITEM_SPAR_SUPER_BOX_TICKET,2,None,0,None,0
,,,,,,,,,3,9,True,ITEM_BANQUET_TICKET,10,None,0,None,0
,,,,,,,,,4,9,True,ITEM_OPTIONAL_EGGYRA_RPS,1,None,0,None,0
,,,,,,,,,5,9,True,ITEM_CRYSTAL,1000,None,0,None,0
,,,,,,,,,6,9,True,ITEM_EXCLUSIVE_WASH,15,None,0,None,0
,,,,,,,,,7,9,True,ITEM_MONSTER_SPLINTER_RPS_SS,60,ITEM_COLLECTION_MUSIC_BGM_ACTIVITY_LOGIN_REWARD,1,None,0
ACTIVITY_LOGIN_REWARD_2,2,LOC_3_1_ACTIVITY_LOGIN_REWARD_RULE_TITLE_1,1594846800,1595451600,7,2,2,5,1,100,False,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,2,100,False,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,3,100,False,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,4,100,False,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,5,100,False,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,6,100,False,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,7,100,False,ITEM_CRYSTAL,500,None,0,None,0
ACTIVITY_LOGIN_REWARD_3,3,LOC_3_1_ACTIVITY_LOGIN_REWARD_RULE_TITLE_1,1893427200,1893513600,9,1,1,5,1,9,True,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,2,9,True,ITEM_SPAR_SUPER_BOX_TICKET,2,None,0,None,0
,,,,,,,,,3,9,True,ITEM_BANQUET_TICKET,10,None,0,None,0
,,,,,,,,,4,9,True,ITEM_OPTIONAL_EGGYRA_RPS,1,None,0,None,0
,,,,,,,,,5,9,True,ITEM_CRYSTAL,1000,None,0,None,0
,,,,,,,,,6,9,True,ITEM_EXCLUSIVE_WASH,15,None,0,None,0
,,,,,,,,,7,9,True,ITEM_MONSTER_SPLINTER_RPS_SS,60,ITEM_COLLECTION_MUSIC_BGM_ACTIVITY_LOGIN_REWARD,1,None,0
ACTIVITY_LOGIN_REWARD_4,4,LOC_3_1_ACTIVITY_LOGIN_REWARD_RULE_TITLE_1,1893427200,1893513600,7,2,2,5,1,100,False,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,2,100,False,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,3,100,False,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,4,100,False,ITEM_CRYSTAL,500,None,0,None,0
,,,,,,,,,5,100,False,ITEM_CRYSTAL,500,None,0,None,0
