_ID,_VALUE,TechnologyType:string,Icon:string,Sort:int,UnlockParam:int,LevelupCondition:id,AttributeTarget:string[],Type:string[],AttrType:string[],AttrBuffType:string[],AttrNum:obsint[],AttrGrowthNum:obsint[],AttrDes:loc[],Power:int[],PowerGrowth:int[]
ALCHEMY_TECHNOLOGY_101,101,ELEMENT_TYPE_WATER,icon_Alchemy_Skill_Water_1,1,0,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_201,hero,Attribute,HP,Percentage,50,50,LOC_TECHNOLOGY_ATTR_DES_HERO_HP,16,16
ALCHEMY_TECHNOLOGY_102,102,ELEMENT_TYPE_WATER,icon_Alchemy_Skill_Water_2,2,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_202,character,Attribute,HP,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_HP,26,26
ALCHEMY_TECHNOLOGY_103,103,ELEMENT_TYPE_WATER,icon_Alchemy_Skill_Water_3,3,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_203,hero,Attribute,Damage,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_DAMAGE,29,29
,,,,,,,hero,Attribute,Magic,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_MAGIC,0,0
ALCHEMY_TECHNOLOGY_104,104,ELEMENT_TYPE_WATER,icon_Alchemy_Skill_Water_4,4,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_204,character,Attribute,Damage,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_DAMAGE,33,33
,,,,,,,character,Attribute,Magic,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_MAGIC,0,0
ALCHEMY_TECHNOLOGY_105,105,ELEMENT_TYPE_WATER,icon_Alchemy_Skill_Water_5,5,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_205,corps,Attribute,HP,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_CORPS_HP,29,29
ALCHEMY_TECHNOLOGY_106,106,ELEMENT_TYPE_WATER,icon_Alchemy_Skill_Water_6,6,5,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_206,corps,Attribute,Armor,Percentage,120,120,LOC_TECHNOLOGY_ATTR_DES_CORPS_ARMOR,39,39
,,,,,,,corps,Attribute,MagicDef,Percentage,120,120,LOC_TECHNOLOGY_ATTR_DES_CORPS_MAGIC_DEF,0,0
ALCHEMY_TECHNOLOGY_201,201,ELEMENT_TYPE_WIND,icon_Alchemy_Skill_Wind_1,1,0,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_201,hero,Attribute,HP,Percentage,50,50,LOC_TECHNOLOGY_ATTR_DES_HERO_HP,16,16
ALCHEMY_TECHNOLOGY_202,202,ELEMENT_TYPE_WIND,icon_Alchemy_Skill_Wind_2,2,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_202,character,Attribute,HP,Percentage,80,80,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_HP,26,26
ALCHEMY_TECHNOLOGY_203,203,ELEMENT_TYPE_WIND,icon_Alchemy_Skill_Wind_3,3,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_203,hero,Attribute,Damage,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_DAMAGE,29,29
,,,,,,,hero,Attribute,Magic,Percentage,90,90,LOC_TECHNOLOGY_ATTR_DES_HERO_MAGIC,0,0
ALCHEMY_TECHNOLOGY_204,204,ELEMENT_TYPE_WIND,icon_Alchemy_Skill_Wind_4,4,10,ALCHEMY_TECHNOLOGY_LEVLE_ARMS_204,character,Attribute,Damage,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_DAMAGE,33,33
,,,,,,,character,Attribute,Magic,Percentage,100,100,LOC_TECHNOLOGY_ATTR_DES_CHARACTER_MAGIC,0,0
