_ID,_VALUE,TechnologyLevel:int[],UpgradeStoneCost:int[],UpgradeGoldCost:int[],ConditionType:string[],ConditionParam:int[]
ALCHEMY_TECHNOLOGY_LEVLE_ARMS_201,201,1,20,5000,None,0
,,2,40,10000,None,0
,,3,60,15000,None,0
,,4,80,20000,None,0
,,5,100,30000,None,0
,,6,120,40000,None,0
,,7,140,50000,None,0
,,8,160,60000,None,0
,,9,180,70000,None,0
,,10,200,80000,None,0
,,11,300,90000,PlayerLevel,48
,,12,400,100000,None,0
,,13,500,150000,None,0
,,14,600,200000,None,0
,,15,700,250000,None,0
,,16,800,300000,None,0
,,17,900,400000,None,0
,,18,1000,500000,None,0
,,19,1200,600000,None,0
,,20,1400,700000,None,0
,,21,1600,800000,PlayerLevel,58
,,22,1800,900000,None,0
,,23,2000,1000000,None,0
,,24,2200,1200000,None,0
,,25,2400,1400000,None,0
,,26,2600,1600000,None,0
,,27,2800,1800000,None,0
,,28,3000,2000000,None,0
,,29,3200,2200000,None,0
,,30,3400,2400000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_ARMS_202,202,1,40,10000,None,0
,,2,60,20000,None,0
,,3,80,30000,None,0
,,4,100,40000,None,0
,,5,160,50000,None,0
,,6,200,100000,None,0
,,7,400,150000,None,0
,,8,600,200000,None,0
,,9,800,250000,None,0
,,10,1000,300000,None,0
,,11,1200,400000,PlayerLevel,50
,,12,1400,500000,None,0
,,13,1600,600000,None,0
,,14,1800,800000,None,0
,,15,2000,1000000,None,0
,,16,2500,1500000,None,0
,,17,3000,2000000,None,0
,,18,3500,2500000,None,0
,,19,4000,3000000,None,0
,,20,4500,4000000,None,0
,,21,5000,5000000,PlayerLevel,60
,,22,5500,6000000,None,0
,,23,6000,7000000,None,0
,,24,6500,8000000,None,0
,,25,7000,9000000,None,0
ALCHEMY_TECHNOLOGY_LEVLE_ARMS_203,203,1,500,100000,None,0
,,2,1000,200000,None,0
,,3,1500,300000,None,0
,,4,2000,500000,None,0
,,5,2500,1000000,None,0
,,6,3000,1500000,None,0
,,7,3500,2000000,None,0
,,8,4000,3000000,None,0
,,9,4500,4000000,None,0
,,10,5000,5000000,None,0
