_ID,_VALUE,#Name:string,AttackFrame:int[],TotalAttackFrame:int[],CastSkillBeginSlowTick:int,CastSkillEndSlowTick:int,CastSkillTick:int,CastSkillTotalTick:int,CastNexusTick:int,RandomValue:int
ANIMATION_BAREN,1,巴伦,19,38,13,15,17,45,2,8
,,,21,43,,,,,,
ANIMATION_HEART,2,哈特,12,28,0,0,21,41,17,8
,,,14,32,,,,,,
ANIMATION_RENA,3,蕾娜,10,33,0,0,26,40,2,8
,,,21,35,,,,,,
ANIMATION_DRAGON,4,多拉贡,9,25,9,11,13,31,2,8
,,,8,34,,,,,,
ANIMATION_KAREN,5,卡莲,27,45,0,0,22,72,2,8
,,,22,37,,,,,,
ANIMATION_BLACE,6,布雷斯,15,35,0,0,27,71,2,8
,,,23,39,,,,,,
ANIMATION_FOX,7,福克斯,10,27,0,0,21,41,2,8
,,,14,32,,,,,,
ANIMATION_SERPENT,8,白莲,10,33,0,0,20,41,1,8
,,,21,35,,,,,,
ANIMATION_GOAT,9,高特,28,45,0,0,20,75,28,8
,,,22,35,,,,,,
ANIMATION_SILI,10,茜莉,27,45,0,0,22,72,2,8
,,,22,37,,,,,,
ANIMATION_DORSEY,11,朵茜,13,29,0,0,20,82,2,8
,,,24,53,,,,,,
ANIMATION_NICK,12,尼克,16,32,0,0,20,41,2,8
,,,14,32,,,,,,
ANIMATION_UIEULE,13,乌莉,16,32,0,0,28,45,2,8
,,,13,30,,,,,,
ANIMATION_THEO,14,西奥,10,27,0,0,32,54,2,8
,,,15,31,,,,,,
ANIMATION_CHOLE,15,克洛,12,35,0,0,31,61,2,8
,,,17,48,,,,,,
ANIMATION_DEEYA,16,迪雅,12,31,0,0,32,58,2,8
,,,14,36,,,,,,
ANIMATION_LUKE,17,路克,14,34,0,0,14,45,2,8
,,,21,46,,,,,,
ANIMATION_GEERS,18,吉尔斯,13,33,0,0,12,155,2,8
,,,16,39,,,,,,
ANIMATION_HOLMLAR,19,霍姆拉,13,31,0,0,30,56,2,8
,,,17,36,,,,,,
ANIMATION_VALKYRIE,20,瓦尔基里,12,31,0,0,20,57,2,8
,,,14,33,,,,,,
ANIMATION_DESTROYER,21,破坏者,14,33,0,0,22,58,17,8
,,,17,36,,,,,,
ANIMATION_TIMPLANE,22,蒂姆战机,10,33,0,0,28,91,2,8
,,,16,28,,,,,,
ANIMATION_WOLER,23,沃尔,12,28,0,0,21,46,2,8
,,,14,37,,,,,,
ANIMATION_EMPEROR,24,恩派尔,14,34,0,0,19,49,2,8
,,,13,33,,,,,,
ANIMATION_GRIZZLY,25,格瑞兹,15,36,0,0,18,40,2,8
,,,15,35,,,,,,
ANIMATION_NESETA,26,妮瑟塔,10,33,10,13,26,40,2,8
,,,21,35,,,,,,
ANIMATION_CLARKE,27,科莱克,14,31,0,0,14,47,2,8
,,,14,35,,,,,,
ANIMATION_FURLA,28,芙拉,12,30,0,0,23,48,2,8
,,,14,36,,,,,,
ANIMATION_REOLLA,29,莉奥拉,10,28,0,0,30,50,2,8
,,,9,30,,,,,,
ANIMATION_ANGELA,30,安吉拉,14,25,0,0,36,48,2,8
,,,16,30,,,,,,
ANIMATION_FIZZER,31,未知,14,34,0,0,20,52,2,8
,,,14,34,,,,,,
ANIMATION_MADIER,32,未知,13,36,0,0,16,50,2,8
,,,15,37,,,,,,
ANIMATION_CASHMO,33,未知,13,33,0,0,17,41,2,8
,,,11,28,,,,,,
ANIMATION_IRRIDA,34,未知,13,26,0,0,21,42,2,8
,,,15,27,,,,,,
ANIMATION_WUYING,35,未知,16,36,0,0,30,72,2,8
,,,21,41,,,,,,
ANIMATION_BOULDER,36,未知,14,30,0,0,30,72,2,8
,,,14,32,,,,,,
ANIMATION_DRAKE,37,海盗之王,11,26,0,0,20,53,2,8
,,,14,31,,,,,,
