_ID,_VALUE,RankingFrom:int[],RankingTo:int[],OutputItem1:id[],OutputItem1Num:int[],OutputItem2:id[],OutputItem2Num:int[],OutputItem3:id[],OutputItem3Num:int[]
ARENA_RANK_REWARD,1,1,1,ITEM_CRYSTAL,550,ITEM_GOLD,100000,ITEM_ARENA_COIN,500
,,2,2,ITEM_CRYSTAL,500,ITEM_GOLD,95000,ITEM_ARENA_COIN,475
,,3,3,ITEM_CRYSTAL,450,ITEM_GOLD,90000,ITEM_ARENA_COIN,450
,,4,4,ITEM_CRYSTAL,400,ITEM_GOLD,85000,ITEM_ARENA_COIN,425
,,5,5,ITEM_CRYSTAL,350,ITEM_GOLD,80000,ITEM_ARENA_COIN,400
,,6,6,ITEM_CRYSTAL,340,ITEM_GOLD,75000,ITEM_ARENA_COIN,390
,,7,7,ITEM_CRYSTAL,330,ITEM_GOLD,70000,ITEM_ARENA_COIN,380
,,8,8,ITEM_CRYSTAL,320,ITEM_GOLD,65000,ITEM_ARENA_COIN,370
,,9,9,ITEM_CRYSTAL,310,ITEM_GOLD,60000,ITEM_ARENA_COIN,360
,,10,10,ITEM_CRYSTAL,300,ITEM_GOLD,55000,ITEM_ARENA_COIN,350
,,11,20,ITEM_CRYSTAL,250,ITEM_GOLD,50000,ITEM_ARENA_COIN,340
,,21,30,ITEM_CRYSTAL,200,ITEM_GOLD,45000,ITEM_ARENA_COIN,330
,,31,40,ITEM_CRYSTAL,150,ITEM_GOLD,40000,ITEM_ARENA_COIN,320
,,41,50,ITEM_CRYSTAL,130,ITEM_GOLD,35000,ITEM_ARENA_COIN,310
,,51,70,ITEM_CRYSTAL,110,ITEM_GOLD,30000,ITEM_ARENA_COIN,300
,,71,100,ITEM_CRYSTAL,100,ITEM_GOLD,27500,ITEM_ARENA_COIN,275
,,101,200,ITEM_CRYSTAL,90,ITEM_GOLD,25000,ITEM_ARENA_COIN,250
,,201,300,ITEM_CRYSTAL,80,ITEM_GOLD,22500,ITEM_ARENA_COIN,200
,,301,400,ITEM_CRYSTAL,70,ITEM_GOLD,20000,ITEM_ARENA_COIN,180
,,401,500,ITEM_CRYSTAL,60,ITEM_GOLD,18000,ITEM_ARENA_COIN,160
,,501,700,ITEM_CRYSTAL,55,ITEM_GOLD,16000,ITEM_ARENA_COIN,140
,,701,1000,ITEM_CRYSTAL,55,ITEM_GOLD,14000,ITEM_ARENA_COIN,120
,,1001,2000,ITEM_CRYSTAL,55,ITEM_GOLD,12000,ITEM_ARENA_COIN,100
,,2001,3000,ITEM_CRYSTAL,50,ITEM_GOLD,10000,ITEM_ARENA_COIN,50
,,3001,4000,ITEM_CRYSTAL,50,ITEM_GOLD,9000,ITEM_ARENA_COIN,40
,,4001,5000,ITEM_CRYSTAL,50,ITEM_GOLD,8000,ITEM_ARENA_COIN,30
,,5001,7000,ITEM_CRYSTAL,45,ITEM_GOLD,7000,ITEM_ARENA_COIN,20
,,7001,10000,ITEM_CRYSTAL,45,ITEM_GOLD,5000,ITEM_ARENA_COIN,10
,,10001,15000,ITEM_CRYSTAL,45,ITEM_GOLD,2500,ITEM_ARENA_COIN,5
