_ID,_VALUE,ArtifactLv:int[],AttributeType:string[][],AttributeNum:decimal[][],AttributeKind:string[][],PassiveBuff:id[],PassiveBuffLevel:int[],Cost:int[]
ARTIFACT_ATTRIBUTE_1,1,1,HP,0.1,Percentage,ARTIFACT_THOR_HAMMER,1,2
,,2,HP,0.12,Percentage,ARTIFACT_THOR_HAMMER,1,2
,,3,HP#Damage#Magic,0.12#0.03#0.03,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,1,2
,,4,HP#Damage#Magic,0.15#0.03#0.03,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,1,2
,,5,HP#Damage#Magic,0.15#0.05#0.05,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,1,2
,,6,HP#Damage#Magic,0.18#0.05#0.05,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,2,2
,,7,HP#Damage#Magic,0.2#0.1#0.1,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,2,2
,,8,HP#Damage#Magic,0.25#0.1#0.1,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,2,2
,,9,HP#Damage#Magic,0.25#0.15#0.15,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,2,2
,,10,HP#Damage#Magic,0.3#0.15#0.15,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,2,2
,,11,HP#Damage#Magic,0.3#0.2#0.2,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,3,2
,,12,HP#Damage#Magic,0.36#0.2#0.2,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,3,2
,,13,HP#Damage#Magic,0.36#0.24#0.24,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,3,2
,,14,HP#Damage#Magic,0.42#0.24#0.24,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,3,2
,,15,HP#Damage#Magic,0.42#0.28#0.28,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,3,2
,,16,HP#Damage#Magic,0.48#0.28#0.28,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,4,2
,,17,HP#Damage#Magic,0.48#0.32#0.32,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,4,2
,,18,HP#Damage#Magic,0.52#0.32#0.32,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,4,2
,,19,HP#Damage#Magic,0.52#0.36#0.36,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,4,2
,,20,HP#Damage#Magic,0.6#0.36#0.36,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,4,2
,,21,HP#Damage#Magic,0.6#0.4#0.4,Percentage#Percentage#Percentage,ARTIFACT_THOR_HAMMER,5,2
ARTIFACT_ATTRIBUTE_2,2,1,HP,0.1,Percentage,ARTIFACT_SLEIPNIR_BOOTS,1,4
,,2,HP,0.12,Percentage,ARTIFACT_SLEIPNIR_BOOTS,1,4
,,3,HP#ArmorPenetration#MagicPenetration,0.14#35#35,Percentage#Constant#Constant,ARTIFACT_SLEIPNIR_BOOTS,1,4
