_ID,_VALUE,ArtifactLv:int[],ZenyConsume:int[],Item1:id[],Number1:int[],Item2:id[],Number2:int[],Item3:id[],Number3:int[],Item4:id[],Number4:int[],Item5:id[],Number5:int[],Model:string[]
ARTIFACT_STRENGTHEN_1,1,0,20000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,30,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_1,190,ITEM_ARTIFACT_MATERIAL_BASIC_2,190,Mjolnir
,,1,25000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Mjolnir
,,2,30000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Mjolnir
,,3,35000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Mjolnir
,,4,40000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,5,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,10,ITEM_ARTIFACT_MATERIAL_BASIC_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_2,30,Mjolnir
,,5,50000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,10,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,20,ITEM_ARTIFACT_MATERIAL_BASIC_1,60,ITEM_ARTIFACT_MATERIAL_BASIC_2,60,Mjolnir_Evolve_1
,,6,60000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,15,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,30,ITEM_ARTIFACT_MATERIAL_BASIC_1,90,ITEM_ARTIFACT_MATERIAL_BASIC_2,90,Mjolnir_Evolve_1
,,7,70000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,20,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,40,ITEM_ARTIFACT_MATERIAL_BASIC_1,120,ITEM_ARTIFACT_MATERIAL_BASIC_2,120,Mjolnir_Evolve_1
,,8,80000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,25,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,50,ITEM_ARTIFACT_MATERIAL_BASIC_1,150,ITEM_ARTIFACT_MATERIAL_BASIC_2,150,Mjolnir_Evolve_1
,,9,90000000,None,0,ITEM_ARTIFACT_MATERIAL_ADVANCED_1,35,ITEM_ARTIFACT_MATERIAL_INTERMEDIATE_1,70,ITEM_ARTIFACT_MATERIAL_BASIC_1,210,ITEM_ARTIFACT_MATERIAL_BASIC_2,210,Mjolnir_Evolve_1
