_ID,_VALUE,ClipName:string,DefaultVolume:float,DefaultDelayTimeToPlay:float,DefaultDelayTimeToStop:float,DefaultFadeInTime:float,DefaultFadeOutTime:float
BGM_BATTLE,1,RO/BGM_Battle,1,0,0,1,1
BGM_BATTLE_PREPARATION,3,RO/BGM_Battle,1,0,0,0,1
BGM_ASTAROTH_FINAL_ATTACK,4,New/BGM_CutScene_Boss_Astaroth_FinalAttack,1,0,0,3,3
BGM_ASTAROTH_ON_STAGE,5,New/BGM_CutScene_Boss_Astaroth_OnStage,1,0,0,1,1
BGM_HOME,6,RO/BGM_Theme of Prontera,1,0,0,1,1
BGM_TUTORIAL_TALK,7,New/BGM_Pro_Dialog,1,0,0,0,0
BGM_PRO_BATTLE,8,RO/BGM_Boss_Battle,1,0,0,1,1
BGM_TAVERN,9,New/BGM_Tavern,1,0,0,1,1
BGM_GUILD_CRUSADE,10,New/SFX_Ambient_Wind,1,0,0,1,1
BGM_SKYCHALLENGE,11,New/BGM_SkyChallenge,1,0,0,1,1
BGM_BOSS_BATTLE_NEW,12,RO/BGM_Boss_Battle,1,0,0,1,1
BGM_LOTTERY,13,RO/BGM_LOTTERY,1,0,0,1,1
BGM_HATCH,14,RO/BGM_HATCH,1,0,0,1,1
BGM_DONT_CRY_BABY,15,RO/BGM_Dont cry baby,1,0,0,0,0
BGM_GOOD_MORNING,16,RO/BGM_Good Morning,1,0,0,0,0
BGM_RO_LOGIN,17,RO_NEW/BGM_TITLE,1,0,0,1,1
BGM_RO_HOME,18,RO_NEW/02,1,0,0,1,1
BGM_RO_BATTLE_PRONTERA,19,RO_NEW/BGM_WANNA_BE_FREE,1,0,0,1,1
BGM_RO_BATTLE_MOROCC,20,RO_NEW/BGM_THEME_OF_MORROC,1,0,0,1,1
BGM_RO_BATTLE_GEFFEN,21,RO_NEW/BGM_THEME_OF_GEFFEN,1,0,0,1,1
BGM_RO_BATTLE_PAYON,22,RO_NEW/BGM_THEME_OF_PAYON,1,0,0,1,1
BGM_RO_BATTLE_ALBERTA,23,RO_NEW/BGM_THEME_OF_ALBERTA,1,0,0,1,1
BGM_RO_BATTLE_ALDEBARAN,24,RO_NEW/BGM_THEME_OF_ALDEBARAN,1,0,0,1,1
BGM_RO_BATTLE_COMODO,25,RO_NEW/BGM_STREAMSIDE,1,0,0,1,1
BGM_RO_BATTLE_UMBALA,26,RO_NEW/74,1,0,0,1,1
BGM_RO_BATTLE_VEINS,27,RO_NEW/17,1,0,0,1,1
BGM_RO_BATTLE_LIGHTTHALZEN,28,RO_NEW/28,1,0,0,1,1
BGM_RO_BATTLE_HUGEL,29,RO_NEW/33,1,0,0,1,1
BGM_RO_GUILD,30,RO_NEW/70,1,2,0,2,2
BGM_RO_BATTLE_DOJO,31,RO_NEW/BGM_BATTLE_DOJO,1,1,0,2,1
BGM_RO_BATTLE_SUMMONNER_DUEL,32,RO_NEW/BGM_BATTLE_SUMMONNER_DUEL,1,1,0,2,1
BGM_RO_GEFFEN_TOWER,33,RO_NEW/BGM_THROUGH_THE TOWER,1,1,0,2,1
BGM_RO_DIALOG_BGM_1,34,RO_NEW/BGM_WANNA_BE_FREE,1,0,0,1,1
BGM_RO_ENDLESS_TOWER_PREPARE,35,RO_NEW/BGM_EREBOS_PRELUD,1,1,0,2,1
BGM_RO_ENDLESS_TOWER_START,36,RO_NEW/BGM_ROSE_OF_SHARON,1,1,0,2,1
BGM_HOME_NIGHT,37,RO/BGM_Theme of Prontera,1,0,0,1,1
BGM_EREBOS_PRELUD,38,RO_NEW/BGM_EREBOS_PRELUD,1,0,0,1,1
BGM_HONOR,39,RO_NEW/BGM_HONOR,1,0,0,1,1
BGM_DUNGEON_NORMAL_1,40,RO_NEW/BGM_Into_the_Abyss,1,0,0,1,1
BGM_DUNGEON_HELL_1,41,RO_NEW/BGM_Aeon,1,0,0,1,1
BGM_DUNGEON_BATTLE_1,42,RO_NEW/BGM_THROUGH_THE TOWER,1,0,0,1,1
BGM_NEW_COLLECTION_MUSIC_1,43,RO_NEW/SoundTeMP_Purity_of_your_smile,1,0,0,1,1
BGM_NEW_COLLECTION_MUSIC_2,44,RO_NEW/SoundTeMP_Theme_of_Payon,1,0,0,1,1
BGM_NEW_COLLECTION_MUSIC_3,45,RO_NEW/SoundTeMP_Streamside,1,0,0,1,1
BGM_NEW_COLLECTION_MUSIC_4,46,RO_NEW/SoundTeMP_Mucho_Gusto,1,0,0,1,1
BGM_NEW_COLLECTION_MUSIC_5,47,RO_NEW/SoundTeMP_Welcome_my_lord,1,0,0,1,1
BGM_NEW_COLLECTION_MUSIC_6,48,RO_NEW/SoundTeMP_One_Fine_Day,1,0,0,1,1
