_ID,_VALUE,Type:string,BuffType:string,Parameter1:decimal,Hitpoints:int,Damage:int,Magic:int,Armor:int,MagicDef:int
BADGE_HERO_TYPE_101,101,HeroAttribute,Constant,,3568,160,160,,
BADGE_HERO_TYPE_102,102,HeroAttribute,Constant,,5117,245,245,,
BADGE_HERO_TYPE_104,104,HeroAttribute,Constant,,6141,295,295,,
BADGE_HERO_TYPE_105,105,HeroAttribute,Constant,,8890,420,420,,
BADGE_HERO_TYPE_107,107,HeroAttribute,Constant,,16229,770,770,,
BADGE_HERO_TYPE_108,108,HeroAttribute,Constant,,31847,1518,1518,,
BADGE_HERO_TYPE_201,201,HeroAttribute,Constant,,2656,240,240,,
BADGE_HERO_TYPE_202,202,HeroAttribute,Constant,,3824,330,330,,
BADGE_HERO_TYPE_204,204,HeroAttribute,Constant,,4566,340,340,,
BADGE_HERO_TYPE_205,205,HeroAttribute,Constant,,6636,392,392,,
BADGE_HERO_TYPE_207,207,HeroAttribute,Constant,,12093,1323,1323,,
BADGE_HERO_TYPE_208,208,HeroAttribute,Constant,,23761,2127,2127,,
BADGE_HERO_TYPE_301,301,HeroAttribute,Constant,,2656,272,160,,
BADGE_HERO_TYPE_302,302,HeroAttribute,Constant,,3824,388,245,,
BADGE_HERO_TYPE_304,304,HeroAttribute,Constant,,4566,474,295,,
BADGE_HERO_TYPE_305,305,HeroAttribute,Constant,,6636,686,420,,
BADGE_HERO_TYPE_307,307,HeroAttribute,Constant,,12093,1285,770,,
BADGE_HERO_TYPE_308,308,HeroAttribute,Constant,,23761,2495,1518,,
BADGE_HERO_TYPE_401,401,HeroAttribute,Constant,,1984,320,160,,
BADGE_HERO_TYPE_402,402,HeroAttribute,Constant,,2876,460,245,,
BADGE_HERO_TYPE_404,404,HeroAttribute,Constant,,3428,564,295,,
BADGE_HERO_TYPE_405,405,HeroAttribute,Constant,,4984,805,420,,
BADGE_HERO_TYPE_407,407,HeroAttribute,Constant,,9063,1496,770,,
BADGE_HERO_TYPE_408,408,HeroAttribute,Constant,,17825,2931,1518,,
BADGE_HERO_TYPE_501,501,HeroAttribute,Constant,,2656,160,272,,
BADGE_HERO_TYPE_502,502,HeroAttribute,Constant,,3824,245,388,,
BADGE_HERO_TYPE_504,504,HeroAttribute,Constant,,4566,295,474,,
BADGE_HERO_TYPE_505,505,HeroAttribute,Constant,,6636,420,686,,
BADGE_HERO_TYPE_507,507,HeroAttribute,Constant,,12093,770,1285,,
BADGE_HERO_TYPE_508,508,HeroAttribute,Constant,,23761,1518,2495,,
BADGE_HERO_TYPE_601,601,HeroAttribute,Constant,,1984,160,320,,
BADGE_HERO_TYPE_602,602,HeroAttribute,Constant,,2876,245,460,,
BADGE_HERO_TYPE_604,604,HeroAttribute,Constant,,3428,295,564,,
BADGE_HERO_TYPE_605,605,HeroAttribute,Constant,,4984,420,805,,
BADGE_HERO_TYPE_607,607,HeroAttribute,Constant,,9063,770,1496,,
BADGE_HERO_TYPE_608,608,HeroAttribute,Constant,,17825,1518,2931,,
BADGE_EQUIPMENT_SUIT_MULTIPLE_1,701,EquipmentSuitMultiple,,2,,,,,
BADGE_CHARACTER_1,801,CharacterAttribute,Percentage,,500,300,,,
BADGE_CHARACTER_2,802,CharacterAttribute,Percentage,,1500,700,,,
