_INDEX,UpgradeProb:decimal,InvariantProb:decimal,ReduceNum:int,NormalStoneNum:int,HighStoneNum:int,ProtectItem:id,ProtectItemNum:int,MaxTimes:int,SpecialProtectItem:id,SpecialProtectItemNum:int
0,0.85,0.15,0,3,0,ITEM_STONE_BLESSING,0,2,ITEM_BLUE_ROSE,0
1,0.65,0,1,5,0,ITEM_STONE_BLESSING,1,3,ITEM_BLUE_ROSE,0
2,0.5,0,1,10,5,ITEM_STONE_BLESSING,1,5,ITEM_BLUE_ROSE,0
3,0.5,0.5,0,15,0,ITEM_STONE_BLESSING,0,5,ITEM_BLUE_ROSE,0
4,0.35,0,1,20,0,ITEM_STONE_BLESSING,1,8,ITEM_BLUE_ROSE,0
5,0.2,0,1,25,8,ITEM_STONE_APOCALYPSE,2,10,ITEM_BLUE_ROSE,0
6,0.35,0.65,0,30,0,ITEM_STONE_APOCALYPSE,0,8,ITEM_BLUE_ROSE,0
7,0.2,0,1,40,0,ITEM_STONE_APOCALYPSE,5,10,ITEM_BLUE_ROSE,1
8,0.08,0,1,50,20,ITEM_STONE_APOCALYPSE,8,15,ITEM_BLUE_ROSE,5
9,0.05,0.95,0,100,0,ITEM_STONE_APOCALYPSE,10,15,ITEM_BLUE_ROSE,0
10,0.05,0.95,0,100,0,ITEM_STONE_APOCALYPSE,10,15,ITEM_BLUE_ROSE,0
