_INDEX,Level:int,Buy_1:int,Buy_2:int,Buy_3:int,Buy_4:int,Buy_5:int,Buy_6:int,Buy_7:int,Buy_8:int,Buy_9:int,Buy_10:int,Buy_11:int,Buy_12:int,Buy_13:int,Buy_14:int,Buy_15:int,Buy_16:int,Buy_17:int,Buy_18:int,Buy_19:int,Buy_20:int,Buy_21:int,Buy_22:int,Buy_23:int,Buy_24:int,Buy_25:int,Buy_26:int,Buy_27:int,Buy_28:int,Buy_29:int,Buy_30:int,Buy_31:int,Buy_32:int,Buy_33:int,Buy_34:int,Buy_35:int
0,1,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
1,2,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
2,3,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
3,4,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
4,5,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
5,6,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
6,7,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
7,8,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
8,9,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
9,10,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
10,11,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
11,12,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
12,13,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
13,14,60000,61200,62400,101760,103680,158400,161280,205200,208800,283200,288000,366000,372000,453600,460800,546000,554400,643200,652800,745200,756000,852000,864000,963600,976800,1080000,1094400,1201200,1216800,1327200,1344000,1458000,1476000,1593600,1612800
