_ID,_VALUE,#Name:string,NameKey:loc,FirstNameKey:loc,SecondNameKey:loc,Icon:string,RGB:string
CAREER_1,1,输出,LOC_CAREER_NAME_1,LOC_CAREER_NAME_1,LOC_CAREER_NAME_1,UI_Job_Sword,#EA618FFF
CAREER_2,2,坦克,LOC_CAREER_NAME_2,LOC_CAREER_NAME_2,LOC_CAREER_NAME_2,UI_Job_Shield,#3EC885FF
CAREER_3,3,控制,LOC_CAREER_NAME_3,LOC_CAREER_NAME_3,LOC_CAREER_NAME_3,UI_Job_Control,#3EC885FF
CAREER_4,4,治疗,LOC_CAREER_NAME_4,LOC_CAREER_NAME_4,LOC_CAREER_NAME_4,UI_Job_Treatment,#EA618FFF
CAREER_5,5,爆发,LOC_CAREER_NAME_5,LOC_CAREER_NAME_5,LOC_CAREER_NAME_5,UI_Job_Burst,#3EC885FF
CAREER_6,6,增益,LOC_CAREER_NAME_6,LOC_CAREER_NAME_6,LOC_CAREER_NAME_6,UI_Job_Gain,#3EC885FF
CAREER_7,7,减益,LOC_CAREER_NAME_7,LOC_CAREER_NAME_7,LOC_CAREER_NAME_7,UI_Job_Reduces,#3EC885FF
CAREER_8,8,进化材料,LOC_CAREER_NAME_8,LOC_CAREER_NAME_8,LOC_CAREER_NAME_8,UI_Job_Evolve_Material,#3EC885FF
CAREER_SCROLL_1,9,物理型(Physical Attack),LOC_CAREER_SCROLL_NAME_1,,,,
CAREER_SCROLL_2,10,魔法型(Magical Attack),LOC_CAREER_SCROLL_NAME_2,,,,
CAREER_SCROLL_3,11,混合型(Mixed Attack),LOC_CAREER_SCROLL_NAME_3,,,,
CAREER_SCROLL_4,12,防御型(Defense),LOC_CAREER_SCROLL_NAME_4,,,,
CAREER_SCROLL_5,13,治疗型(Heal),LOC_CAREER_SCROLL_NAME_5,,,,
RANGE_1,14,远程，物理伤害,LOC_RANGE_NAME_1,,,UI_Type_Magical_Ranged,
RANGE_2,15,近战，物理伤害,LOC_RANGE_NAME_2,,,UI_Type_Magical_Melee,
RANGE_3,16,远程，魔法伤害,LOC_RANGE_NAME_3,,,UI_Type_Physical_Ranged,
RANGE_4,17,近战，魔法伤害,LOC_RANGE_NAME_4,,,UI_Type_Physical_Melee,
