_ID,_VALUE,#GroupName:string,Challenge:id[],LabelKey:loc[],Percentage:int[],#Remark:string
CHALLENGE_NPC_CHAT_1,1,早上问候语,,LOC_HOME_CHALLENGE_NPC_CHAT_1,100,
,,,,LOC_HOME_CHALLENGE_NPC_CHAT_2,100,
CHALLENGE_NPC_CHAT_2,2,中午问候语,,LOC_HOME_CHALLENGE_NPC_CHAT_3,100,
,,,,LOC_HOME_CHALLENGE_NPC_CHAT_4,100,
CHALLENGE_NPC_CHAT_3,3,晚上问候语,,LOC_HOME_CHALLENGE_NPC_CHAT_5,100,
CHALLENGE_NPC_CHAT_4,4,半夜问候语,,LOC_HOME_CHALLENGE_NPC_CHAT_6,100,
CHALLENGE_NPC_CHAT_5,5,返回问候语,,LOC_HOME_CHALLENGE_NPC_CHAT_7,100,
,,,,LOC_HOME_CHALLENGE_NPC_CHAT_8,100,
,,,,LOC_HOME_CHALLENGE_NPC_CHAT_9,100,
CHALLENGE_NPC_CHAT_6,6,玩法解锁提示,FEATURE_UNLOCK_CORPS,LOC_HOME_CHALLENGE_NPC_CHAT_10,100,玩法解锁提示-吉芬塔
,,,FEATURE_UNLOCK_TROOPS,LOC_HOME_CHALLENGE_NPC_CHAT_11,100,玩法解锁提示-雇佣猫之野望
,,,FEATURE_UNLOCK_CRUSADE,LOC_HOME_CHALLENGE_NPC_CHAT_12,100,玩法解锁提示-武道场
,,,,LOC_HOME_CHALLENGE_NPC_CHAT_13,100,玩法解锁提示-神之守护兽
CHALLENGE_NPC_CHAT_7,7,常规对话,FEATURE_UNLOCK_CORPS,LOC_HOME_CHALLENGE_NPC_CHAT_14,100,玩法说明-吉芬塔
,,,FEATURE_UNLOCK_TROOPS,LOC_HOME_CHALLENGE_NPC_CHAT_15,100,玩法说明-雇佣猫之野望
,,,FEATURE_UNLOCK_CRUSADE,LOC_HOME_CHALLENGE_NPC_CHAT_16,100,玩法说明-武道场
,,,,LOC_HOME_CHALLENGE_NPC_CHAT_17,100,玩法说明-神之守护兽
,,,,LOC_HOME_CHALLENGE_NPC_CHAT_18,100,
,,,,LOC_HOME_CHALLENGE_NPC_CHAT_19,100,
,,,,LOC_HOME_CHALLENGE_NPC_CHAT_20,100,
,,,,LOC_HOME_CHALLENGE_NPC_CHAT_21,100,
,,,,LOC_HOME_CHALLENGE_NPC_CHAT_22,100,
