_ID,_VALUE,#Name:string,Sort:int,Type:string,UnlockConditionType:string,UnlockConditionFactor1:int,UnlockConditionFactor2:int,Painting:string,Badge:string,Music:id,Name:loc,HowToUnlock:loc,AttributeType:string{},AttributeNum:int{},AttributeKind:string{},BuffTarget:string,AttributeDes:loc{},PowerKind:string,Power:int,BuffSort:int,EquipAttributeType:string{},EquipAttributeNum:int{},EquipAttributeKind:string{},EquipBuffTarget:string,EquipAttributeDes:loc{},EquipPowerKind:string,EquipPower:int,IsShow:bool,BadgeFX:string,BadgeType:int
COLLECTION_PAINTING_1,1001,每日任务,1999,painting,Drop,,24001,UI_Picture_BG_04,,,LOC_NAME_COLLECTION_PAINTING_1,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_1,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_2,1002,世界BOSS,1998,painting,Drop,,24002,UI_Picture_BG_09,,,LOC_NAME_COLLECTION_PAINTING_2,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_2,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_3,1003,爱的羁绊,1997,painting,Drop,,24003,UI_Picture_BG_17,,,LOC_NAME_COLLECTION_PAINTING_3,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_3,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_4,1004,宝石等级,1996,painting,Drop,,24004,UI_Picture_BG_05,,,LOC_NAME_COLLECTION_PAINTING_4,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_4,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_5,1005,佩戴装备,1995,painting,Drop,,24005,UI_Picture_BG_03,,,LOC_NAME_COLLECTION_PAINTING_5,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_5,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_6,1006,精华星级,1994,painting,Drop,,24006,UI_Picture_BG_06,,,LOC_NAME_COLLECTION_PAINTING_6,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_6,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_7,1007,神器升级,1993,painting,Drop,,24007,UI_Picture_BG_01,,,LOC_NAME_COLLECTION_PAINTING_7,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_7,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_8,1008,竞技场排名,1992,painting,Drop,,24008,UI_Picture_BG_18,,,LOC_NAME_COLLECTION_PAINTING_8,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_8,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_9,1009,杂货摊购物,1991,painting,Drop,,24009,UI_Picture_BG_25,,,LOC_NAME_COLLECTION_PAINTING_9,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_9,,,,,,,,,,,,,,,,TRUE,,
COLLECTION_PAINTING_10,1010,获得音乐,1990,painting,Drop,,24010,UI_Picture_BG_22,,,LOC_NAME_COLLECTION_PAINTING_10,LOC_COLLECTION_PAINTING_HOW_TO_UNLOCK_10,,,,,,,,,,,,,,,,TRUE,,
