_ID,_VALUE,#Name:string,Name:loc,Icon:string,AttrDes:loc,FxName:id,FileName:string
PASSIVE_CRUSADE_CHALLENGE_RANDOW_1,1,道场随机BUFF1,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_1,,CrusadeChallenge_Rule_1
PASSIVE_CRUSADE_CHALLENGE_RANDOW_2,2,道场随机BUFF2,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_2,,CrusadeChallenge_Rule_2
PASSIVE_CRUSADE_CHALLENGE_RANDOW_3,3,道场随机BUFF3,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_3,,CrusadeChallenge_Rule_3
PASSIVE_CRUSADE_CHALLENGE_RANDOW_4,4,道场随机BUFF4,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_4,,CrusadeChallenge_Rule_4
PASSIVE_CRUSADE_CHALLENGE_RANDOW_5,5,道场随机BUFF5,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_5,,CrusadeChallenge_Rule_5
PASSIVE_CRUSADE_CHALLENGE_RANDOW_6,6,道场随机BUFF6,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_6,,CrusadeChallenge_Rule_6
PASSIVE_CRUSADE_CHALLENGE_RANDOW_7,7,道场随机BUFF7,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_7,,CrusadeChallenge_Rule_7
PASSIVE_CRUSADE_CHALLENGE_RANDOW_8,8,道场随机BUFF8,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_8,,CrusadeChallenge_Rule_8
PASSIVE_CRUSADE_CHALLENGE_RANDOW_9,9,道场随机BUFF9,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_9,,CrusadeChallenge_Rule_9
PASSIVE_CRUSADE_CHALLENGE_RANDOW_10,10,道场随机BUFF10,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_10,,CrusadeChallenge_Rule_10
PASSIVE_CRUSADE_CHALLENGE_RANDOW_11,11,道场随机BUFF11,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_11,,CrusadeChallenge_Rule_11
PASSIVE_CRUSADE_CHALLENGE_RANDOW_12,12,道场随机BUFF12,,,LOC_SKILL_DES_PASSIVE_CRUSADE_CHALLENGE_RANDOW_12,,CrusadeChallenge_Rule_12
