_INDEX,NameKey:id,MapLevel:id[],TreasureType:string,TeamCount:int,PowerLowerLimit:int,PowerUpperLimit:int,UpOrDown:string,PowerSort:int,LevelGap:int,NpcLevelGap:int,OpenOurSquare:bool,OurSquare:int,OpenEnemySquare:bool,EnemySquare:int,MapDrop:int[][],OutputCrusadeCoin:int,Drop:int[][],LevelMin:int[],LevelMax:int[],PosLevel:decimal,PosBox:decimal,CampRestraintParam:int
0,,LEVEL_CRUSADE_1,normal,1,45,50,down,1,-7,-4,TRUE,150,TRUE,150,9000#1#999,30,3001#1#999,1,34,1,0.95636,5
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,35,39,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,40,44,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,45,49,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,50,54,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,55,59,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,60,64,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,65,69,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,70,74,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,75,79,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,80,84,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,85,89,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,90,94,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,95,999,,,
1,,LEVEL_CRUSADE_3,normal,1,50,55,down,2,-6,-3,TRUE,150,TRUE,150,9000#1#999,30,3001#1#999,1,34,0.92273,0.86909,5
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,35,39,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,40,44,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,45,49,,,
,,,,,,,,,,,,,,,9000#1#999,,3001#1#999,50,54,,,
