_INDEX,PlayerLevel:int,Chest1:int,Chest2:int,Chest3:int,Chest4:int,Chest5:int,Chest6:int,Chest7:int,Chest8:int,Chest9:int,Chest10:int,Chest11:int,Chest12:int
0,1,45000,45000,135000,90000,90000,270000,135000,135000,405000,180000,180000,540000
1,2,46000,46000,138000,92000,92000,276000,138000,138000,414000,184000,184000,552000
2,3,47000,47000,141000,94000,94000,282000,141000,141000,423000,188000,188000,564000
3,4,48000,48000,144000,96000,96000,288000,144000,144000,432000,192000,192000,576000
4,5,49000,49000,147000,98000,98000,294000,147000,147000,441000,196000,196000,588000
5,6,50000,50000,150000,100000,100000,300000,150000,150000,450000,200000,200000,600000
6,7,51000,51000,153000,102000,102000,306000,153000,153000,459000,204000,204000,612000
7,8,52000,52000,156000,104000,104000,312000,156000,156000,468000,208000,208000,624000
8,9,53000,53000,159000,106000,106000,318000,159000,159000,477000,212000,212000,636000
9,10,54000,54000,162000,108000,108000,324000,162000,162000,486000,216000,216000,648000
10,11,55000,55000,165000,110000,110000,330000,165000,165000,495000,220000,220000,660000
11,12,56000,56000,168000,112000,112000,336000,168000,168000,504000,224000,224000,672000
12,13,57000,57000,171000,114000,114000,342000,171000,171000,513000,228000,228000,684000
13,14,58000,58000,174000,116000,116000,348000,174000,174000,522000,232000,232000,696000
14,15,59000,59000,177000,118000,118000,354000,177000,177000,531000,236000,236000,708000
15,16,60000,60000,180000,120000,120000,360000,180000,180000,540000,240000,240000,720000
16,17,61000,61000,183000,122000,122000,366000,183000,183000,549000,244000,244000,732000
17,18,62000,62000,186000,124000,124000,372000,186000,186000,558000,248000,248000,744000
18,19,63000,63000,189000,126000,126000,378000,189000,189000,567000,252000,252000,756000
19,20,64000,64000,192000,128000,128000,384000,192000,192000,576000,256000,256000,768000
20,21,65000,65000,195000,130000,130000,390000,195000,195000,585000,260000,260000,780000
21,22,66000,66000,198000,132000,132000,396000,198000,198000,594000,264000,264000,792000
22,23,67000,67000,201000,134000,134000,402000,201000,201000,603000,268000,268000,804000
23,24,68000,68000,204000,136000,136000,408000,204000,204000,612000,272000,272000,816000
24,25,69000,69000,207000,138000,138000,414000,207000,207000,621000,276000,276000,828000
25,26,70000,70000,210000,140000,140000,420000,210000,210000,630000,280000,280000,840000
26,27,71000,71000,213000,142000,142000,426000,213000,213000,639000,284000,284000,852000
27,28,72000,72000,216000,144000,144000,432000,216000,216000,648000,288000,288000,864000
28,29,73000,73000,219000,146000,146000,438000,219000,219000,657000,292000,292000,876000
29,30,74200,74200,222600,148400,148400,445200,222600,222600,667800,296800,296800,890400
30,31,77500,77500,232500,155000,155000,465000,232500,232500,697500,310000,310000,930000
