_ID,_VALUE,PrefabName:string
CUTSCENE_OPENING,1,Timeline_Opening
CUTSCENE_LEVEL_105,2,BossAppearance_Eddga_TimeLine
CUTSCENE_LEVEL_207,3,BossAppearance_Poli_TimeLine
CUTSCENE_LEVEL_310,4,BossAppearance_DarkLord_TimeLine
CUTSCENE_LEVEL_610,5,BossAppearance_Baphomet_TimeLine
CUTSCENE_LEVEL_1210,6,BossAppearance_Osiris_TimeLine
CUTSCENE_LEVEL_2110,7,BossAppearance_Mistress_Maya_TimeLine
CUTSCENE_LEVEL_3010,8,BossAppearance_Loli_Ruri_TimeLine
CUTSCENE_LEVEL_4110,9,BossAppearance_OrcHero_TimeLine
CUTSCENE_LEVEL_4210,10,BossAppearance_Drake_TimeLine
CUTSCENE_LEVEL_1610,11,BossAppearance_Moonlight_TimeLine
CUTSCENE_LEVEL_4510,12,BossAppearance_G_Randgris_TimeLine
