_ID,_VALUE,NameKey:loc,#Name:string,DesKey:loc,#Des:string,Type:string,Type_Factor_1:int,Type_Factor_2:int,AccomplishCondition_Type:string,Condition_Factor_1:long,Condition_Factor_2:long,Condition_Factor_3:long,ConvertServerFactor:int,Reward1:id,RewardNum1:int,Reward2:id,RewardNum2:int,Reward3:id,RewardNum3:int,Rare:id,Sort:int,UDiceCategory:string,UdiceCategoryName:loc,HideInAchieve:string
DAILY_QUEST_UPGRADE_HERO,1,LOC_DAILYQUEST_NAME_DAILY_QUEST_UPGRADE_HERO,勤奋不辍,LOC_DAILYQUEST_DESCN_DAILY_QUEST_UPGRADE_HERO,将任意英雄手动提升5级,Daily,3,,UpgradeHero,5,,,1,ITEM_PET_EVOLVE_STONE,300,,,,,,,,,
DAILY_QUEST_TROOPS_BATTLE_1,10,LOC_DAILYQUEST_NAME_DAILY_QUEST_TROOPS_BATTLE_1,抵抗进击1,LOC_DAILYQUEST_DESCN_DAILY_QUEST_TROOPS_BATTLE_1,完成1次金币大作战,Daily,6,,TroopsBattleGold,1,,,1,ITEM_PET_EVOLVE_STONE,300,,,,,,,,,
DAILY_QUEST_TROOPS_BATTLE_2,11,LOC_DAILYQUEST_NAME_DAILY_QUEST_TROOPS_BATTLE_2,抵抗进击2,LOC_DAILYQUEST_DESCN_DAILY_QUEST_TROOPS_BATTLE_2,完成1次战魂试炼,Daily,11,,TroopsBattleSoul,1,,,1,ITEM_PET_EVOLVE_STONE,300,,,,,,,,,
DAILY_QUEST_TROOPS_BATTLE_3,12,LOC_DAILYQUEST_NAME_DAILY_QUEST_TROOPS_BATTLE_3,抵抗进击3,LOC_DAILYQUEST_DESCN_DAILY_QUEST_TROOPS_BATTLE_3,完成1次原石宝库,Daily,12,,TroopsBattleStone,1,,,1,ITEM_PET_EVOLVE_STONE,300,,,,,,,,,
DAILY_QUEST_ARENA_BATTLE,13,LOC_DAILYQUEST_NAME_DAILY_QUEST_ARENA_BATTLE,竞技爱好者,LOC_DAILYQUEST_DESCN_DAILY_QUEST_ARENA_BATTLE,进行3次竞技场挑战,Daily,5,,ArenaBattle,3,,,1,ITEM_PET_EVOLVE_STONE,300,,,,,,,,,
DAILY_QUEST_ARENA_WIN,14,LOC_DAILYQUEST_NAME_DAILY_QUEST_ARENA_WIN,竞技达人,LOC_DAILYQUEST_DESCN_DAILY_QUEST_ARENA_WIN,1次竞技场挑战胜利,Daily,4,,ArenaWin,1,,,1,ITEM_PET_EVOLVE_STONE,600,,,,,,,,,
DAILY_QUEST_CRUSADE_BATTLE,15,LOC_DAILYQUEST_NAME_DAILY_QUEST_CRUSADE_BATTLE,寻找宝藏,LOC_DAILYQUEST_DESCN_DAILY_QUEST_CRUSADE_BATTLE,在遗落的宝藏战胜1次敌人,Daily,9,,CrusadeChallengeWinNum,1,,,1,ITEM_PET_EVOLVE_STONE,500,,,,,,,,,
DAILY_QUEST_RUSH_TICKET,17,LOC_DAILYQUEST_NAME_DAILY_QUEST_RUSH_TICKET,登录福利,LOC_DAILYQUEST_DESCN_DAILY_QUEST_RUSH_TICKET,每天上线即可领取,Daily,1,,DailyLogin,1,,,1,ITEM_PET_EVOLVE_STONE,200,,,,,,,,,
DAILY_QUEST_FRIEND_BOSS_CHALLENGE_TIMIES,27,LOC_DAILYQUEST_NAME_DAILY_QUEST_CHALLENGE_ENEMY,挑战敌军,LOC_DAILYQUEST_DESCN_DAILY_QUEST_CHALLENGE_ENEMY,挑战3次好友BOSS,Daily,7,,FriendBossChallengeTimes,3,,,1,ITEM_PET_EVOLVE_STONE,1000,,,,,,,,,
DAILY_QUEST_FRIEND_BOSS_KILL_TIMIES,28,LOC_DAILYQUEST_NAME_DAILY_QUEST_KILL_STRONG_ENEMY,击杀强敌,LOC_DAILYQUEST_DESCN_DAILY_QUEST_KILL_STRONG_ENEMY,击杀1个好友BOSS,Daily,8,,FriendBossKillTimes,1,,,1,ITEM_PET_EVOLVE_STONE,3000,,,,,,,,,
DAILY_QUEST_DEGREE_CHALLENGE,29,LOC_DAILYQUEST_NAME_DAILY_QUEST_DEGREE_CHALLENGE,亲近魔物,LOC_DAILYQUEST_DESCN_DAILY_QUEST_DEGREE_CHALLENGE,完成2次亲密度副本挑战,Daily,10,,DegreeChallenge,2,,,1,ITEM_PET_EVOLVE_STONE,500,,,,,,,,,
DAILY_QUEST_GUARDIAN_CHALLENGE,30,LOC_DAILYQUEST_NAME_DAILY_QUEST_GUARDIAN_CHALLENGE,神之守护,LOC_DAILYQUEST_DESCN_DAILY_QUEST_GUARDIAN_CHALLENGE,完成2次神之守护者挑战,Daily,13,,GuardianChallenge,2,,,1,ITEM_PET_EVOLVE_STONE,500,,,,,,,,,
