_INDEX,Reward1:id,RewardNum1:int,Vip:int
0,ITEM_GOLD,150000,0
1,ITEM_CRYSTAL,888,0
2,ITEM_BATTLE_SOUL,50000,0
3,ITEM_ACC_POTION,2,0
4,ITEM_CRYSTAL,200,0
5,ITEM_BATTLE_SOUL,20000,0
6,ITEM_BANQUET_TICKET,10,0
7,ITEM_SPAR_KEY,2,0
8,ITEM_ACC_POTION,2,0
9,ITEM_GOLD,100000,0
10,ITEM_BATTLE_SOUL,25000,0
11,ITEM_CRYSTAL,200,0
12,ITEM_GOLD,50000,0
13,ITEM_FRIENDSHIP_VOUCHER,10,0
14,ITEM_HERO_EVOLVE_STONE,1500,0
15,ITEM_GOLD,150000,0
16,ITEM_SPAR_KEY,2,0
17,ITEM_BATTLE_SOUL,30000,0
18,ITEM_ACC_POTION,2,0
19,ITEM_CRYSTAL,200,0
20,ITEM_BANQUET_TICKET,5,0
21,ITEM_GOLD,150000,0
22,ITEM_BATTLE_SOUL,40000,0
23,ITEM_ACC_POTION,2,0
24,ITEM_SPAR_KEY,2,0
25,ITEM_GOLD,250000,0
26,ITEM_CRYSTAL,200,0
27,ITEM_FRIENDSHIP_VOUCHER,5,0
28,ITEM_SPAR_RED_ATK_4,1,0
29,ITEM_MONSTER_SPLINTER_ALL_4,60,0
30,ITEM_GOLD,120000,0
31,ITEM_CRYSTAL,200,0
32,ITEM_BATTLE_SOUL,22500,0
33,ITEM_SPAR_KEY,2,0
34,ITEM_HERO_EVOLVE_STONE,1000,0
35,ITEM_GOLD,200000,0
36,ITEM_BANQUET_TICKET,3,0
37,ITEM_BATTLE_SOUL,37500,0
38,ITEM_SPAR_KEY,2,0
39,ITEM_ACC_POTION,2,0
40,ITEM_GOLD,320000,0
41,ITEM_RANDOM_SPAR_PACKAGE,2,0
42,ITEM_BATTLE_SOUL,60000,0
43,ITEM_FRIENDSHIP_VOUCHER,5,0
44,ITEM_HERO_EVOLVE_STONE,1200,0
45,ITEM_GOLD,400000,0
46,ITEM_CRYSTAL,200,0
47,ITEM_BATTLE_SOUL,75000,0
48,ITEM_SPAR_KEY,2,0
49,ITEM_GOLD,480000,0
50,ITEM_BANQUET_TICKET,3,0
51,ITEM_ACC_POTION,2,0
52,ITEM_BATTLE_SOUL,90000,0
53,ITEM_RANDOM_SPAR_PACKAGE,2,0
54,ITEM_HERO_EVOLVE_STONE,1800,0
55,ITEM_GOLD,600000,0
56,ITEM_BATTLE_SOUL,112500,0
57,ITEM_FRIENDSHIP_VOUCHER,5,0
58,ITEM_SPAR_ORANGE_CRT_HP_4,1,0
59,ITEM_MONSTER_SPLINTER_ALL_4,60,0
60,ITEM_GOLD,120000,0
61,ITEM_CRYSTAL,200,0
62,ITEM_BATTLE_SOUL,22500,0
63,ITEM_SPAR_KEY,2,0
64,ITEM_HERO_EVOLVE_STONE,1500,0
65,ITEM_GOLD,200000,0
66,ITEM_BANQUET_TICKET,3,0
67,ITEM_BATTLE_SOUL,37500,0
68,ITEM_SPAR_KEY,2,0
69,ITEM_HERO_EVOLVE_STONE,2000,0
70,ITEM_GOLD,320000,0
71,ITEM_CRYSTAL,200,0
72,ITEM_BATTLE_SOUL,60000,0
73,ITEM_FRIENDSHIP_VOUCHER,5,0
74,ITEM_HERO_EVOLVE_STONE,1200,0
75,ITEM_GOLD,400000,0
76,ITEM_CRYSTAL,200,0
77,ITEM_BATTLE_SOUL,75000,0
78,ITEM_HERO_SHOP_COIN,150,0
79,ITEM_HERO_EVOLVE_STONE,2000,0
80,ITEM_BANQUET_TICKET,3,0
81,ITEM_CRYSTAL,200,0
82,ITEM_BATTLE_SOUL,90000,0
83,ITEM_SPAR_KEY,2,0
84,ITEM_HERO_EVOLVE_STONE,2500,0
85,ITEM_GOLD,600000,0
86,ITEM_BATTLE_SOUL,112500,0
87,ITEM_FRIENDSHIP_VOUCHER,5,0
88,ITEM_ACC_POTION,2,0
89,ITEM_SPAR_SUPER_BOX_TICKET,1,0
