_ID,_VALUE,Name:string,DialogDataFile:string,TriggerType:string,TriggerParam:id,UnlockSummonerStone:id,MarkType:int,Reward:id
DIALOG_1,1,,Dialog_1,Main,LEVEL_105,None,,
DIALOG_2,2,,Dialog_2,Main,LEVEL_610,SUMMONER_STONE_PARTNERSHIP,,
DIALOG_3,3,,Dialog_3,Main,LEVEL_1210,SUMMONER_STONE_COURAGE,,
DIALOG_4,4,,Dialog_4,Main,LEVEL_2110,SUMMONER_STONE_GUARD,,
DIALOG_5,5,,Dialog_5,Main,LEVEL_3010,SUMMONER_STONE_CORRESPONDENCE,,
DIALOG_6,6,,Dialog_6,Main,LEVEL_4110,SUMMONER_STONE_PROCEEDING,,
DIALOG_7,7,,Dialog_7,Main,LEVEL_5010,SUMMONER_STONE_RECOGNITION,,
DIALOG_101,101,,Dialog_101,Sub,LEVEL_410,,0,DROP_SUB_STORY_REWARD_1
DIALOG_102,102,,Dialog_102,Sub,LEVEL_610,,1,DROP_SUB_STORY_REWARD_2
DIALOG_103,103,,Dialog_103,Sub,LEVEL_1010,,1,DROP_SUB_STORY_REWARD_3
DIALOG_104,104,,Dialog_104,Sub,LEVEL_1310,,0,DROP_SUB_STORY_REWARD_4
DIALOG_105,105,,Dialog_105,Sub,LEVEL_1910,,1,DROP_SUB_STORY_REWARD_5
DIALOG_106,106,,Dialog_106,Sub,LEVEL_2610,,0,DROP_SUB_STORY_REWARD_6
DIALOG_107,107,,Dialog_107,Sub,LEVEL_2810,,1,DROP_SUB_STORY_REWARD_7
DIALOG_108,108,,Dialog_108,Sub,LEVEL_3610,,0,DROP_SUB_STORY_REWARD_8
DIALOG_109,109,,Dialog_109,Sub,LEVEL_4010,,0,DROP_SUB_STORY_REWARD_9
