_ID,_VALUE,Checker:int[],Type:string[],Reward:id[],RewardNum:int[],Drop:int[],ScrollBar:decimal[]
DICE_CHECKERBOARD_REWARD_1,1,1,start,ITEM_GOLD,0,1,0
,,2,reward,ITEM_BATTLE_SOUL,20000,1,0
,,3,reward,ITEM_GOLD,100000,1,0
,,4,reward,ITEM_HERO_EVOLVE_STONE,400,1,0
,,5,reward,ITEM_PET_EVOLVE_STONE,400,1,0
,,6,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,1,1,0
,,7,empty,ITEM_GOLD,0,1,0.1
,,8,reward,ITEM_BATTLE_SOUL,20000,1,0.2
,,9,reward,ITEM_CRYSTAL,20,1,0.2
,,10,reward,ITEM_HERO_EVOLVE_STONE,400,1,0.2
,,11,reward,ITEM_PET_EVOLVE_STONE,400,1,0.2
,,12,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,1,1,0.2
,,13,reward,ITEM_ESSENCE_GENERAL_SUPERRARE,10,1,0.2
,,14,empty,ITEM_GOLD,0,1,0.35
,,15,reward,ITEM_BATTLE_SOUL,20000,1,0.55
,,16,reward,ITEM_GOLD,100000,1,0.55
,,17,reward,ITEM_HERO_EVOLVE_STONE,400,1,0.55
,,18,reward,ITEM_PET_EVOLVE_STONE,400,1,0.55
,,19,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,1,1,0.55
,,20,reward,ITEM_ESSENCE_GENERAL_SUPERRARE,10,1,0.55
,,21,empty,ITEM_GOLD,0,1,0.75
,,22,reward,ITEM_BATTLE_SOUL,20000,1,0.93
,,23,reward,ITEM_CRYSTAL,20,1,0.93
,,24,reward,ITEM_HERO_EVOLVE_STONE,400,1,0.93
,,25,reward,ITEM_PET_EVOLVE_STONE,400,1,0.93
,,26,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,1,1,0.93
,,27,reward,ITEM_ESSENCE_GENERAL_SUPERRARE,10,1,0.93
,,28,empty,ITEM_GOLD,0,1,0.95
,,29,reward,ITEM_HERO_EVOLVE_STONE,400,1,1
,,30,reward,ITEM_PET_EVOLVE_STONE,400,1,1
,,31,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,1,1,1
,,32,reward,ITEM_ESSENCE_GENERAL_SUPERRARE,10,1,1
,,33,reward,ITEM_CRYSTAL,20,1,1
,,34,end,ITEM_GOLD,0,1,1
DICE_CHECKERBOARD_REWARD_2,2,1,start,ITEM_GOLD,0,1,0
,,2,reward,ITEM_BATTLE_SOUL,30000,1,0
,,3,reward,ITEM_GOLD,150000,1,0
,,4,reward,ITEM_HERO_EVOLVE_STONE,600,1,0
,,5,reward,ITEM_PET_EVOLVE_STONE,600,1,0
,,6,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,3,1,0
,,7,reward,ITEM_ESSENCE_GENERAL_SUPERRARE,15,1,0.1
,,8,reward,ITEM_ESSENCE_GENERAL_EPIC,4,1,0.2
,,9,empty,ITEM_GOLD,0,1,0.2
,,10,reward,ITEM_BATTLE_SOUL,30000,1,0.2
,,11,reward,ITEM_CRYSTAL,30,1,0.2
,,12,reward,ITEM_HERO_EVOLVE_STONE,600,1,0.2
,,13,reward,ITEM_PET_EVOLVE_STONE,600,1,0.2
,,14,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,3,1,0.35
,,15,reward,ITEM_ESSENCE_GENERAL_SUPERRARE,15,1,0.55
,,16,reward,ITEM_ESSENCE_GENERAL_EPIC,4,1,0.55
,,17,empty,ITEM_GOLD,0,1,0.55
,,18,reward,ITEM_BATTLE_SOUL,30000,1,0.55
,,19,reward,ITEM_CRYSTAL,30,1,0.55
,,20,reward,ITEM_HERO_EVOLVE_STONE,600,1,0.55
,,21,reward,ITEM_PET_EVOLVE_STONE,600,1,0.75
,,22,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,3,1,0.93
,,23,reward,ITEM_ESSENCE_GENERAL_SUPERRARE,15,1,0.93
,,24,reward,ITEM_ESSENCE_GENERAL_EPIC,4,1,0.93
,,25,empty,ITEM_GOLD,0,1,0.93
,,26,reward,ITEM_BATTLE_SOUL,30000,1,0.93
,,27,reward,ITEM_GOLD,150000,1,0.93
,,28,reward,ITEM_HERO_EVOLVE_STONE,600,1,0.95
,,29,reward,ITEM_PET_EVOLVE_STONE,600,1,1
,,30,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,3,1,1
,,31,reward,ITEM_ESSENCE_GENERAL_SUPERRARE,15,1,1
,,32,reward,ITEM_ESSENCE_GENERAL_EPIC,4,1,1
,,33,reward,ITEM_CRYSTAL,30,1,1
,,34,end,ITEM_GOLD,0,1,1
DICE_CHECKERBOARD_REWARD_3,3,1,start,ITEM_GOLD,0,1,0
,,2,reward,ITEM_BATTLE_SOUL,40000,1,0
,,3,reward,ITEM_GOLD,200000,1,0
,,4,reward,ITEM_HERO_EVOLVE_STONE,800,1,0
,,5,reward,ITEM_PET_EVOLVE_STONE,800,1,0
,,6,reward,ITEM_RANDOM_PACKAGE_FOOD_BLUE,5,1,0
,,7,reward,ITEM_ESSENCE_GENERAL_EPIC,6,1,0.1
,,8,reward,ITEM_ESSENCE_GENERAL_LEGENDARY,1,1,0.2
,,9,empty,ITEM_GOLD,0,1,0.2
,,10,reward,ITEM_BATTLE_SOUL,40000,1,0.2
,,11,reward,ITEM_CRYSTAL,40,1,0.2
