_ID,_VALUE,#GroupName:string,DropType:string,QuestID:id[],#QuestName:string[],DropWeight:int[]
DICE_QUEST_DROP_LOGIN,1001,骰子活动每日登录,Quest,DICE_DAILY_QUEST_NORMAL_1,登录游戏,1
DICE_QUEST_DROP_NORMAL,1002,骰子活动普通任务,Quest,DICE_DAILY_QUEST_NORMAL_2,任意魔物升星1次,1
,,,,DICE_DAILY_QUEST_NORMAL_3,任意装备升级1次,1
,,,,DICE_DAILY_QUEST_NORMAL_4,任意宝石升级1次,1
,,,,DICE_DAILY_QUEST_NORMAL_5,杂货店购买道具1次,1
,,,,DICE_DAILY_QUEST_NORMAL_6,喂食任意魔物1次,1
,,,,DICE_DAILY_QUEST_NORMAL_7,召唤师竞技参与1次,1
DICE_QUEST_DROP_RARE,1003,骰子活动稀有任务,Quest,DICE_DAILY_QUEST_RARE_1,召唤师竞技取胜3次,1
,,,,DICE_DAILY_QUEST_RARE_2,进行孵蛋2次,1
,,,,DICE_DAILY_QUEST_RARE_3,购买Zeny5次,1
,,,,DICE_DAILY_QUEST_RARE_4,任意使用300黄金波利,1
DICE_QUEST_DROP_SUPER_RARE,1004,骰子活动超级稀有任务,Quest,DICE_DAILY_QUEST_SUPER_RARE_1,进行孵蛋3次,1
,,,,DICE_DAILY_QUEST_SUPER_RARE_2,进行至尊开箱1次,1
,,,,DICE_DAILY_QUEST_SUPER_RARE_3,任意使用500黄金波利,1
