_INDEX,Duration:int,GiftBagNum:int[],OutputItem1:id[],OutputItem1Num:int[],OutputItem2:id[],OutputItem2Num:int[],OutputItem3:id[],OutputItem3Num:int[],OutputItem4:id[],OutputItem4Num:int[],PurchaseNum:int[],PriceTier:int[]
0,604800,1,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,1
,,2,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,2
,,3,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,3
,,4,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,4
,,5,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,5
1,604800,1,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,1
,,2,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,2
,,3,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,3
,,4,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,4
,,5,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,5
2,604800,1,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,1
,,2,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,2
,,3,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,3
,,4,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,4
,,5,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,5
3,604800,1,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,1
,,2,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,2
,,3,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,3
,,4,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,4
,,5,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,5
4,604800,1,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,1
,,2,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,2
,,3,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,3
,,4,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,4
,,5,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_EMBLEM_ALICE,10,ITEM_CRYSTAL,100,2,5
