_ID,_VALUE,#GroupName:string,DropType:string,ItemID:id[],#ItemName:string[],ItemDropWeight:int[],ItemMinCount:int[],ItemMaxCount:int[],VipLimit:int[]
RANDOM_EMBLEM_PACKAGE_DROP,1001,随机徽章礼包,Item,ITEM_EMBLEM_ALICE,巴伦骑士徽章,1,1,1,0
RANDOM_REFINED_PACKAGE_DROP_1,1002,组队BOSS礼包1,Item,ITEM_NORMAL_REFINED_STONE,精炼石,1,15,15,0
RANDOM_REFINED_PACKAGE_DROP_2,1003,组队BOSS礼包2,Item,ITEM_HIGH_REFINED_STONE,高级精炼石,1,1,1,0
RANDOM_SPAR_PACKAGE_DROP,1004,随机晶石大礼包,Item,ITEM_SPAR_RED_ATK_3,五棱狂热晶石,19,1,1,0
,,,,ITEM_SPAR_RED_ATK_4,六棱狂热晶石,1,1,1,0
,,,,ITEM_SPAR_RED_MGK_3,五棱风暴晶石,19,1,1,0
,,,,ITEM_SPAR_RED_MGK_4,六棱风暴晶石,1,1,1,0
,,,,ITEM_SPAR_RED_CRT_3,五棱致命晶石,19,1,1,0
,,,,ITEM_SPAR_RED_CRT_4,六棱致命晶石,1,1,1,0
,,,,ITEM_SPAR_YELLOW_HP_3,五棱无畏晶石,19,1,1,0
,,,,ITEM_SPAR_YELLOW_HP_4,六棱无畏晶石,1,1,1,0
,,,,ITEM_SPAR_YELLOW_ARM_3,五棱壁垒晶石,19,1,1,0
,,,,ITEM_SPAR_YELLOW_ARM_4,六棱壁垒晶石,1,1,1,0
,,,,ITEM_SPAR_YELLOW_SPR_3,五棱不屈晶石,19,1,1,0
,,,,ITEM_SPAR_YELLOW_SPR_4,六棱不屈晶石,1,1,1,0
,,,,ITEM_SPAR_BLUE_CRTH_3,五棱振奋晶石,19,1,1,0
,,,,ITEM_SPAR_BLUE_CRTH_4,六棱振奋晶石,1,1,1,0
,,,,ITEM_SPAR_BLUE_ARP_3,五棱破甲晶石,19,1,1,0
,,,,ITEM_SPAR_BLUE_ARP_4,六棱破甲晶石,1,1,1,0
,,,,ITEM_SPAR_BLUE_MPEN_3,五棱专注晶石,19,1,1,0
,,,,ITEM_SPAR_BLUE_MPEN_4,六棱专注晶石,1,1,1,0
,,,,ITEM_SPAR_GREEN_HP_CRTH_3,五棱奋勇晶石,19,1,1,0
,,,,ITEM_SPAR_GREEN_HP_CRTH_4,六棱奋勇晶石,1,1,1,0
,,,,ITEM_SPAR_GREEN_ARM_MPEN_3,五棱均衡晶石,19,1,1,0
,,,,ITEM_SPAR_GREEN_ARM_MPEN_4,六棱均衡晶石,1,1,1,0
,,,,ITEM_SPAR_GREEN_SPR_ARP_3,五棱戒律晶石,19,1,1,0
,,,,ITEM_SPAR_GREEN_SPR_ARP_4,六棱戒律晶石,1,1,1,0
,,,,ITEM_SPAR_PURPLE_ATK_ARP_3,五棱野性晶石,19,1,1,0
,,,,ITEM_SPAR_PURPLE_ATK_ARP_4,六棱野性晶石,1,1,1,0
,,,,ITEM_SPAR_PURPLE_MGK_MPEN_3,五棱梦魇晶石,19,1,1,0
,,,,ITEM_SPAR_PURPLE_MGK_MPEN_4,六棱梦魇晶石,1,1,1,0
,,,,ITEM_SPAR_PURPLE_CRT_CRTH_3,五棱无双晶石,19,1,1,0
,,,,ITEM_SPAR_PURPLE_CRT_CRTH_4,六棱无双晶石,1,1,1,0
,,,,ITEM_SPAR_ORANGE_ATK_SPR_3,五棱坚韧晶石,19,1,1,0
,,,,ITEM_SPAR_ORANGE_ATK_SPR_4,六棱坚韧晶石,1,1,1,0
,,,,ITEM_SPAR_ORANGE_MGK_ARM_3,五棱刚毅晶石,19,1,1,0
,,,,ITEM_SPAR_ORANGE_MGK_ARM_4,六棱刚毅晶石,1,1,1,0
,,,,ITEM_SPAR_ORANGE_CRT_HP_3,五棱正义晶石,19,1,1,0
,,,,ITEM_SPAR_ORANGE_CRT_HP_4,六棱正义晶石,1,1,1,0
SUPER_SPAR_PACKAGE_DROP,1005,六棱晶石大礼包,Item,ITEM_SPAR_RED_ATK_4,六棱狂热晶石,1,1,1,0
,,,,ITEM_SPAR_RED_MGK_4,六棱风暴晶石,1,1,1,0
,,,,ITEM_SPAR_RED_CRT_4,六棱致命晶石,1,1,1,0
,,,,ITEM_SPAR_YELLOW_HP_4,六棱无畏晶石,1,1,1,0
,,,,ITEM_SPAR_YELLOW_ARM_4,六棱壁垒晶石,1,1,1,0
,,,,ITEM_SPAR_YELLOW_SPR_4,六棱不屈晶石,1,1,1,0
,,,,ITEM_SPAR_BLUE_CRTH_4,六棱振奋晶石,1,1,1,0
,,,,ITEM_SPAR_BLUE_ARP_4,六棱破甲晶石,1,1,1,0
,,,,ITEM_SPAR_BLUE_MPEN_4,六棱专注晶石,1,1,1,0
,,,,ITEM_SPAR_GREEN_HP_CRTH_4,六棱奋勇晶石,1,1,1,0
,,,,ITEM_SPAR_GREEN_ARM_MPEN_4,六棱均衡晶石,1,1,1,0
,,,,ITEM_SPAR_GREEN_SPR_ARP_4,六棱戒律晶石,1,1,1,0
,,,,ITEM_SPAR_PURPLE_ATK_ARP_4,六棱野性晶石,1,1,1,0
,,,,ITEM_SPAR_PURPLE_MGK_MPEN_4,六棱梦魇晶石,1,1,1,0
,,,,ITEM_SPAR_PURPLE_CRT_CRTH_4,六棱无双晶石,1,1,1,0
,,,,ITEM_SPAR_ORANGE_ATK_SPR_4,六棱坚韧晶石,1,1,1,0
,,,,ITEM_SPAR_ORANGE_MGK_ARM_4,六棱刚毅晶石,1,1,1,0
,,,,ITEM_SPAR_ORANGE_CRT_HP_4,六棱正义晶石,1,1,1,0
RANDOM_SPAR_PACKAGE_DROP_2,1006,随机晶石大礼包,Item,ITEM_SPAR_RED_ATK_3,,1,1,1,0
,,,,ITEM_SPAR_RED_ATK_2,,2,1,1,0
,,,,ITEM_SPAR_RED_MGK_3,,1,1,1,0
,,,,ITEM_SPAR_RED_MGK_2,,2,1,1,0
,,,,ITEM_SPAR_RED_CRT_3,,1,1,1,0
,,,,ITEM_SPAR_RED_CRT_2,,2,1,1,0
,,,,ITEM_SPAR_YELLOW_HP_3,,1,1,1,0
,,,,ITEM_SPAR_YELLOW_HP_2,,2,1,1,0
,,,,ITEM_SPAR_YELLOW_ARM_3,,1,1,1,0
,,,,ITEM_SPAR_YELLOW_ARM_2,,2,1,1,0
,,,,ITEM_SPAR_YELLOW_SPR_3,,1,1,1,0
,,,,ITEM_SPAR_YELLOW_SPR_2,,2,1,1,0
,,,,ITEM_SPAR_BLUE_CRTH_3,,1,1,1,0
,,,,ITEM_SPAR_BLUE_CRTH_2,,2,1,1,0
,,,,ITEM_SPAR_BLUE_ARP_3,,1,1,1,0
,,,,ITEM_SPAR_BLUE_ARP_2,,2,1,1,0
