_ID,_VALUE,#ArtDungeonSize:int,ArtEnvironmentPrefab:string,BaseMap:string[],ArtFloorSprite:string[],ArtFloorSpriteProbaility:int[],ArtFloorMassif:string[],ArtFloorMassifSeal:int[],ArtFloorMassifProbaility:int[],ArtBarrierSprite:string[],ArtBarrierSpriteProbaility:int[],ArtBarrierUpperLeft:string[],ArtBarrierUpperLeftProbaility:int[],ArtBarrierUpperRight:string[],ArtBarrierUpperRighProbaility:int[],ArtBarrierLowerLeft:string[],ArtBarrierLowerLeftProbaility:int[],ArtBarrierLowerRight:string[],ArtBarrierLowerRightProbaility:int[],ArtBarrierUpperCorner:string[],ArtBarrierUpperCornerProbaility:int[],ArtBarrierLowerCorner:string[],ArtBarrierLowerCornerProbaility:int[],ArtBarrierLeftCorner:string[],ArtBarrierLeftCornerProbaility:int[],ArtBarrierRightCorner:string[],ArtBarrierRightCornerProbaility:int[],ArtEntrance:string[],ArtEnvironmentFxClick:string,ArtEnvironmentFxGroundShadow:string,ArtEnvironmentFxLightshafts:string,ArtEnvironmentFxPaoPao:string,ArtEnvironmentMassifBlast:string
DUNGEON_ART_TEMPLATE_001,10001,,25,Seabed/BG_Dungeons_Tile_01,Seabed/Mosaic_Explored_001,10,Seabed/Mosaic_A_001,-65,5,Seabed/Stop_Barricade_1,5,Seabed/Cylinder_Left_001,5,Seabed/Cylinder_Right_001,5,Seabed/Jamb_Left_001,5,Seabed/Jamb_Right_001,5,Seabed/Wall_Joint,10,Seabed/Jamb_Joint,10,Seabed/Corner_Left,10,Seabed/Corner_Right,10,Seabed/Entrance_Off,FX_Dungeon_Click,FX_Dungeon_GroundShadow,FX_Dungeon_Lightshafts,FX_Dungeon_PaoPao,FX_Dungeon_Plaid
,,,,,Seabed/Mosaic_Explored_002,10,Seabed/Mosaic_A_002,-65,5,Seabed/Stop_Barricade_2,5,Seabed/Cylinder_Left_002,5,Seabed/Cylinder_Right_002,5,Seabed/Jamb_Left_002,5,Seabed/Jamb_Right_002,5,,,,,,,,,Seabed/Entrance_On,,,,,
,,,,,Seabed/Mosaic_Explored_003,10,Seabed/Mosaic_A_003,-65,5,,,Seabed/Cylinder_Left_003,5,Seabed/Cylinder_Right_003,5,Seabed/Jamb_Left_003,5,Seabed/Jamb_Right_003,5,,,,,,,,,,,,,,
,,,,,Seabed/Mosaic_Explored_004,10,Seabed/Mosaic_A_004,-65,5,,,Seabed/Board_Left,5,Seabed/Board_Right,5,Seabed/Jamb_Left_004,5,Seabed/Jamb_Right_004,5,,,,,,,,,,,,,,
,,,,,,,Seabed/Mosaic_A_005,-65,5,,,Seabed/Wall_Left_001,5,Seabed/Wall_Right_001,5,,,,,,,,,,,,,,,,,,
,,,,,,,Seabed/Mosaic_A_006,-65,5,,,Seabed/Wall_Left_002,5,Seabed/Wall_Right_002,5,,,,,,,,,,,,,,,,,,
,,,,,,,Seabed/Mosaic_A_007,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seabed/Mosaic_A_008,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seabed/Mosaic_A_009,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seabed/Mosaic_B_001,-50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seabed/Mosaic_B_002,-50,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seabed/Mosaic_C_001,-75,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seabed/Mosaic_C_002,-75,5,,,,,,,,,,,,,,,,,,,,,,,,
DUNGEON_ART_TEMPLATE_002,10002,,25,Desert/BG_Dungeons_Tile_02,Desert/Mosaic_Explored_Desert_001,10,Desert/Mosaic_A_Desert_001,-65,5,Desert/Stop_Barricade_Desert_1,5,Desert/Cylinder_Left_Desert_001,5,Desert/Cylinder_Right_Desert_001,5,Desert/Jamb_Left_Desert_001,5,Desert/Jamb_Right_Desert_001,5,Desert/Wall_Joint_Desert,10,Desert/Jamb_Joint_Desert,10,Desert/Corner_Left_Desert,10,Desert/Corner_Right_Desert,10,Desert/Entrance_Off_Desert,,FX_Dungeon_GroundShadow,FX_Dungeon_Desert_Lightshafts,FX_Dungeon_Desert_Sands,FX_Dungeon_Desert_Plaid
,,,,,Desert/Mosaic_Explored_Desert_002,10,Desert/Mosaic_A_Desert_002,-65,5,Desert/Stop_Barricade_Desert_2,5,Desert/Cylinder_Left_Desert_002,5,Desert/Cylinder_Right_Desert_002,5,Desert/Jamb_Left_Desert_002,5,Desert/Jamb_Right_Desert_002,5,,,,,,,,,Desert/Entrance_On_Desert,,,,,
,,,,,Desert/Mosaic_Explored_Desert_003,10,Desert/Mosaic_A_Desert_003,-65,5,,,Desert/Cylinder_Left_Desert_003,5,Desert/Cylinder_Right_Desert_003,5,Desert/Jamb_Left_Desert_003,5,Desert/Jamb_Right_Desert_003,5,,,,,,,,,,,,,,
,,,,,Desert/Mosaic_Explored_Desert_004,10,Desert/Mosaic_A_Desert_004,-65,5,,,Desert/Board_Left_Desert,5,Desert/Board_Right_Desert,5,Desert/Jamb_Left_Desert_004,5,Desert/Jamb_Right_Desert_004,5,,,,,,,,,,,,,,
,,,,,,,Desert/Mosaic_A_Desert_005,-65,5,,,Desert/Wall_Left_Desert_001,5,Desert/Wall_Right_Desert_001,5,,,,,,,,,,,,,,,,,,
,,,,,,,Desert/Mosaic_A_Desert_006,-65,5,,,Desert/Wall_Left_Desert_002,5,Desert/Wall_Right_Desert_002,5,,,,,,,,,,,,,,,,,,
,,,,,,,Desert/Mosaic_A_Desert_007,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Desert/Mosaic_A_Desert_008,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Desert/Mosaic_A_Desert_009,-65,5,,,,,,,,,,,,,,,,,,,,,,,,
