_ID,_VALUE,#AutoTips:string,AutoDungeonSize:string,AutoPortalEventLayer:string[],AutoEnemyMonsterNum:int[],AutoMonsterLib:id[],AutoEnemySpecialEffectLib:id[],AutoItemNum:string,AutoItemLib:id[],AutoEventNum:string,AutoEventLib:id[],EventBirthGrid:int[],AutoDefaultOpen:int,MonsterAttrLevel:int[],MonsterStar:int[],MonsterHpRate:int[],MonsterAttackRate:int[],ScrollStar:int[],ScrollHpRate:int[],ScrollAttackRate:int[],UsedMonsterAttrLevel:int[],UsedMonsterStar:int[],UsedMonsterHpRate:int[],UsedMonsterAttackRate:int[],UsedScrollStar:int[],UsedScrollHpRate:int[],UsedScrollAttackRate:int[]
DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_001,10001,海底第1层,5#5,7#1#1,5,DUNGEON_LIB_MONSTER_GROUP_NEW_001,None,3#3,DUNGEON_LIB_ITEMLIB_GROUP_003,3#3,DUNGEON_LIB_EVENTLIB_HOTSPRING_001,0,0,70,4,150,110,3,120,100,42,3,120,100,2,110,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_002,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_BUBBLE_001,0,,70,4,150,110,3,120,100,42,3,120,100,2,110,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_003,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_GROUP_009,0,,70,4,150,110,3,120,100,42,3,120,100,2,110,100
DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_002,10002,海底第2层,5#5,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_001,None,3#3,DUNGEON_LIB_ITEMLIB_GROUP_003,3#3,DUNGEON_LIB_EVENTLIB_STATUE_001,0,0,75,4,160,110,3,130,100,44,3,130,100,2,120,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_002,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_THEME_001,0,,75,4,160,110,3,130,100,44,3,130,100,2,120,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_003,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_GROUP_009,0,,75,4,160,110,3,130,100,44,3,130,100,2,120,100
DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_003,10003,海底第3层,5#5,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_001,None,3#3,DUNGEON_LIB_ITEMLIB_GROUP_003,3#3,DUNGEON_LIB_EVENTLIB_HOTSPRING_001,0,0,80,4,170,110,3,140,100,46,3,130,100,2,130,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_002,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_BUBBLE_001,0,,80,4,170,110,3,140,100,46,3,130,100,2,130,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_003,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_GROUP_009,0,,80,4,170,110,3,140,100,46,3,130,100,2,130,100
DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_004,10004,海底第4层,5#5,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_001,None,3#3,DUNGEON_LIB_ITEMLIB_GROUP_003,3#3,DUNGEON_LIB_EVENTLIB_STATUE_001,0,0,85,5,180,110,3,150,100,48,3,140,100,2,130,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_002,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_THEME_001,0,,85,5,180,110,3,150,100,48,3,140,100,2,130,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_003,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_GROUP_009,0,,85,5,180,110,3,150,100,48,3,140,100,2,130,100
DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_005,10005,海底第6层,6#6,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_004,None,3#4,DUNGEON_LIB_ITEMLIB_GROUP_003,3#3,DUNGEON_LIB_EVENTLIB_HOTSPRING_001,0,0,95,5,200,130,4,170,110,52,3,150,100,2,140,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_005,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_BUBBLE_001,0,,95,5,200,130,4,170,110,52,3,150,100,2,140,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_006,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_GROUP_009,0,,95,5,200,130,4,170,110,52,3,150,100,2,140,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_007,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,,,,95,5,200,130,4,170,110,52,3,150,100,2,140,100
DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_006,10006,海底第7层,6#6,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_004,None,3#4,DUNGEON_LIB_ITEMLIB_GROUP_003,3#3,DUNGEON_LIB_EVENTLIB_STATUE_001,0,0,100,5,210,140,4,170,110,54,3,170,100,2,150,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_005,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_THEME_001,0,,100,5,210,140,4,170,110,54,3,170,100,2,150,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_006,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_GROUP_009,0,,100,5,210,140,4,170,110,54,3,170,100,2,150,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_007,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,,,,100,5,210,140,4,170,110,54,3,170,100,2,150,100
DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_007,10007,海底第8层,6#6,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_004,None,3#4,DUNGEON_LIB_ITEMLIB_GROUP_003,3#3,DUNGEON_LIB_EVENTLIB_HOTSPRING_001,0,0,105,5,230,150,4,170,110,56,3,190,100,2,160,100
,,,,,5,DUNGEON_LIB_MONSTER_GROUP_NEW_005,None,,DUNGEON_LIB_ITEMLIB_GROUP_003,,DUNGEON_LIB_EVENTLIB_BUBBLE_001,0,,105,5,230,150,4,170,110,56,3,190,100,2,160,100
