_ID,_VALUE,#EffectComment:string,EffectNameLoc:loc[],EffectDesLoc:loc[],EffectDetailDesLoc:loc[],EffectIcon:string[],EffectRarity:string[],TargetTeam:string[],TargetTeamNum:int[],TargetUnitType:string[],TargetUnitNum:int[],EffectType:string[],EffectRoundType:string[],EffectRoundNumber:int[],FxPlayType:string[],Camp:string[],TriggerRound:int[],EffectBattle:bool[],EffectMVP:bool[],BuffType:string[],EffectAttackAnimation:string[],Delay:int[],FxPath:string[],FxDuration:int[],SFX:id[],#EffectPara1Name:string,EffectPara1:int[],#EffectPara2Name:string[],EffectPara2:int[],#EffectPara3Name:string,EffectPara3:int[],#EffectPara4Name:string,EffectPara4:int[],#EffectPara5Name:string,EffectPara5:int[],UPItem:id[],UPItemNumber:int[],ParaStr:string[]
DUNGEON_EFFECT_HPBOOST_T1,90001,测试加血2,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_NONE,,Normal,All,99,LowestHP,999,BUFF,Grid,0,DoEffect,None,1,FALSE,FALSE,HPAll,,0,,,,恢复各魔物总血量的X%,15,,,,,,,,,None,0,
DUNGEON_EFFECT_POSTWAR_ALL_INCOMINGDMGREDUCE_1,90002,全体受伤减免提高,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_NONE,ICON_Relic_Scissors_Restraint_01,Rare,Self,1,,,RELIC,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreasePhysicalMagicalHurtRule,,0,,,,,12,,,,,,,,,None,0,
DUNGEON_EFFECT_POSTWAR_ALL_SKILL_HURT_DECLINE_1,90003,全体技能伤害提高,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_NONE,ICON_Relic_Paper_Restraint_01,Rare,Self,1,,,RELIC,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreaseSkillDamageRule,,0,,,,,12,,,,,,,,,None,0,
DUNGEON_EFFECT_POSTWAR_ALL_CRT_1,90004,全体暴击率提高,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_NONE,ICON_Relic_Rock_Restraint_01,Rare,Self,1,,,RELIC,Battle,-1,AddEffect,None,1,TRUE,FALSE,IncreaseCriticalHitRule,,0,,,,,10,,,,,,,,,None,0,
DUNGEON_EFFECT_HPBOOST_1,10000,加血1,LOC_NONE,LOC_DUNGEON_EFFECT_DES_HPBOOST_1,LOC_NONE,,Normal,Self,1,LowestHP,1,BUFF,Grid,0,TeamChangeHPStart,None,1,FALSE,FALSE,HPAll,,500,FX_HP_Increase_PotionS,1500,SFX_DUNGEON_ITEM_HP_S,恢复魔物总血量的X%,300,,,,,,,,,None,0,
DUNGEON_EFFECT_HPBOOST_2,10001,加血2,LOC_NONE,LOC_DUNGEON_EFFECT_DES_HPBOOST_2,LOC_NONE,,Normal,Self,1,Random,999,BUFF,Grid,0,TeamChangeHPStart,None,1,FALSE,FALSE,HPAll,,500,FX_HP_Increase_PotionM,1500,SFX_DUNGEON_ITEM_HP_M,恢复各魔物总血量的X%,300,,,,,,,,,None,0,
DUNGEON_EFFECT_HPBOOST_3,10002,加血3,LOC_NONE,LOC_DUNGEON_EFFECT_DES_HPBOOST_3,LOC_NONE,,Normal,Self,1,Random,999,BUFF,Grid,0,TeamChangeHPStart,None,1,FALSE,FALSE,HPHero,,500,FX_HP_Increase_PotionL,1500,SFX_DUNGEON_ITEM_HP_L,恢复各魔物总血量的X%,600,,,,,,,,,None,0,
DUNGEON_EFFECT_SPBOOST_1,10003,加SP,LOC_NONE,LOC_DUNGEON_EFFECT_DES_SPBOOST_1,LOC_NONE,,Normal,Self,1,,,BUFF,Battle,1,AddEffect,None,1,TRUE,FALSE,StartBattleSkillManaPointRule ,,500,FX_SP_Increase_PotionL,1500,SFX_DUNGEON_ITEM_SP,初始拥有魔力点,100,,,,,,,,,None,0,
DUNGEON_EFFECT_RELIEVE_DEBUFF_1,10004,解除减益,LOC_NONE,LOC_DUNGEON_EFFECT_DES_RELIEVE_DEBUFF_1,LOC_NONE,,Normal,Self,1,,,BUFF,Grid,0,AddEffect,None,1,FALSE,FALSE,RelieveDebuff,,500,FX_Puri_Potion,1500,SFX_DUNGEON_ITEM_PURI,,,,,,,,,,,None,0,
DUNGEON_EFFECT_IMMUNE_DEBUFF_1,10005,免疫减益,LOC_NONE,LOC_DUNGEON_EFFECT_DES_IMMUNE_DEBUFF_1,LOC_NONE,,Normal,Self,1,,,BUFF,Grid,1,AddEffect,None,3,FALSE,FALSE,ImmuneDebuff,,0,,,,,,,,,,,,,,None,0,
DUNGEON_EFFECT_SEAL_ABILITY_1,10006,封印被动1,LOC_NONE,LOC_DUNGEON_EFFECT_DES_SEAL_ABILITY_1,LOC_NONE,,Normal,TargetEnemy,1,,,BUFF,Grid,1,AddEffect,None,5,FALSE,FALSE,SealPassiveness,,0,,,,,,,,,,,,,,None,0,
DUNGEON_EFFECT_SEAL_ABILITY_2,10007,封印被动2,LOC_NONE,LOC_DUNGEON_EFFECT_DES_SEAL_ABILITY_2,LOC_NONE,,Normal,Enemy,99,,,BUFF,Grid,1,AddEffect,None,3,FALSE,FALSE,SealPassiveness,,0,,,,,,,,,,,,,,None,0,
DUNGEON_EFFECT_SEAL_ABILITY_ADD_1,10008,封印被动1-赋予,LOC_NONE,LOC_DUNGEON_EFFECT_DES_SEAL_ABILITY_1,LOC_NONE,,Normal,TargetEnemy,1,,,BUFF,Grid,0,,None,1,FALSE,FALSE,AddEffect,,500,FX_Seal_Scroll,1500,SFX_DUNGEON_ITEM_SEAL_SCROLL,封印被动1-赋予,10006,,,概率,1000,,,,,None,0,
DUNGEON_EFFECT_SEAL_ABILITY_ADD_2,10009,封印被动2-赋予,LOC_NONE,LOC_DUNGEON_EFFECT_DES_SEAL_ABILITY_2,LOC_NONE,,Normal,Enemy,99,,,BUFF,Grid,0,,None,1,FALSE,FALSE,AddEffect,,500,FX_Seal_Scroll,1500,SFX_DUNGEON_ITEM_SEAL_SCROLL,封印被动2-赋予,10007,,,概率,1000,,,,,None,0,
