_ID,_VALUE,#EventComment:string[],EventName:loc,BigEventMask:bool,EventOpen:bool,EventSpriteMiddle:string,EventSpriteAfter:string,EventSpriteFront:string,EventTriggerType:string,EventType:string,EventTextLoc:loc,EventChoiceLoc:loc[],EventChoiceSuccessRate:int[],EventChoiceEffectPreviewLoc:loc[],EventChoiceFeedbackLoc:loc[],EventChoiceChaAnimation:string[],EventSuccessDropTextLoc:loc[],EventFailDropTextLoc:loc[],EventSuccessLib:id[][],EventFailLib:id[][],EventEmoji:string,EventAnimType:string[],EventStandby:string,#EventPara1Des:string,EventPara1:int[],#EventPara2Des:string,EventPara2:int[],#EventPara3Des:string,EventPara3:int[],#EventPara4Des:string,EventPara4:int[],#EventPara5Des:string,EventPara5:int[],EventPara6:string,TargetEffect:id[]
DUNGEON_EVENT_BATTLE_EFFECT_1,60004,战后事件,LOC_ITEM_NAMECN_ITEM_GOLD,FALSE,FALSE,Event_Empty,,,Auto,Relic,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,0,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,,LOC_NONE,LOC_NONE,DUNGEON_LIB_EFFECTLIB_BATTLE_END_GROUP_001,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_TEST_1,60007,马克-牢笼-打破牢笼,LOC_ITEM_NAMECN_ITEM_GOLD,FALSE,FALSE,Event_Marc,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,-1,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,,LOC_NONE,LOC_NONE,DUNGEON_LIB_EFFECT_TEST_031,None,,BreakCage,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,马克-牢笼-给水果,,,,,,,,,,LOC_ITEM_NAMECN_ITEM_GOLD,400,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,,LOC_NONE,LOC_NONE,DUNGEON_LIB_EFFECT_TEST_031,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,None,,0,0,0,0,0,0,0,0,0,0,,
,,马克-牢笼-无视离开,,,,,,,,,,LOC_ITEM_NAMECN_ITEM_GOLD,-1,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,,LOC_NONE,LOC_NONE,None,None,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_1,10001,螃蟹-牢笼-打破牢笼,LOC_DUNGEON_EVENT_NAME_HELP_1,FALSE,FALSE,Event_Vadon,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_DUNGEON_EVENT_HELP_1,LOC_DUNGEON_EVENT_HELP_PRESS_1,-1,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_1,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_1,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_1,LOC_NONE,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_001,None,,BreakCage,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_2,10002,螃蟹-牢笼-打破牢笼,LOC_DUNGEON_EVENT_NAME_HELP_2,FALSE,FALSE,Event_Vadon,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_DUNGEON_EVENT_HELP_2,LOC_DUNGEON_EVENT_HELP_PRESS_2,-1,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_2,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_2,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_2,LOC_NONE,DUNGEON_LIB_ITEMLIB_GROUP_001,None,,BreakCage,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,螃蟹-牢笼-伸手进入,,,,,,,,,,LOC_DUNGEON_EVENT_HELP_PRESS_3,550,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_3,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_3,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_3,LOC_DUNGEON_EVENT_HELP_RESULT_FAILURE_1,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_001,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_002,,None,,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_3,10003,乌贼-牢笼-打破牢笼,LOC_DUNGEON_EVENT_NAME_HELP_3,FALSE,FALSE,Event_Marse,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_DUNGEON_EVENT_HELP_3,LOC_DUNGEON_EVENT_HELP_PRESS_4,-1,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_4,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_4,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_4,LOC_NONE,DUNGEON_LIB_ITEMLIB_GROUP_001,None,,BreakCage,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
DUNGEON_EVENT_HELP_4,10004,乌贼-牢笼-打破牢笼,LOC_DUNGEON_EVENT_NAME_HELP_4,FALSE,FALSE,Event_Marse,Event_Prison_Back,Event_Prison_Front,Click,Common,LOC_DUNGEON_EVENT_HELP_4,LOC_DUNGEON_EVENT_HELP_PRESS_5,-1,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_5,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_5,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_5,LOC_NONE,DUNGEON_LIB_ITEMLIB_GROUP_001,None,,BreakCage,Dungeon_Event_NPC,0,0,0,0,0,0,0,0,0,0,,
,,乌贼-牢笼-木柜捅下,,,,,,,,,,LOC_DUNGEON_EVENT_HELP_PRESS_6,-1,LOC_DUNGEON_EVENT_HELP_EFFECTPREVIEW_6,LOC_DUNGEON_EVENT_HELP_BEHAVIOR_6,,LOC_DUNGEON_EVENT_HELP_RESULT_SUCCESS_6,LOC_NONE,DUNGEON_LIB_EFFECTLIB_BATTLE_EVENT_GROUP_001,None,,None,,0,0,0,0,0,0,0,0,0,0,,
