_ID,_VALUE,#ItemComment:string,ItemName:loc,ItemDes:loc,ItemIcon:string,Itemlimit:bool,ItemType:string,TtemRarity:id,Display:bool,ItemTarget:int,#ItemPara1Des:string,ItemPara1:int[][],#ItemPara2Des:string,ItemPara2:int[][],#ItemPara3Des:string,ItemPara3:int[][],ItemShowAnimation:string,ItemShowEffects:id,ItemShowEmoji:string[][],ItemEmojiDuration:int[]
DUNGEON_ITEM_TEST_1,10018,测试1,LOC_DUNGEON_ITEM_NAME_HP_INCREASE_POTION_S,LOC_DUNGEON_ITEM_DESCN_HP_INCREASE_POTION_S,ICON_HP_Increase_PotionS,FALSE,Useable,RARITY_TYPE_GREEN,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_TEST_2,10019,测试2,LOC_DUNGEON_ITEM_NAME_HP_INCREASE_POTION_M,LOC_DUNGEON_ITEM_DESCN_HP_INCREASE_POTION_M,ICON_HP_Increase_PotionM,FALSE,Useable,RARITY_TYPE_BLUE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_HP_INCREASE_POTION_S,10001,HP增加药水(小),LOC_DUNGEON_ITEM_NAME_HP_INCREASE_POTION_S,LOC_DUNGEON_ITEM_DESCN_HP_INCREASE_POTION_S,ICON_HP_Increase_PotionS,FALSE,Useable,RARITY_TYPE_GREEN,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_HP_INCREASE_POTION_M,10002,HP增加药水(中),LOC_DUNGEON_ITEM_NAME_HP_INCREASE_POTION_M,LOC_DUNGEON_ITEM_DESCN_HP_INCREASE_POTION_M,ICON_HP_Increase_PotionM,FALSE,Useable,RARITY_TYPE_BLUE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_HP_INCREASE_POTION_L,10003,HP增加药水(大),LOC_DUNGEON_ITEM_NAME_HP_INCREASE_POTION_L,LOC_DUNGEON_ITEM_DESCN_HP_INCREASE_POTION_L,ICON_HP_Increase_Potion,FALSE,Useable,RARITY_TYPE_PURPLE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_SP_INCREASE_POTION_L,10004,SP增加药水,LOC_DUNGEON_ITEM_NAME_SP_INCREASE_POTION_L,LOC_DUNGEON_ITEM_DESCN_SP_INCREASE_POTION_L,ICON_SP_Increase_PotionL,FALSE,Useable,RARITY_TYPE_BLUE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_PURI_POTION,10005,净化药水,LOC_DUNGEON_ITEM_NAME_PURI_POTION,LOC_DUNGEON_ITEM_DESCN_PURI_POTION,ICON_Puri_Potion,FALSE,Useable,RARITY_TYPE_PURPLE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_GREAT_NATURE_1,10006,土灵原石,LOC_DUNGEON_ITEM_NAME_SEAL_SCROLL_1,LOC_DUNGEON_ITEM_DESCN_SEAL_SCROLL_1,ICON_Great_Nature,FALSE,Useable,RARITY_TYPE_BLUE,TRUE,0,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_SEAL_SCROLL_1,10007,被封印的魔法卷轴,LOC_DUNGEON_ITEM_NAME_SEAL_SCROLL_2,LOC_DUNGEON_ITEM_DESCN_SEAL_SCROLL_2,ICON_Seal_Scroll,TRUE,Useable,RARITY_TYPE_BLUE,TRUE,1,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
DUNGEON_ITEM_SEAL_SCROLL_2,10008,老旧卷轴,LOC_DUNGEON_ITEM_NAME_WORN_OUT_SCROLL,LOC_DUNGEON_ITEM_DESCN_WORN_OUT_SCROLL,ICON_Worn_Out_Scroll,FALSE,Useable,RARITY_TYPE_PURPLE,TRUE,-1,,0,,0,,0,,EFFECT_WALK_DUST,Emoji1#1|Emoji2#2|NONE#2,1500
