_ID,_VALUE,LibType:string[],#LibComment:string,Reward:id[],LibSecond:int,LibNum:int[],Weight:int[],Follow:id[],FollowRate:int[]
DUNGEON_LIB_EVENT_TEST_020,2000,Event,事件1,DUNGEON_EVENT_TEST_1,1,1,5,None,0
,,Event,事件1,DUNGEON_EVENT_TEST_1,,1,5,None,0
,,Event,事件1,DUNGEON_EVENT_TEST_1,,1,5,None,0
DUNGEON_LIB_EVENT_TEST_021,2001,Event,事件战后,DUNGEON_EVENT_BATTLE_EFFECT_1,1,1,5,None,0
,,Event,事件战后,DUNGEON_EVENT_BATTLE_EFFECT_1,,1,5,None,0
,,Event,事件战后,DUNGEON_EVENT_BATTLE_EFFECT_1,,1,5,None,0
DUNGEON_LIB_EFFECT_TEST_030,3000,Effect,增减益1,DUNGEON_EFFECT_POSTWAR_ALL_INCOMINGDMGREDUCE_1,3,1,5,None,0
,,Effect,增减益1,DUNGEON_EFFECT_POSTWAR_ALL_SKILL_HURT_DECLINE_1,,1,5,None,0
,,Effect,增减益1,DUNGEON_EFFECT_POSTWAR_ALL_CRT_1,,1,5,None,0
DUNGEON_LIB_EFFECT_TEST_031,3001,Effect,增减益1,DUNGEON_EFFECT_HPBOOST_T1,2,1,10,None,0
DUNGEON_LIB_MONSTER_TEST_040,4000,Monster,怪物1,DUNGEON_MONSTER_GROUP_001,1,1,5,DUNGEON_LIB_EVENT_TEST_021,10000
,,Monster,怪物1,DUNGEON_MONSTER_GROUP_001,,1,5,DUNGEON_LIB_EVENT_TEST_021,10000
,,Monster,怪物1,DUNGEON_MONSTER_GROUP_001,,1,5,DUNGEON_LIB_EVENT_TEST_021,10000
DUNGEON_LIB_MONSTER_TEST_041,4001,Monster,怪物2,DUNGEON_MONSTER_GROUP_001,1,1,5,None,0
,,Monster,怪物2,DUNGEON_MONSTER_GROUP_001,,1,5,None,0
,,Monster,怪物2,DUNGEON_MONSTER_GROUP_001,,1,5,None,0
DUNGEON_LIB_ITEMLIB_TEST_001,12003,Item,测试1,DUNGEON_ITEM_TEST_1,1,1,10,DUNGEON_LIB_EFFECT_UNDERSTAND_DAMAGE_ADDEFFECT_1,10000
DUNGEON_LIB_ITEMLIB_TEST_002,12004,Item,测试2,DUNGEON_ITEM_TEST_2,1,1,10,DUNGEON_LIB_EFFECT_UNDERSTAND_SWORDSMAN_3,10000
DUNGEON_LIB_ITEMLIB_001,10001,Item,HP增加药水(小),DUNGEON_ITEM_HP_INCREASE_POTION_S,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_001,10000
DUNGEON_LIB_ITEMLIB_002,10002,Item,HP增加药水(中),DUNGEON_ITEM_HP_INCREASE_POTION_M,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_002,10000
DUNGEON_LIB_ITEMLIB_003,10003,Item,HP增加药水(大),DUNGEON_ITEM_HP_INCREASE_POTION_L,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_003,10000
DUNGEON_LIB_ITEMLIB_004,10004,Item,SP增加药水,DUNGEON_ITEM_SP_INCREASE_POTION_L,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_004,10000
DUNGEON_LIB_ITEMLIB_005,10005,Item,净化药水,DUNGEON_ITEM_PURI_POTION,1,1,10,DUNGEON_LIB_EFFECTLIB_ABILITY_GROUP_005,10000
DUNGEON_LIB_ITEMLIB_007,10007,Item,被封印的魔法卷轴,DUNGEON_ITEM_SEAL_SCROLL_1,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_007,10000
DUNGEON_LIB_ITEMLIB_008,10008,Item,老旧卷轴,DUNGEON_ITEM_SEAL_SCROLL_2,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_008,10000
DUNGEON_LIB_ITEMLIB_009,10009,Item,战神的精魄,DUNGEON_ITEM_ESSENCE_OF_FIRE,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_009,10000
DUNGEON_LIB_ITEMLIB_010,10010,Item,天地树叶子,DUNGEON_ITEM_LEAF_OF_YGGDEASIL,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_010,10000
DUNGEON_LIB_ITEMLIB_011,10011,Item,强化大驹短剑,DUNGEON_ITEM_UPG_DAGGER,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_011,10000
DUNGEON_LIB_ITEMLIB_012,10012,Item,拉格利玛之杖,DUNGEON_ITEM_LACRYMA_STICK,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_012,10000
DUNGEON_LIB_ITEMLIB_013,10013,Item,瓦尔基里的盔甲,DUNGEON_ITEM_VALKYRIE_ARMOR,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_013,10000
DUNGEON_LIB_ITEMLIB_014,10014,Item,特级防御药水,DUNGEON_ITEM_EX_DEF_POTION,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_015,10000
DUNGEON_LIB_ITEMLIB_015,10015,Item,高浓度的能量结晶,DUNGEON_ITEM_HIGH_PURITY_ENERGY_XTAL,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_016,10000
DUNGEON_LIB_ITEMLIB_016,10016,Item,元素之剑,DUNGEON_ITEM_ELEMENTAL_SWORD,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_017,10000
DUNGEON_LIB_ITEMLIB_017,10017,Item,毒药瓶,DUNGEON_ITEM_POISON_BOTTLE,1,1,10,DUNGEON_LIB_EFFECTLIB_ITEM_018,10000
DUNGEON_LIB_ITEMLIB_018,10018,Item,红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,1,1,10,None,0
DUNGEON_LIB_ITEMLIB_019,10019,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,1,1,10,None,0
DUNGEON_LIB_ITEMLIB_020,10020,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,1,1,10,None,0
DUNGEON_LIB_ITEMLIB_021,10021,Item,龙珠宝箱,DUNGEON_ITEM_DRAGONBALL_TREASURE,1,1,10,DUNGEON_LIB_ITEMLIB_GROUP_005,10000
DUNGEON_LIB_ITEMLIB_022,10027,Item,出击令,DUNGEON_ITEM_ATTACK_TOKEN,1,1,10,None,0
DUNGEON_LIB_ITEMLIB_023,10028,Item,剑士,DUNGEON_ITEM_SWORDSMAN,1,1,10,None,0
DUNGEON_LIB_ITEMLIB_024,10029,Item,贤者,DUNGEON_ITEM_SAGE,1,1,10,None,0
DUNGEON_LIB_ITEMLIB_025,10030,Item,牧师,DUNGEON_ITEM_PRIEST,1,1,10,None,0
DUNGEON_DESERT_LIB_ITEMLIB_GROUP_001,10031,Item,剑士,DUNGEON_ITEM_SWORDSMAN,1,2,10,None,0
,,Item,剑士,DUNGEON_ITEM_SWORDSMAN,,3,10,None,0
,,Item,剑士,DUNGEON_ITEM_SWORDSMAN,,4,10,None,0
,,Item,剑士,DUNGEON_ITEM_SWORDSMAN,,5,10,None,0
DUNGEON_DESERT_LIB_ITEMLIB_GROUP_002,10032,Item,贤者,DUNGEON_ITEM_SAGE,1,2,10,None,0
,,Item,贤者,DUNGEON_ITEM_SAGE,,3,10,None,0
,,Item,贤者,DUNGEON_ITEM_SAGE,,4,10,None,0
,,Item,贤者,DUNGEON_ITEM_SAGE,,5,10,None,0
DUNGEON_DESERT_LIB_ITEMLIB_GROUP_003,10033,Item,牧师,DUNGEON_ITEM_PRIEST,1,2,10,None,0
,,Item,牧师,DUNGEON_ITEM_PRIEST,,3,10,None,0
,,Item,牧师,DUNGEON_ITEM_PRIEST,,4,10,None,0
,,Item,牧师,DUNGEON_ITEM_PRIEST,,5,10,None,0
DUNGEON_DESERT_LIB_ITEMLIB_GROUP_DOUBLE_001,10036,Item,剑士,DUNGEON_ITEM_SWORDSMAN,1,4,10,None,0
,,Item,剑士,DUNGEON_ITEM_SWORDSMAN,,5,10,None,0
,,Item,剑士,DUNGEON_ITEM_SWORDSMAN,,6,10,None,0
DUNGEON_DESERT_LIB_ITEMLIB_GROUP_DOUBLE_002,10037,Item,贤者,DUNGEON_ITEM_SAGE,1,4,10,None,0
,,Item,贤者,DUNGEON_ITEM_SAGE,,5,10,None,0
,,Item,贤者,DUNGEON_ITEM_SAGE,,6,10,None,0
DUNGEON_DESERT_LIB_ITEMLIB_GROUP_DOUBLE_003,10038,Item,牧师,DUNGEON_ITEM_PRIEST,1,4,10,None,0
,,Item,牧师,DUNGEON_ITEM_PRIEST,,5,10,None,0
,,Item,牧师,DUNGEON_ITEM_PRIEST,,6,10,None,0
DUNGEON_DESERT_LIB_ITEMLIB_GROUP_004,10034,Item,剑士,DUNGEON_ITEM_SWORDSMAN,3,30,10,None,0
,,Item,贤者,DUNGEON_ITEM_SAGE,,30,10,None,0
,,Item,牧师,DUNGEON_ITEM_PRIEST,,30,10,None,0
DUNGEON_LIB_ITEMLIB_026,10035,Item,出击令,DUNGEON_ITEM_ATTACK_TOKEN,1,10,10,None,0
DUNGEON_LIB_ITEMLIB_GROUP_001,10022,Item,使用道具组-HP增加药水(小),DUNGEON_ITEM_HP_INCREASE_POTION_S,1,1,2778,DUNGEON_LIB_EFFECTLIB_ITEM_001,10000
,,Item,HP增加药水(中),DUNGEON_ITEM_HP_INCREASE_POTION_M,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_002,10000
,,Item,HP增加药水(大),DUNGEON_ITEM_HP_INCREASE_POTION_L,,1,278,DUNGEON_LIB_EFFECTLIB_ITEM_003,10000
,,Item,SP增加药水,DUNGEON_ITEM_SP_INCREASE_POTION_L,,1,278,DUNGEON_LIB_EFFECTLIB_ITEM_004,10000
,,Item,净化药水,DUNGEON_ITEM_PURI_POTION,,1,556,DUNGEON_LIB_EFFECTLIB_ABILITY_GROUP_005,10000
,,Item,战神的精魄,DUNGEON_ITEM_ESSENCE_OF_FIRE,,1,1389,DUNGEON_LIB_EFFECTLIB_ITEM_009,10000
,,Item,天地树叶子,DUNGEON_ITEM_LEAF_OF_YGGDEASIL,,1,278,DUNGEON_LIB_EFFECTLIB_ITEM_010,10000
,,Item,强化大驹短剑,DUNGEON_ITEM_UPG_DAGGER,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_011,10000
,,Item,拉格利玛之杖,DUNGEON_ITEM_LACRYMA_STICK,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_012,10000
,,Item,瓦尔基里的盔甲,DUNGEON_ITEM_VALKYRIE_ARMOR,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_013,10000
,,Item,特级防御药水,DUNGEON_ITEM_EX_DEF_POTION,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_015,10000
,,Item,高浓度的能量结晶,DUNGEON_ITEM_HIGH_PURITY_ENERGY_XTAL,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_016,10000
,,Item,元素之剑,DUNGEON_ITEM_ELEMENTAL_SWORD,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_017,10000
,,Item,毒药瓶,DUNGEON_ITEM_POISON_BOTTLE,,1,556,DUNGEON_LIB_EFFECTLIB_ITEM_018,10000
DUNGEON_LIB_ITEMLIB_GROUP_002,10023,Item,非使用道具组-红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,1,6,100,None,0
,,Item,红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,,7,100,None,0
,,Item,红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,,8,100,None,0
,,Item,红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,,9,100,None,0
,,Item,红色龙珠,DUNGEON_ITEM_DRAGONBALL_RED,,10,100,None,0
,,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,,6,200,None,0
,,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,,7,200,None,0
,,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,,8,200,None,0
,,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,,9,200,None,0
,,Item,蓝色龙珠,DUNGEON_ITEM_DRAGONBALL_BLUE,,10,200,None,0
,,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,,6,200,None,0
,,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,,7,200,None,0
,,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,,8,200,None,0
,,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,,9,200,None,0
,,Item,黄色龙珠,DUNGEON_ITEM_DRAGONBALL_YELLOW,,10,200,None,0
,,Item,龙珠宝箱,DUNGEON_ITEM_DRAGONBALL_TREASURE,,1,132,DUNGEON_LIB_ITEMLIB_GROUP_005,10000
DUNGEON_LIB_ITEMLIB_GROUP_003,10024,Item,全部道具组-HP增加药水(小),DUNGEON_ITEM_HP_INCREASE_POTION_S,1,1,2857,DUNGEON_LIB_EFFECTLIB_ITEM_001,10000
,,Item,HP增加药水(中),DUNGEON_ITEM_HP_INCREASE_POTION_M,,1,857,DUNGEON_LIB_EFFECTLIB_ITEM_002,10000
,,Item,HP增加药水(大),DUNGEON_ITEM_HP_INCREASE_POTION_L,,1,286,DUNGEON_LIB_EFFECTLIB_ITEM_003,10000
,,Item,SP增加药水,DUNGEON_ITEM_SP_INCREASE_POTION_L,,1,286,DUNGEON_LIB_EFFECTLIB_ITEM_004,10000
,,Item,净化药水,DUNGEON_ITEM_PURI_POTION,,1,571,DUNGEON_LIB_EFFECTLIB_ABILITY_GROUP_005,10000
,,Item,战神的精魄,DUNGEON_ITEM_ESSENCE_OF_FIRE,,1,857,DUNGEON_LIB_EFFECTLIB_ITEM_009,10000
,,Item,天地树叶子,DUNGEON_ITEM_LEAF_OF_YGGDEASIL,,1,857,DUNGEON_LIB_EFFECTLIB_ITEM_010,10000
,,Item,强化大驹短剑,DUNGEON_ITEM_UPG_DAGGER,,1,286,DUNGEON_LIB_EFFECTLIB_ITEM_011,10000
,,Item,拉格利玛之杖,DUNGEON_ITEM_LACRYMA_STICK,,1,286,DUNGEON_LIB_EFFECTLIB_ITEM_012,10000
