_ID,_VALUE,#ManualTips:string,ManualMapInfo:string[][],PortalEventLib:id[],PortalLayer:int[],PortalTarget:id[],ManualEnemyMonsterLib:id[],ManualEnemySpecialEffectLib:id[],ManualEnemyMVP:bool[],ManualKeyInfo:int[],ManualItemLib:id[],ManualEventLib:id[],ManualDefaultOpenInfo:string[][],ManualEnemyMonsterNum:int[],ManualEnemyMonsterNumMVP:int[],MonsterAttrLevel:int[],MonsterStar:int[],MonsterHpRate:int[],MonsterAttackRate:int[],ScrollStar:int[],ScrollHpRate:int[],ScrollAttackRate:int[],UsedMonsterAttrLevel:int[],UsedMonsterStar:int[],UsedMonsterHpRate:int[],UsedMonsterAttackRate:int[],UsedScrollStar:int[],UsedScrollHpRate:int[],UsedScrollAttackRate:int[]
DUNGEON_MANUAL_GENERATE_TEMPLATE_ORDINARY_005,1005,空格N，阻挡B，入口I，出口O，怪物+魔物数量M，事件E，道具G，传送点P，传送目标点T,N#N#O#B#I,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_002,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_002,DUNGEON_LIB_EVENTLIB_BUBBLE_001,F|F|F|F|F,5,5,90,5,190,120,4,160,110,80,4,190,120,3,160,110
,,,G#B#M#B#N,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_003,None,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_THEME_001,F|F|F|F|F,5,5,90,5,190,120,4,160,110,80,4,190,120,3,160,110
,,,N#G#E#N#N,,,,DUNGEON_LIB_MONSTER_BOSS_01,DUNGEON_LIB_EFFECTLIB_ABILITY_001,TRUE,1,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_GROUP_009,F|F|F|F|F,4,4,90,5,190,120,4,160,110,80,4,190,120,3,160,110
,,,N#B#M#B#G,,,,,None,FALSE,,,,F|F|F|F|F,,,,,,,,,,,,,,,,
,,,M#B#E#N#E,,,,,None,FALSE,,,,T|F|F|F|F,,,,,,,,,,,,,,,,
DUNGEON_MANUAL_GENERATE_TEMPLATE_ORDINARY_006,1006,,E#O#G#N#E#N,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_004,DUNGEON_LIB_EFFECTLIB_ABILITY_005,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_002,DUNGEON_LIB_EVENTLIB_GROUP_009,F|T|F|T|F|T,5,5,115,5,270,170,5,170,110,100,5,270,170,4,170,110
,,,I#M#N#M#N#M,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_005,DUNGEON_LIB_EFFECTLIB_ABILITY_005,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_GROUP_009,T|F|T|F|T|F,5,5,115,5,270,170,5,170,110,100,5,270,170,4,170,110
,,,G#N#E#N#G#N,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_006,DUNGEON_LIB_EFFECTLIB_ABILITY_006,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_THEME_001,F|T|F|T|F|T,5,5,115,5,270,170,5,170,110,100,5,270,170,4,170,110
,,,N#M#N#M#N#M,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_007,DUNGEON_LIB_EFFECTLIB_ABILITY_005,FALSE,0,DUNGEON_LIB_ITEMLIB_GROUP_003,DUNGEON_LIB_EVENTLIB_GROUP_009,T|F|T|F|T|F,5,5,115,5,270,170,5,170,110,100,5,270,170,4,170,110
,,,E#N#G#N#E#N,,,,DUNGEON_LIB_MONSTER_GROUP_NEW_008,DUNGEON_LIB_EFFECTLIB_ABILITY_005,FALSE,0,,DUNGEON_LIB_EVENTLIB_BUBBLE_001,F|T|F|T|F|T,5,5,115,5,270,170,5,170,110,100,5,270,170,4,170,110
