_ID,_VALUE,Theme:int,MapTitleLoc:loc,AutoGenerateTemplate:id,ManualGenerateTemplate:id,ArtTemplate:id,MapEffect:id[]
DUNGEON_MAP_001,10001,1,LOC_DUNGEON_MAP_NAME_1_1,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_001,,DUNGEON_ART_TEMPLATE_001,DUNGEON_EFFECT_ITEM_HPREDUCE_5
DUNGEON_MAP_002,10002,1,LOC_DUNGEON_MAP_NAME_1_2,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_002,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_003,10003,1,LOC_DUNGEON_MAP_NAME_1_3,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_003,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_004,10004,1,LOC_DUNGEON_MAP_NAME_1_4,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_004,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_005,10005,1,LOC_DUNGEON_MAP_NAME_1_5,,DUNGEON_MANUAL_GENERATE_TEMPLATE_ORDINARY_005,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_006,10006,1,LOC_DUNGEON_MAP_NAME_1_6,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_005,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_007,10007,1,LOC_DUNGEON_MAP_NAME_1_7,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_006,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_008,10008,1,LOC_DUNGEON_MAP_NAME_1_8,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_007,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_009,10009,1,LOC_DUNGEON_MAP_NAME_1_9,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_008,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_010,10010,1,LOC_DUNGEON_MAP_NAME_1_10,,DUNGEON_MANUAL_GENERATE_TEMPLATE_ORDINARY_006,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_011,10011,1,LOC_DUNGEON_MAP_NAME_1_11,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_009,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_012,10012,1,LOC_DUNGEON_MAP_NAME_1_12,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_010,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_013,10013,1,LOC_DUNGEON_MAP_NAME_1_13,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_011,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_014,10014,1,LOC_DUNGEON_MAP_NAME_1_14,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_012,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_015,10015,1,LOC_DUNGEON_MAP_NAME_1_15,,DUNGEON_MANUAL_GENERATE_TEMPLATE_ORDINARY_007,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_016,10016,1,LOC_DUNGEON_MAP_NAME_1_16,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_013,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_017,10017,1,LOC_DUNGEON_MAP_NAME_1_17,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_014,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_018,10018,1,LOC_DUNGEON_MAP_NAME_1_18,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_015,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_019,10019,1,LOC_DUNGEON_MAP_NAME_1_19,DUNGEON_AUTO_GENERATE_TEMPLATE_ORDINARY_016,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_020,10020,1,LOC_DUNGEON_MAP_NAME_1_20,,DUNGEON_MANUAL_GENERATE_TEMPLATE_ORDINARY_009,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_021,11001,1,LOC_DUNGEON_MAP_NAME_1_21,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_001,,DUNGEON_ART_TEMPLATE_001,DUNGEON_EFFECT_ITEM_HPREDUCE_6
DUNGEON_MAP_022,11002,1,LOC_DUNGEON_MAP_NAME_1_22,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_002,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_023,11003,1,LOC_DUNGEON_MAP_NAME_1_23,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_003,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_024,11004,1,LOC_DUNGEON_MAP_NAME_1_24,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_004,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_025,11005,1,LOC_DUNGEON_MAP_NAME_1_25,,DUNGEON_MANUAL_GENERATE_TEMPLATE_INFERNAL_005,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_026,11006,1,LOC_DUNGEON_MAP_NAME_1_26,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_005,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_027,11007,1,LOC_DUNGEON_MAP_NAME_1_27,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_006,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_028,11008,1,LOC_DUNGEON_MAP_NAME_1_28,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_007,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_029,11009,1,LOC_DUNGEON_MAP_NAME_1_29,DUNGEON_AUTO_GENERATE_TEMPLATE_INFERNAL_008,,DUNGEON_ART_TEMPLATE_001,
DUNGEON_MAP_030,11010,1,LOC_DUNGEON_MAP_NAME_1_30,,DUNGEON_MANUAL_GENERATE_TEMPLATE_INFERNAL_006,DUNGEON_ART_TEMPLATE_001,
