_ID,_VALUE,#MonsterLibComment:string,MonsterName:loc[],MonsterSprite:string[],MonsterSpriteWeight:int[],EliteMonsterId:id[],UsedEliteMonsterId:id[],EliteDisplayHeroId:id[],EliteMonsterLv:int[],UsedEliteMonsterLv:int[],EliteMonsterStation:int[],FixedMonsterId:id[],FixedScrollId:id[],Station:int[],RandomMonsterId:id[],RandomMonsterWeight:int[],RandomScrollId:id[],RandomScrollWeight:int[]
DUNGEON_MONSTER_GROUP_001,20001,A人鱼,LOC_MONSTER_NAME_OBEAUNE_1,2D_Obeaune,5,None,None,None,0,0,0,HERO_OBEAUNE,SCROLL_CHARA_PORING,1,HERO_OBEAUNE,5,SCROLL_CHARA_MD_MARSE,10
,,B马克,LOC_MONSTER_NAME_MARC_1,2D_Marc,5,None,None,None,0,0,0,HERO_MARC,SCROLL_CHARA_YOYO,1,HERO_MARC,5,SCROLL_CHARA_PORING,10
,,S七彩地龙,LOC_MONSTER_NAME_DELETER_1,2D_Deleter,5,None,None,None,0,0,0,HERO_DELETER,SCROLL_CHARA_MD_MARSE,1,HERO_MASTERING,5,SCROLL_CHARA_YOYO,10
,,,,,,,,,,,,,,,HERO_PHREEONI,1,SCROLL_CHARA_ORK_WARRIOR,10
,,,,,,,,,,,,,,,HERO_ANGELING,5,SCROLL_CHARA_ORC_BABY,6
,,,,,,,,,,,,,,,HERO_GHOSTRING,5,SCROLL_CHARA_WILOW,6
,,,,,,,,,,,,,,,HERO_KOBOLD_3,10,SCROLL_CHARA_SAVAGE,6
,,,,,,,,,,,,,,,HERO_GOBLIN_2,10,SCROLL_CHARA_OWL_BARON_S,1
,,,,,,,,,,,,,,,HERO_GOBLIN_LEADER,5,None,0
,,,,,,,,,,,,,,,HERO_BON_GUN,10,None,0
,,,,,,,,,,,,,,,HERO_LOLI_RURI,3,None,0
DUNGEON_MONSTER_GROUP_002,20002,S爱丽丝女仆,LOC_MONSTER_NAME_ALICE_1,2D_Alice,5,None,None,None,0,0,0,HERO_ALICE,SCROLL_CHARA_MISTRESS_S,1,HERO_ALICE,3,SCROLL_CHARA_SPORE,10
,,A人鱼,LOC_MONSTER_NAME_OBEAUNE_1,2D_Obeaune,5,None,None,None,0,0,0,HERO_OBEAUNE,SCROLL_CHARA_LUNATIC,1,HERO_OBEAUNE,3,SCROLL_CHARA_LUNATIC,10
,,,,,,,,,,,,,,,HERO_NIGHTMARE,5,SCROLL_CHARA_MISTRESS_S,3
,,,,,,,,,,,,,,,HERO_TYRRHENIA,5,SCROLL_CHARA_G_RANDGRIS_S,3
,,,,,,,,,,,,,,,HERO_ANTONIO,5,SCROLL_CHARA_SAVAGE,5
,,,,,,,,,,,,,,,HERO_HELENA,5,SCROLL_CHARA_WILOW,5
,,,,,,,,,,,,,,,HERO_PETIT,5,SCROLL_CHARA_ORC_BABY,5
,,,,,,,,,,,,,,,HERO_VAGABOND_WOLF,5,SCROLL_CHARA_ORK_WARRIOR,5
,,,,,,,,,,,,,,,HERO_MUMMY,5,None,0
,,,,,,,,,,,,,,,HERO_G_RANDGRIS,1,None,0
,,,,,,,,,,,,,,,HERO_ANGELING,3,None,0
,,,,,,,,,,,,,,,HERO_WANDER_MAN,3,None,0
DUNGEON_MONSTER_GROUP_003,20003,S天使波利,LOC_MONSTER_NAME_ANGELING_1,2D_Angeling,5,None,None,None,0,0,0,HERO_ANGELING,SCROLL_CHARA_SPORE,1,HERO_ANGELING,3,SCROLL_CHARA_SPORE,10
,,B马克,LOC_MONSTER_NAME_MARC_1,2D_Marc,5,None,None,None,0,0,0,HERO_MARC,SCROLL_CHARA_OWL_BARON_S,1,HERO_MARC,3,SCROLL_CHARA_LUNATIC,10
,,S恶魔波利,LOC_MONSTER_NAME_DEVILING_1,2D_Deviling,5,None,None,None,0,0,0,HERO_DEVILING,SCROLL_CHARA_LUNATIC,1,HERO_DEVILING,3,SCROLL_CHARA_MUNAK,10
,,,,,,,,,,,,,,,HERO_MISTRESS,1,SCROLL_CHARA_WHISPER,10
,,,,,,,,,,,,,,,HERO_RAYDRIC,10,SCROLL_CHARA_MUKA,10
,,,,,,,,,,,,,,,HERO_MUMMY,10,SCROLL_CHARA_G_RANDGRIS_S,5
,,,,,,,,,,,,,,,HERO_CAT_O_NINE_TAIL,10,SCROLL_CHARA_MISTRESS_S,1
,,,,,,,,,,,,,,,HERO_ANTONIO,10,SCROLL_CHARA_BAPHOMET_S,1
,,,,,,,,,,,,,,,HERO_SOHEE,5,SCROLL_CHARA_ATROCE_S,1
,,,,,,,,,,,,,,,HERO_DEVIRUCHI,5,None,0
,,,,,,,,,,,,,,,HERO_GHOSTRING,5,None,0
,,,,,,,,,,,,,,,HERO_WHISPER_BOSS,5,None,0
,,,,,,,,,,,,,,,HERO_DEVILING,3,None,0
,,,,,,,,,,,,,,,HERO_MINI_DEMON,3,None,0
DUNGEON_MONSTER_GROUP_004,20004,S狂暴小恶魔,LOC_MONSTER_NAME_MINI_DEMON_1,2D_Mini_Demon,5,None,None,None,0,0,0,HERO_MINI_DEMON,SCROLL_CHARA_JAKK_S,1,HERO_RAYDRIC,5,SCROLL_CHARA_BLOOD_BUTTERFLY,10
,,S恶魔波利,LOC_MONSTER_NAME_DEVILING_1,2D_Deviling,5,None,None,None,0,0,0,HERO_DEVILING,SCROLL_CHARA_G_RANDGRIS_S,1,HERO_KOBOLD_ARCHER,5,SCROLL_CHARA_JAKK_S,10
,,S迷幻之王,LOC_MONSTER_NAME_DARK_ILLUSION_1,2D_Dark_Illusion,5,None,None,None,0,0,0,HERO_DARK_ILLUSION,SCROLL_CHARA_MUKA,1,HERO_GOBLIN_1,5,SCROLL_CHARA_GOBLIN_ARCHER,10
,,,,,,,,,,,,,,,HERO_KOBOLD_LEADER,5,SCROLL_CHARA_MUKA,10
,,,,,,,,,,,,,,,HERO_ISSUS,5,SCROLL_CHARA_WHISPER,10
,,,,,,,,,,,,,,,HERO_MINI_DEMON,3,SCROLL_CHARA_MUNAK,10
,,,,,,,,,,,,,,,HERO_DEVILING,3,SCROLL_CHARA_ATROCE_S,2
,,,,,,,,,,,,,,,HERO_DARK_ILLUSION,3,SCROLL_CHARA_WANDER_MAN_S,2
,,,,,,,,,,,,,,,HERO_GRYPHON,3,None,0
,,,,,,,,,,,,,,,HERO_ATROCE,3,None,0
,,,,,,,,,,,,,,,HERO_BAPHOMET,3,None,0
,,,,,,,,,,,,,,,HERO_GOBLIN_LEADER,5,None,0
DUNGEON_MONSTER_GROUP_005,20005,SS月夜猫,LOC_MONSTER_NAME_MOONLIGHT_1,2D_Moonlight,5,None,None,None,0,0,0,HERO_MOONLIGHT,SCROLL_CHARA_ORC_LORD_S,1,HERO_NIGHTMARE_TERROR,3,SCROLL_CHARA_PHREEONI_S,2
,,S黄金虫,LOC_MONSTER_NAME_GOLDEN_BUG_1,2D_Golden_Bug,5,None,None,None,0,0,0,HERO_GOLDEN_BUG,SCROLL_CHARA_DESERT_WOLF,1,HERO_GOLDEN_BUG,3,SCROLL_CHARA_ORC_LORD_S,2
,,S七彩地龙,LOC_MONSTER_NAME_DELETER_1,2D_Deleter,5,None,None,None,0,0,0,HERO_DELETER,SCROLL_CHARA_EGGYRA,1,HERO_DELETER,3,SCROLL_CHARA_WILOW,10
,,,,,,,,,,,,,,,HERO_LEIB_OLMAI,5,SCROLL_CHARA_SAVAGE,10
,,,,,,,,,,,,,,,HERO_ORC_LORD,5,SCROLL_CHARA_PICKY,10
,,,,,,,,,,,,,,,HERO_WANDER_MAN,5,SCROLL_CHARA_DESERT_WOLF,10
,,,,,,,,,,,,,,,HERO_PETIT,5,SCROLL_CHARA_NINE_TAIL,10
,,,,,,,,,,,,,,,HERO_VAGABOND_WOLF,5,SCROLL_CHARA_ORK_WARRIOR,10
,,,,,,,,,,,,,,,HERO_CAT_O_NINE_TAIL,5,SCROLL_CHARA_ORC_BABY,10
,,,,,,,,,,,,,,,HERO_MINOROUS,5,None,0
,,,,,,,,,,,,,,,HERO_GIORGILI,5,None,0
DUNGEON_MONSTER_GROUP_006,20006,SS卡仑,LOC_MONSTER_NAME_GARM_1,2D_Garm,5,None,None,None,0,0,0,HERO_GARM,SCROLL_CHARA_GARM_S,1,HERO_GARM,3,SCROLL_CHARA_SPORE,10
,,S银月魔女,LOC_MONSTER_NAME_LOLI_RURI_1,2D_Loli_Ruri,5,None,None,None,0,0,0,HERO_LOLI_RURI,SCROLL_CHARA_MD_MARSE,1,HERO_LOLI_RURI,3,SCROLL_CHARA_LUNATIC,10
,,S鹗枭男爵,LOC_MONSTER_NAME_OWL_BARON_1,2D_Owl_Baron,5,None,None,None,0,0,0,HERO_OWL_BARON,SCROLL_CHARA_PORING,1,HERO_OWL_BARON,3,SCROLL_CHARA_PORING,10
,,,,,,,,,,,,,,,HERO_ALICE,7,SCROLL_CHARA_YOYO,10
,,,,,,,,,,,,,,,HERO_ANGELING,7,SCROLL_CHARA_MD_MARSE,10
,,,,,,,,,,,,,,,HERO_TAO_GUNKA,3,SCROLL_CHARA_OWL_BARON_S,5
,,,,,,,,,,,,,,,HERO_ANTONIO,7,SCROLL_CHARA_GARM_S,5
,,,,,,,,,,,,,,,HERO_HAROLD,7,SCROLL_CHARA_G_RANDGRIS_S,5
,,,,,,,,,,,,,,,HERO_HELENA,7,SCROLL_CHARA_MISTRESS_S,5
,,,,,,,,,,,,,,,HERO_DALEME,7,None,0
,,,,,,,,,,,,,,,HERO_SOHEE,7,None,0
,,,,,,,,,,,,,,,HERO_MASTERING,7,None,0
,,,,,,,,,,,,,,,HERO_MARC,7,None,0
DUNGEON_MONSTER_GROUP_007,20007,S狂暴大脚熊,LOC_MONSTER_NAME_LEIB_OLMAI_1,2D_Leib_Olmai,5,None,None,None,0,0,0,HERO_LEIB_OLMAI,SCROLL_CHARA_BIGFOOT,1,HERO_LEIB_OLMAI,3,SCROLL_CHARA_PHREEONI_S,2
,,S兽人酋长,LOC_MONSTER_NAME_ORC_LORD_1,2D_Orc_Lord,5,None,None,None,0,0,0,HERO_ORC_LORD,SCROLL_CHARA_SAVAGE,1,HERO_ORC_LORD,3,SCROLL_CHARA_BIGFOOT,2
,,S邪骸浪人,LOC_MONSTER_NAME_WANDER_MAN_1,2D_Wander_Man,5,None,None,None,0,0,0,HERO_WANDER_MAN,SCROLL_CHARA_WILOW,1,HERO_WANDER_MAN,3,SCROLL_CHARA_ORK_WARRIOR,10
,,,,,,,,,,,,,,,HERO_PETIT,5,SCROLL_CHARA_ORC_BABY,10
,,,,,,,,,,,,,,,HERO_VAGABOND_WOLF,5,SCROLL_CHARA_WILOW,10
,,,,,,,,,,,,,,,HERO_MARC,5,SCROLL_CHARA_SAVAGE,10
,,,,,,,,,,,,,,,HERO_GHOSTRING,5,SCROLL_CHARA_NINE_TAIL,5
,,,,,,,,,,,,,,,HERO_ORK_HERO,2,SCROLL_CHARA_MD_MARSE,5
,,,,,,,,,,,,,,,HERO_SOHEE,5,SCROLL_CHARA_PORING,5
,,,,,,,,,,,,,,,HERO_MASTERING,3,SCROLL_CHARA_WHISPER,5
,,,,,,,,,,,,,,,HERO_WHISPER_BOSS,5,SCROLL_CHARA_BLOOD_BUTTERFLY,5
,,,,,,,,,,,,,,,HERO_GOBLIN_1,3,None,0
,,,,,,,,,,,,,,,HERO_KOBOLD_ARCHER,3,None,0
,,,,,,,,,,,,,,,HERO_RAYDRIC,3,None,0
DUNGEON_MONSTER_GROUP_008,20008,SS冰暴骑士,LOC_MONSTER_NAME_KNIGHT_OF_WINDSTORM_1,2D_Knight_Of_Windstorm,5,None,None,None,0,0,0,HERO_KNIGHT_OF_WINDSTORM,SCROLL_CHARA_OWL_BARON_S,1,HERO_KNIGHT_OF_WINDSTORM,3,SCROLL_CHARA_PORING,10
,,S七彩地龙,LOC_MONSTER_NAME_DELETER_1,2D_Deleter,5,None,None,None,0,0,0,HERO_DELETER,SCROLL_CHARA_DESERT_WOLF,1,HERO_DELETER,3,SCROLL_CHARA_YOYO,10
,,S黄金虫,LOC_MONSTER_NAME_GOLDEN_BUG_1,2D_Golden_Bug,5,None,None,None,0,0,0,HERO_GOLDEN_BUG,SCROLL_CHARA_NINE_TAIL,1,HERO_GOLDEN_BUG,3,SCROLL_CHARA_PICKY,10
,,,,,,,,,,,,,,,HERO_LOLI_RURI,5,SCROLL_CHARA_EGGYRA,10
,,,,,,,,,,,,,,,HERO_OWL_BARON,5,SCROLL_CHARA_NINE_TAIL,10
,,,,,,,,,,,,,,,HERO_NIGHTMARE_TERROR,5,SCROLL_CHARA_DESERT_WOLF,10
,,,,,,,,,,,,,,,HERO_SOHEE,5,SCROLL_CHARA_MD_MARSE,10
