_ID,_VALUE,#AutoTips:string,ArtFloorSpecialMassif:string[],SpecialMassifLib:id
DUNGEON_SPECIAL_MASSIF_A001,1,熔岩地块,Seabed/Mosaic_A_001,DUNGEON_LIB_EFFECT_THEME_LAVAFIELD_LEVE_MASSIF_RESULT_1
,,,Seabed/Mosaic_A_002,
,,,Seabed/Mosaic_A_003,
,,,Seabed/Mosaic_A_004,
,,,Seabed/Mosaic_A_005,
,,,Seabed/Mosaic_A_006,
,,,Seabed/Mosaic_A_007,
,,,Seabed/Mosaic_A_008,
,,,Seabed/Mosaic_A_009,
,,,Seabed/Mosaic_B_001,
,,,Seabed/Mosaic_B_002,
,,,Seabed/Mosaic_C_001,
,,,Seabed/Mosaic_C_002,
DUNGEON_SPECIAL_MASSIF_A002,2,冰川地块,Glacier/Mosaic_A_Glacier_001,DUNGEON_LIB_EFFECT_THEME_LAVAFIELD_LEVE_MASSIF_RESULT_1
,,,Glacier/Mosaic_A_Glacier_002,
,,,Glacier/Mosaic_A_Glacier_003,
,,,Glacier/Mosaic_A_Glacier_004,
,,,Glacier/Mosaic_A_Glacier_005,
,,,Glacier/Mosaic_A_Glacier_006,
,,,Glacier/Mosaic_A_Glacier_007,
,,,Glacier/Mosaic_A_Glacier_008,
,,,Glacier/Mosaic_A_Glacier_009,
,,,Glacier/Mosaic_B_Glacier_001,
,,,Glacier/Mosaic_B_Glacier_002,
,,,Glacier/Mosaic_C_Glacier_001,
,,,Glacier/Mosaic_C_Glacier_002,
