_ID,_VALUE,ThemeType:string,ThemeIcon:string,EntranceMap:string,EntranceLayer:string,Title:loc,Title2:loc,Descript:loc,Entrance:int[],Layer:int[],AutoPortalEventLayer:string[],LayerDispay:int[],SpecialLayerName:loc[],DifficultyChart:int[],IsSave:bool[],Map:id[],Map2:id[],UsedEnter:int,OpenLayer:int[],OpenTime:int[],ConditionParam:string[],#Remark:string,Main:int,OpenStatus:int,Reward1:id[],RewardNum1:int[],Reward2:id[],RewardNum2:int[],Reward3:id[],RewardNum3:int[],Reward4:id[],RewardNum4:int[],UsedReward1:id[],UsedRewardNum1:int[],UsedReward2:id[],UsedRewardNum2:int[],UsedReward3:id[],UsedRewardNum3:int[],UsedReward4:id[],UsedRewardNum4:int[]
DUNGEON_THEME_SEABED,1,Seabed,UI_Dungeons_Entrance_01,UI_Preview_Dungeons_Mode_01,PAN_Dungeon_Map_Entrance_Sea,LOC_DUNGEON_START_TITLE,LOC_DUNGEON_START_TITLE2,LOC_DUNGEON_START_DESC,1,1,0#0,1,None,1,FALSE,DUNGEON_MAP_001,DUNGEON_MAP_001,310,5,0,2020-05-07,第一次开启日期,0,1,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,1,2,0#0,2,None,1,FALSE,DUNGEON_MAP_002,DUNGEON_MAP_002,,10,86400,05:00:00,第一次开启时间,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,3,0#0,3,None,1,FALSE,DUNGEON_MAP_003,DUNGEON_MAP_003,,15,172800,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,4,0#0,4,None,1,FALSE,DUNGEON_MAP_004,DUNGEON_MAP_004,,20,259200,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,5,0#0,5,None,1,FALSE,DUNGEON_MAP_005,DUNGEON_MAP_005,,30,345600,,,,,ITEM_SPAR_KEY,5,ITEM_EXCLUSIVE_AMETHYST,300,ITEM_CRYSTAL,50,ITEM_GOLD,2000000,ITEM_CRYSTAL,150,ITEM_NEW_EQUIPMENT_PACKAGE_11,1,ITEM_EXCLUSIVE_AMETHYST,200,ITEM_GOLD,500000
,,,,,,,,,,6,0#0,6,None,1,TRUE,DUNGEON_MAP_006,DUNGEON_MAP_006,,40,432000,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,7,0#0,7,None,1,FALSE,DUNGEON_MAP_007,DUNGEON_MAP_007,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,8,0#0,8,None,1,FALSE,DUNGEON_MAP_008,DUNGEON_MAP_008,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,9,0#0,9,None,1,FALSE,DUNGEON_MAP_009,DUNGEON_MAP_009,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,10,0#0,10,None,1,FALSE,DUNGEON_MAP_010,DUNGEON_MAP_010,,,,,,,,ITEM_BANQUET_TICKET,10,ITEM_EXCLUSIVE_AMETHYST,400,ITEM_CRYSTAL,100,ITEM_GOLD,3000000,ITEM_CRYSTAL,200,ITEM_BANQUET_TICKET,3,ITEM_EXCLUSIVE_AMETHYST,200,ITEM_GOLD,500000
,,,,,,,,,,11,0#0,11,None,1,TRUE,DUNGEON_MAP_011,DUNGEON_MAP_011,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,12,0#0,12,None,1,FALSE,DUNGEON_MAP_012,DUNGEON_MAP_012,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,13,0#0,13,None,1,FALSE,DUNGEON_MAP_013,DUNGEON_MAP_013,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,14,0#0,14,None,1,FALSE,DUNGEON_MAP_014,DUNGEON_MAP_014,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,15,0#0,15,None,1,FALSE,DUNGEON_MAP_015,DUNGEON_MAP_015,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,20,ITEM_EXCLUSIVE_AMETHYST,500,ITEM_CRYSTAL,150,ITEM_GOLD,5000000,ITEM_CRYSTAL,300,ITEM_FRIENDSHIP_VOUCHER,20,ITEM_EXCLUSIVE_AMETHYST,300,ITEM_GOLD,500000
,,,,,,,,,,16,0#0,16,None,1,TRUE,DUNGEON_MAP_016,DUNGEON_MAP_016,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,17,0#0,17,None,1,FALSE,DUNGEON_MAP_017,DUNGEON_MAP_017,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,18,0#0,18,None,1,FALSE,DUNGEON_MAP_018,DUNGEON_MAP_018,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,19,0#0,19,None,1,FALSE,DUNGEON_MAP_019,DUNGEON_MAP_019,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
