Name:string,_ID,_VALUE,LiveTime:float,Prefab:string,DestoryDelay:float,StartDelay:float,Sfx:id,SfxDelay:float,IsPlayOutOfCamera:bool,MinCount:int,MaxCount:int,HasDirection:bool,PreLoad:bool
跑步尘土,EFFECT_WALK_DUST,10000,0,Unit/FX_Troop_Moving_Dust,2,0,,,FALSE,1,200,FALSE,TRUE
火球,EFFECT_FIRE_BALL_TAIL,10001,0,Monster/FX_Jakk_Bullet,0.5,0,SFX_5900_NORMAL_ATTACK_FIRE_BALL_BULLET,,TRUE,1,200,FALSE,FALSE
释放技能,EFFECT_CAST_SKILL_RING,10002,2,Hero/FX_Hero_SkillActiveRing,0,0,SFX_SKILL_LAUNCH,,TRUE,1,200,FALSE,FALSE
技能值满,EFFECT_CAST_SKILL_READY,10003,1.5,Hero/FX_Hero_Skill_Cohesion_Advanced,0,0,,,TRUE,1,200,FALSE,FALSE
烟雾,EFFECT_DRAGON_ONBOARD_SMOKE,10004,1,Boss_Astaroth/FX_Boss_DragonOnboardSmoke,2,0,,,TRUE,1,200,FALSE,FALSE
火焰伤害,EFFECT_FIRE_BALL_DAMAGE,10005,2,Unit/FX_FireBallDamage,0,0,SFX_5901_NORMAL_ATTACK_FIRE_BALL_HIT,,FALSE,1,200,FALSE,FALSE
晕眩,EFFECT_STUN,10006,0,Unit/FX_State_Dizzy,0,0,,,TRUE,1,200,FALSE,FALSE
阵型烟雾,EFFECT_GROUP_DUST,10007,1.5,Unit/FX_GroupChangeDust,0,0,,,TRUE,1,200,FALSE,FALSE
近战溅射效果,EFFECT_MELEE_SPUTTERING,10008,1,Hero/FX_Attack_Shock_Wave,0,0,,,TRUE,1,200,TRUE,FALSE
远程溅射效果,EFFECT_RANGED_SPUTTERING,10009,1,Hero/FX_Attack_Splash_1,0,0,,,TRUE,1,200,FALSE,FALSE
幽灵火球伤害,EFFECT_FIREBALL_GHOST_DAMAGE,10010,1,Monster/FX_FireBall_Ghost_Damage,0,0,,,TRUE,1,200,FALSE,FALSE
普攻1,EFFECT_RO_NORMAL_DAMAGE_1,10011,1,Monster/FX_General_pet_AttackHit,0,0,SFX_RO_ENEMY_HIT_2,,TRUE,1,200,FALSE,FALSE
普通2,EFFECT_RO_NORMAL_DAMAGE_2,10012,1,Monster/FX_General_AttackHit,0,0,SFX_RO_ENEMY_HIT_2,,TRUE,1,200,FALSE,FALSE
