Name:string,_ID,_VALUE,NameKey:loc,#Name:string,isGiant:bool,Hitpoints:decimal,ScaleFactor:decimal,OverWriteAttackSpeed:bool,AttackSpeed:decimal,OverWriteMoveSpeed:bool,MoveSpeed:decimal,PhysicalAttack:obsint,MagicalAttack:obsint,PhysicalArmor:obsint,MagicalArmor:obsint,CriticalHit:obsint,CriticalDamage:obsint,SkillConfig:string,PassiveSkillConfig:string,FollowEffect:id
Baphomet,BOSS_BAPHOMET_TEST,1000,,巴风特,TRUE,1200000,1,FALSE,,FALSE,,70,70,2300,2300,2000,2000,baphomet_test,boss,
Baphomet,BOSS_BAPHOMET_TUTORIAL,1001,,巴风特教程,FALSE,1200000,3,FALSE,,FALSE,,700,700,2300,2300,2000,2000,,,
Baphomet,BOSS_BAPHOMET_TEMP,1002,,公会BOSS,FALSE,1200000,1,FALSE,,FALSE,,700,700,2300,2300,2000,2000,,,EFFECT_MVP_HIGH
Turtle_Genera,BOSS_TURTLE_GENERAL_FRIEND,1100,,好友BOSS2_1,FALSE,477333,2.1,FALSE,,FALSE,,1650,1650,170,170,500,10000,Friend_Test_1100,Friend_Pass_1100,EFFECT_MVP_LOW
Garm,BOSS_GARM_FRIEND,1101,,好友BOSS2_2,FALSE,2356000,2.1,FALSE,,FALSE,,5980,5980,500,500,500,10000,Friend_Test_1101,Friend_Pass_1101,EFFECT_MVP_LOW
Moonlight,BOSS_MOONLIGHT_FRIEND,1102,,好友BOSS2_3,FALSE,4737500,2.1,FALSE,,FALSE,,12760,12760,900,900,500,10000,Friend_Test_1102,Friend_Pass_1102,EFFECT_MVP_LOW
G_Randel_H,BOSS_G_RANDEL_FRIEND,1103,,好友BOSS2_4,FALSE,14470181,2.1,FALSE,,FALSE,,22600,22600,1700,1700,500,10000,Friend_Test_1103,Friend_Pass_1103,EFFECT_MVP_LOW
Drake,BOSS_DRAKE_FRIEND,1104,,好友BOSS2_5,FALSE,23545000,2.1,FALSE,,FALSE,,31800,31800,2000,2000,500,10000,Friend_Test_1104,Friend_Pass_1104,EFFECT_MVP_LOW
Sheci,BOSS_SHECI_FRIEND,1105,,好友BOSS2_6,FALSE,41156039,2.1,FALSE,,FALSE,,41200,41200,2400,2400,500,10000,Friend_Test_1105,Friend_Pass_1105,EFFECT_MVP_LOW
Seyren,BOSS_SEYREN_FRIEND,1106,,好友BOSS2_7,FALSE,55016612,2.1,FALSE,,FALSE,,49000,49000,2550,2550,500,10000,Friend_Test_1106,Friend_Pass_1106,EFFECT_MVP_LOW
Baphomet,BOSS_BAPHOMET_FRIEND,1107,,好友BOSS2_8,FALSE,77517185,2.1,FALSE,,FALSE,,60600,60600,2650,2650,500,10000,Friend_Test_1107,Friend_Pass_1107,EFFECT_MVP_LOW
Mistress,BOSS_MISTRESS_FRIEND,1108,,好友BOSS999,FALSE,100,2.1,FALSE,,FALSE,,472,248,161,111,500,10000,Friend_Test_1108,Friend_Pass_1108,EFFECT_MVP_LOW
Orc_Hero,BOSS_ORK_HEROL_FRIEND,1110,,好友BOSS1_1,FALSE,321599,2.1,FALSE,,FALSE,,1061,1061,250,250,500,10000,Friend_Test_1110,Friend_Pass_1110,EFFECT_MVP_LOW
Doppelganger,BOSS_DOPPELGANGER_FRIEND,1111,,好友BOSS1_2,FALSE,2056000,2.1,FALSE,,FALSE,,5780,5780,450,450,500,10000,Friend_Test_1111,Friend_Pass_1111,EFFECT_MVP_LOW
Eddga,BOSS_EDDGA_FRIEND,1112,,好友BOSS1_3,FALSE,4337500,2.1,FALSE,,FALSE,,11760,11760,860,860,500,10000,Friend_Test_1112,Friend_Pass_1112,EFFECT_MVP_LOW
G_Katrinn,BOSS_G_KATRINN_FRIEND,1113,,好友BOSS1_4,FALSE,12470181,2.1,FALSE,,FALSE,,21600,21600,1600,1600,500,10000,Friend_Test_1113,Friend_Pass_1113,EFFECT_MVP_LOW
G_Eremes,BOSS_G_EREMES_FRIEND,1114,,好友BOSS1_5,FALSE,21545000,2.1,FALSE,,FALSE,,30800,30800,1900,1900,500,10000,Friend_Test_1114,Friend_Pass_1114,EFFECT_MVP_LOW
Tao_Gunka,BOSS_TAO_GUNKA_FRIEND,1115,,好友BOSS1_6,FALSE,39156039,2.1,FALSE,,FALSE,,40200,40200,2300,2300,500,10000,Friend_Test_1115,Friend_Pass_1115,EFFECT_MVP_LOW
Maya,BOSS_MAYA_FRIEND,1116,,好友BOSS1_7,FALSE,53016612,2.1,FALSE,,FALSE,,48000,48000,2500,2500,500,10000,Friend_Test_1116,Friend_Pass_1116,EFFECT_MVP_LOW
G_Randgris,BOSS_G_RANDGRIS_FRIEND,1117,,好友BOSS1_8,FALSE,75517185,2.1,FALSE,,FALSE,,59600,59600,2600,2600,500,10000,Friend_Test_1117,Friend_Pass_1117,EFFECT_MVP_HIGH
DARK_SNAKE_LORD,BOSS_DARK_SNAKE_LORD_FRIEND,1118,,好友BOSS1_9,FALSE,95620622,2.1,FALSE,,FALSE,,75520,75520,3120,3120,500,10000,Friend_Test_1118,Friend_Pass_1118,EFFECT_MVP_HIGH
KNIGHT_OF_WINDSTORM,BOSS_KNIGHT_OF_WINDSTORM_FRIEND,1119,,好友BOSS2_9,FALSE,99020622,2.1,FALSE,,FALSE,,79720,79720,3180,3180,500,10000,Friend_Test_1119,Friend_Pass_1119,EFFECT_MVP_LOW
Osiris,BOSS_OSIRIS_LEVEL,1200,,挂机1210,FALSE,206000,1.8,FALSE,,FALSE,,5770,5770,520,520,500,10000,Level_test510,Level_Pass510,
Seyren,BOSS_SEYREN_LEVEL,1201,,挂机910,FALSE,131000,1.8,FALSE,,FALSE,,4200,4200,400,400,500,10000,Level_test910,Level_Pass910,
Garm,BOSS_GARM_LEVEL,1202,,挂机3410,FALSE,780000,1.8,FALSE,,FALSE,,36000,36000,2100,2100,500,10000,Level_test1210,Level_Pass1210,
MOONLIGHT,BOSS_MOONLIGHT_LEVEL,1203,,挂机1610,FALSE,228000,1.8,FALSE,,FALSE,,7200,7200,600,600,500,10000,Level_test1610,Level_Pass1610,
Eddga,BOSS_EDDGA_LEVEL,1204,,挂机105,FALSE,6520,1.8,FALSE,,FALSE,,37,37,12,12,500,10000,Level_test105,Level_Pass105,
Angeling,BOSS_ANGELING_LEVEL,1205,,挂机207,FALSE,7900,1.8,FALSE,,FALSE,,80,80,60,60,500,10000,Level_test207,Level_Pass207,
Deviling,BOSS_DEVILING_LEVEL,1206,,挂机207,FALSE,6500,1.8,FALSE,,FALSE,,100,100,60,60,500,10000,Level_test217,Level_Pass217,
DARK_LORD,BOSS_DARK_LORD_LEVEL,1207,,挂机310,FALSE,18000,1.8,FALSE,,FALSE,,150,150,100,100,500,10000,Level_test310,Level_Pass310,
Baphomet,BOSS_BAPHOMET_LEVEL,1208,,挂机610,FALSE,60000,1.8,FALSE,,FALSE,,2400,2400,240,240,500,10000,Level_test2010,Level_Pass2010,
Orc_Hero,BOSS_ORK_HERO_LEVEL,1209,,挂机2410,FALSE,369400,1.8,FALSE,,FALSE,,10000,10000,1300,1300,500,10000,Level_test2410,Level_Pass2410,
G_Randel_H,BOSS_G_RANDEL_LEVEL,1210,,挂机2810,FALSE,600000,1.8,FALSE,,FALSE,,16000,16000,1900,1900,500,10000,Level_test2810,Level_Pass2810,
Atroce,BOSS_ATROCE_LEVEL,1211,,挂机3210,FALSE,760000,1.8,FALSE,,FALSE,,25000,25000,1600,1600,500,10000,Level_test3210,Level_Pass3210,
Golden_Bug,BOSS_GOLDEN_BUG_LEVEL,1212,,挂机3610,FALSE,910000,1.8,FALSE,,FALSE,,31000,31000,2400,2400,500,10000,Level_test3610,Level_Pass3610,
Phreeoni,BOSS_PHREEONI_LEVEL,1213,,挂机4010,FALSE,840000,1.8,FALSE,,FALSE,,36000,36000,2500,2500,500,10000,Level_test4010,Level_Pass4010,
G_Randgris,BOSS_G_RANDGRIS_2_LEVEL,1214,,挂机4210,FALSE,1090000,1.8,FALSE,,FALSE,,55000,55000,2000,2000,500,10000,Level_test4210,Level_Pass4210,
Baphomet,BOSS_BAPHOMET_2_LEVEL,1215,,挂机4210,FALSE,1160000,1.8,FALSE,,FALSE,,58000,58000,2100,2100,500,10000,Level_test4211,Level_Pass4211,
DRAKE,BOSS_DRAKE_LEVEL,1216,,挂机510,FALSE,36000,1.8,FALSE,,FALSE,,2500,2500,200,200,500,10000,Level_test511,Level_Pass511,
G_Randgris,BOSS_G_RANDGRIS_LEVEL,1217,,挂机2010,FALSE,258000,1.8,FALSE,,FALSE,,9900,9900,500,500,500,10000,Level_test2011,Level_Pass2011,
Maya,BOSS_MAYA_LEVEL,1218,,挂机2110,FALSE,210000,1.8,FALSE,,FALSE,,11000,11000,700,700,500,10000,Level_test2110,Level_Pass2110,
Mistress,BOSS_MISTRESS_LEVEL,1219,,挂机2110,FALSE,229670,1.8,FALSE,,FALSE,,9600,9600,740,740,500,10000,Level_test2111,Level_Pass2111,
Phreeoni,BOSS_PHREEONI_LEVEL_1,1220,,挂机2610,FALSE,340000,1.8,FALSE,,FALSE,,13400,13400,1300,1300,500,10000,Level_test2610,Level_Pass2610,
Tao_Gunka,BOSS_TAO_GUNKA_LEVEL,1221,,挂机2610,FALSE,300000,1.8,FALSE,,FALSE,,14000,14000,1300,1300,500,10000,Level_test2611,Level_Pass2611,
Loli_Ruri,BOSS_LOLI_RURI_LEVEL_,1222,,挂机3010,FALSE,620000,1.8,FALSE,,FALSE,,21000,21000,1500,1500,500,10000,Level_test3010,Level_Pass3010,
SOHEE,BOSS_SOHEE_LEVEL,1223,,挂机3010,FALSE,220000,1,FALSE,,FALSE,,13000,13000,1200,1200,500,10000,Level_test3011,Level_Pass3011,
Orc_Hero,BOSS_ORK_HEROL_LEVEL,1224,,挂机4110,FALSE,1460000,1.8,FALSE,,FALSE,,56000,56000,3000,3000,500,10000,Level_test4110,Level_Pass4110,
Turtle_Genera,BOSS_TURTLE_GENERAL_LEVEL,1225,,挂机3810,FALSE,800000,1.8,FALSE,,FALSE,,52000,52000,2300,2300,500,10000,Level_test3810,Level_Pass3810,
G_Randgris,BOSS_G_RANDGRIS_3_LEVEL,1226,,挂机4510,FALSE,1290000,1.8,FALSE,,FALSE,,58000,58000,2000,2000,500,10000,Level_test4210,Level_Pass4210,
DRAKE,BOSS_DRAKE_LEVEL_1,1227,,挂机5010,FALSE,20000000,1.8,FALSE,,FALSE,,250000,250000,3200,3200,500,10000,Level_test5010,Level_Pass5010,
ORK_HERO,BOSS_ORK_HERO_LEVEL_57,1228,,挂机5710,FALSE,15000000,1.2,FALSE,,FALSE,,870000,870000,4500,4500,500,10000,Level_test5710,Level_Pass5711,EFFECT_MVP_LOW
MOONLIGHT,BOSS_MOONLIGHT_LEVEL_57,1229,,挂机5710,FALSE,15000000,1.2,FALSE,,FALSE,,870000,870000,4500,4500,500,10000,Level_test5711,Level_Pass5710,EFFECT_MVP_LOW
G_RANDGRIS,BOSS_G_RANDGRIS_LEVEL_57,1230,,挂机5710,FALSE,15000000,1.2,FALSE,,FALSE,,870000,870000,4500,4500,500,10000,Level_test5712,Level_Pass5712,EFFECT_MVP_LOW
SHECI,BOSS_SHECI_LEVEL_57,1231,,挂机5710,FALSE,15000000,1.2,FALSE,,FALSE,,870000,870000,4500,4500,500,10000,Level_test5713,Level_Pass5713,EFFECT_MVP_LOW
G_KATRINN,BOSS_G_KATRINN__LEVEL_57,1232,,挂机5710,FALSE,15000000,1.2,FALSE,,FALSE,,870000,870000,4500,4500,500,10000,Level_test5714,Level_Pass5714,EFFECT_MVP_LOW
Baphomet,BOSS_BAPHOMET_WORLD_1,1300,,世界BOSS1_1,TRUE,3200000,1.8,FALSE,,FALSE,,1,1,1,1,500,10000,World_Baphomet_Test1,World_Baphomet_Pass1,EFFECT_MVP_HIGH
Baphomet,BOSS_BAPHOMET_WORLD_2,1301,,世界BOSS1_2,TRUE,6889200,1.8,FALSE,,FALSE,,7000,7000,500,500,500,10000,World_Baphomet_Test2,World_Baphomet_Pass2,EFFECT_MVP_HIGH
Baphomet,BOSS_BAPHOMET_WORLD_3,1302,,世界BOSS1_3,TRUE,14048496,1.8,FALSE,,FALSE,,1,1,1,1,500,10000,World_Baphomet_Test3,World_Baphomet_Pass3,EFFECT_MVP_HIGH
Baphomet,BOSS_BAPHOMET_WORLD_4,1303,,世界BOSS1_4,TRUE,60319179,1.8,FALSE,,FALSE,,14000,14000,600,600,500,10000,World_Baphomet_Test4,World_Baphomet_Pass4,EFFECT_MVP_HIGH
Baphomet,BOSS_BAPHOMET_WORLD_5,1304,,世界BOSS1_5,TRUE,88836711,1.8,FALSE,,FALSE,,1,1,1,1,500,10000,World_Baphomet_Test5,World_Baphomet_Pass5,EFFECT_MVP_HIGH
Baphomet,BOSS_BAPHOMET_WORLD_6,1305,,世界BOSS1_6,TRUE,170495736,1.8,FALSE,,FALSE,,24000,24000,1500,1500,500,10000,World_Baphomet_Test6,World_Baphomet_Pass6,EFFECT_MVP_HIGH
Baphomet,BOSS_BAPHOMET_WORLD_7,1306,,世界BOSS1_7,TRUE,1,1.8,FALSE,,FALSE,,1,1,1,1,500,10000,World_Baphomet_Test7,World_Baphomet_Pass7,EFFECT_MVP_HIGH
Baphomet,BOSS_BAPHOMET_WORLD_8,1307,,世界BOSS1_8,TRUE,456414726,1.8,FALSE,,FALSE,,56000,56000,2300,2300,500,10000,World_Baphomet_Test8,World_Baphomet_Pass8,EFFECT_MVP_HIGH
Baphomet,BOSS_BAPHOMET_WORLD_9,1308,,世界BOSS1_9,TRUE,806414726,1.8,FALSE,,FALSE,,82000,82000,2500,2500,500,10000,World_Baphomet_Test9,World_Baphomet_Pass9,EFFECT_MVP_HIGH
Osiris,BOSS_OSIRIS_WORLD_1,1310,,世界BOSS2_1,TRUE,2962599,1.8,FALSE,,FALSE,,1,1,1,1,500,10000,World_Osiris_Test1,World_Osiris_Pass1,EFFECT_MVP_HIGH
Osiris,BOSS_OSIRIS_WORLD_2,1311,,世界BOSS2_2,TRUE,6588600,1.8,FALSE,,FALSE,,4000,4000,400,400,500,10000,World_Osiris_Test2,World_Osiris_Pass2,EFFECT_MVP_HIGH
