_ID,_VALUE,ExclusiveHero:id,StrengthenConsume:id,ExclusiveLv:int[],AttributeType:string[][],AttributeNum:int[][],PassiveBuff:id[],PassiveBuffLevel:int[],PassiveBuffDes:loc[],PassiveBuffPreviewDes:loc[]
EXCLUSIVE_EQUIPMENT_ATTRIBUTE_1,1,HERO_MOONLIGHT,EXCLUSIVE_EQUIPMENT_STRENGTHEN_1,0,HP#Armor#MagicDef,5000#50#40,EXCLUSIVEEQUIP_MOON_BELL,1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_1
,,,,1,HP#Armor#MagicDef,5500#55#44,EXCLUSIVEEQUIP_MOON_BELL,1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_1
,,,,2,HP#Armor#MagicDef,6000#60#48,EXCLUSIVEEQUIP_MOON_BELL,1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_1
,,,,3,HP#Armor#MagicDef,6500#65#52,EXCLUSIVEEQUIP_MOON_BELL,1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_1
,,,,4,HP#Armor#MagicDef,7000#70#56,EXCLUSIVEEQUIP_MOON_BELL,1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_1
,,,,5,HP#Armor#MagicDef,7500#75#60,EXCLUSIVEEQUIP_MOON_BELL,1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_1
,,,,6,HP#Armor#MagicDef,8000#80#64,EXCLUSIVEEQUIP_MOON_BELL,1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_1
,,,,7,HP#Armor#MagicDef,8500#85#68,EXCLUSIVEEQUIP_MOON_BELL,1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_1
,,,,8,HP#Armor#MagicDef,9000#90#72,EXCLUSIVEEQUIP_MOON_BELL,1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_1
,,,,9,HP#Armor#MagicDef,10000#100#80,EXCLUSIVEEQUIP_MOON_BELL,1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_DES_1,LOC_EXCLUSIVE_EQUIPMENT_MOONLIGHTE_PREVIEW_DES_1
