_ID,_VALUE,ExclusiveLv:int[],ZenyConsume:int[],Item1:id[],Number1:int[],Item2:id[],Number2:int[],Item3:id[],Number3:int[]
EXCLUSIVE_EQUIPMENT_STRENGTHEN_1,1,1,500000,ITEM_EXCLUSIVE_MATERIAL_LOW,5,None,0,None,0
,,2,1000000,ITEM_EXCLUSIVE_MATERIAL_LOW,10,None,0,None,0
,,3,1500000,ITEM_EXCLUSIVE_MATERIAL_LOW,15,None,0,None,0
,,4,2000000,ITEM_EXCLUSIVE_MATERIAL_LOW,20,None,0,None,0
,,5,2500000,ITEM_EXCLUSIVE_MATERIAL_LOW,25,None,0,None,0
,,6,3000000,ITEM_EXCLUSIVE_MATERIAL_LOW,30,None,0,None,0
,,7,3500000,ITEM_EXCLUSIVE_MATERIAL_LOW,40,None,0,None,0
,,8,4000000,ITEM_EXCLUSIVE_MATERIAL_LOW,50,None,0,None,0
,,9,4500000,ITEM_EXCLUSIVE_MATERIAL_LOW,60,None,0,None,0
,,10,5000000,ITEM_EXCLUSIVE_MATERIAL_LOW,70,None,0,None,0
,,11,6000000,ITEM_EXCLUSIVE_MATERIAL_INTERMEDIATE,3,None,0,None,0
,,12,7000000,ITEM_EXCLUSIVE_MATERIAL_INTERMEDIATE,6,None,0,None,0
,,13,8000000,ITEM_EXCLUSIVE_MATERIAL_INTERMEDIATE,9,None,0,None,0
,,14,9000000,ITEM_EXCLUSIVE_MATERIAL_INTERMEDIATE,12,None,0,None,0
,,15,10000000,ITEM_EXCLUSIVE_MATERIAL_INTERMEDIATE,15,None,0,None,0
,,16,11000000,ITEM_EXCLUSIVE_MATERIAL_INTERMEDIATE,20,None,0,None,0
,,17,12000000,ITEM_EXCLUSIVE_MATERIAL_INTERMEDIATE,30,None,0,None,0
,,18,13000000,ITEM_EXCLUSIVE_MATERIAL_INTERMEDIATE,40,None,0,None,0
,,19,14000000,ITEM_EXCLUSIVE_MATERIAL_INTERMEDIATE,50,None,0,None,0
,,20,15000000,ITEM_EXCLUSIVE_MATERIAL_INTERMEDIATE,60,None,0,None,0
,,21,16000000,ITEM_EXCLUSIVE_MATERIAL_ADVANCED,3,None,0,None,0
,,22,17000000,ITEM_EXCLUSIVE_MATERIAL_ADVANCED,6,None,0,None,0
,,23,18000000,ITEM_EXCLUSIVE_MATERIAL_ADVANCED,9,None,0,None,0
,,24,19000000,ITEM_EXCLUSIVE_MATERIAL_ADVANCED,12,None,0,None,0
,,25,20000000,ITEM_EXCLUSIVE_MATERIAL_ADVANCED,15,None,0,None,0
,,26,21000000,ITEM_EXCLUSIVE_MATERIAL_ADVANCED,18,None,0,None,0
,,27,22000000,ITEM_EXCLUSIVE_MATERIAL_ADVANCED,21,None,0,None,0
,,28,23000000,ITEM_EXCLUSIVE_MATERIAL_ADVANCED,24,None,0,None,0
,,29,24000000,ITEM_EXCLUSIVE_MATERIAL_ADVANCED,27,None,0,None,0
,,30,25000000,ITEM_EXCLUSIVE_MATERIAL_ADVANCED,30,None,0,None,0
