_ID,_VALUE,DescKey:id,#Desc:string,FeatureUnlockDescKey:id,Param:int,VIPLevel:int,IdParam:id,Heroes:id[],LimitType:string[],LimitValue:string[],IconResName:string,SystemName:loc,Des:loc,OpenConditionText:loc,JudgmentLevel:int,Priority:int
FEATURE_UNLOCK_DAILYQUEST,1,LOC_FEATURE_DESC_FEATURE_UNLOCK_DAILYQUEST,每日任务12级解锁,,12,,,,,,btn_Daily,LOC_NAME_LEVEL_UP_DAILYQUEST,LOC_DES_LEVEL_UP_DAILYQUEST,LOC_OPEN_LEVEL_UP_DAILYQUEST,12,1
FEATURE_UNLOCK_CORPS,2,LOC_FEATURE_DESC_FEATURE_UNLOCK_CORPS,军团挑战15级解锁,,14,,,,PlayerLevel,14,ICON_System_Gefenta ,LOC_NAME_LEVEL_UP_CORPS,LOC_DES_LEVEL_UP_CORPS,LOC_OPEN_LEVEL_UP_CORPS,14,
FEATURE_UNLOCK_ELITELEVEL,3,LOC_FEATURE_DESC_FEATURE_UNLOCK_ELITELEVEL,精英关卡11级解锁（无用）,,999,,,,,,,,,,,
FEATURE_UNLOCK_TROOPS,4,LOC_FEATURE_DESC_FEATURE_UNLOCK_TROOPS,进击的兵团{0}级解锁,,21,,ATTACKON_GOLD,,,,ICON_System_Cat,LOC_NAME_LEVEL_UP_FRUIT,LOC_DES_LEVEL_UP_FRUIT,LOC_OPEN_LEVEL_UP_FRUIT,,
FEATURE_UNLOCK_EQUIPMENT,5,LOC_OPEN_LEVEL_UP_EQUIPMENT,装备5级解锁,,5,,,,,,ICON_System_Equipment,LOC_NAME_LEVEL_UP_EQUIPMENT,LOC_DES_LEVEL_UP_EQUIPMENT,LOC_OPEN_LEVEL_UP_EQUIPMENT,5,1
FEATURE_UNLOCK_RUSH,6,LOC_FEATURE_DESC_FEATURE_UNLOCK_RUSH,扫荡14级解锁,,101,,,,,,,,,,,
FEATURE_UNLOCK_CRUSADE,7,LOC_FEATURE_DESC_FEATURE_UNLOCK_CRUSADE,远征27级解锁,,27,,,,PlayerLevel,27,ICON_System_Dojo,LOC_NAME_LEVEL_UP_CRUSADE,LOC_DES_LEVEL_UP_CRUSADE,LOC_OPEN_LEVEL_UP_CRUSADE,27,2
,,,,,,,,,PlayerLevel,27,,,,,,
FEATURE_UNLOCK_ARENA,8,LOC_OPEN_LEVEL_UP_ARENA,竞技场18级解锁,,18,,,,PlayerLevel,1,ICON_System_Contest,LOC_NAME_LEVEL_UP_ARENA,LOC_DES_LEVEL_UP_ARENA,LOC_OPEN_LEVEL_UP_ARENA,18,2
,,,,,,,,,PlayerLevel,18,,,,,,
FEATURE_UNLOCK_RANDOM_QUEST,9,LOC_FEATURE_DESC_FEATURE_UNLOCK_RANDOM_QUEST,随机任务22解锁（暂时关闭）,,999,,,,,,,,,,,
FEATURE_UNLOCK_ARMYTYPESKILLTREE,10,,士兵科技22级解锁,,999,,,,,,,,,,,
FEATURE_UNLOCK_HERO_BREAK,11,LOC_FEATURE_DESC_FEATURE_UNLOCK_HERO_BREAK,英雄升级103,LOC_FEATURE_UPGRADE_MAP,,,LEVEL_103,,,,ICON_System_Level_Up,LOC_NAME_LEVEL_UP_HERO_BREAK,LOC_DES_LEVEL_UP_HERO_BREAK,LOC_OPEN_LEVEL_UP_HERO_BREAK,,
FEATURE_CRUSADE_HERO_LEVEL,12,LOC_FEATURE_DESC_FEATURE_CRUSADE_HERO_LEVEL,远征英雄最低等级,,1,,,,,,,,,,,
