_ID,_VALUE,HeroLv:int[],HeroLvPower:int[],CharacterLvPower:int[],HeroEvolveStar:int[],HeroBasePower:int[],HeroStarRatio:decimal[],ScrollStrength:int[],ScrollBasePower:int[],ScrollStarRatio:decimal[],ScrollPointParam:decimal[],EquipmentLv:int[],EquipmentLvPower1:int[],EquipmentLvPower2:int[],EquipmentSuitsType:string[],EquipmentSuitsPower2:int[],EquipmentSuitsPower3:int[],EquipmentSuitsPower4:int[],SparMasterLv:int[],SparMasterPower:int[],SparLevel:int[],OrangePower:int[],PurplePower:int[],BluePower:int[],GreenPower:int[],SparRefine:int[],SparRefinePercentage:int[],SparRefinePower:int[],BadgeLevel:int[],BadgePowerType:string[],BadgePower:int[],HeroQualification:int[],HeroQualificationFactor:decimal[],ScrollQualification:int[],ScrollQualificationFactor:decimal[],ExclusiveLv:int[],ExclusiveBasePower:int[],EquipmentSuitsLv:int[],EquipmentSuitsPlusFactor:int[]
FIGHT_POWER,1,999,100,80,1,360,1,0,288,1,0,1,79,53,Constant,66,66,66,1,930,1,565,420,280,195,1,5,1705,1,Constant,2380,0,0,0,0,0,1410,18,250
,,,,,2,360,1.1,1,288,1,2.84,2,317,211,Constant,264,264,264,2,1550,2,680,510,340,235,2,10,3410,2,Constant,3440,1,0,1,0,1,1551,19,350
,,,,,3,360,1.21,2,288,1.1,2.84,3,515,343,Constant,429,429,429,3,2480,3,790,590,395,275,3,15,5115,3,Percentage,350,2,1,2,0,2,1692,20,450
,,,,,4,360,1.67,3,288,1.1,4.91,4,673,449,Constant,561,561,561,4,3725,4,905,675,450,315,4,20,6820,4,Constant,4080,3,0.88,3,0.9,3,1833,21,600
,,,,,5,360,1.92,4,288,1.21,4.91,5,832,554,Constant,693,693,693,5,5275,5,1015,760,505,355,5,25,8525,5,Constant,5960,4,1,4,1,4,1974,22,750
,,,,,6,360,2.3,5,288,1.21,8.04,6,1030,686,Constant,858,858,858,6,7450,6,1130,845,565,395,6,30,10235,6,Percentage,950,5,1.2,5,1.2,5,2115,23,950
,,,,,7,360,2.76,6,288,1.21,11.31,7,1267,845,Constant,1056,1056,1056,7,10245,7,1245,930,620,435,7,35,11940,7,Constant,10830,6,1.4,6,0,6,2256,24,1350
,,,,,8,360,3.31,7,288,1.67,11.31,8,1584,1056,Constant,1320,1320,1320,8,13660,8,1355,1015,675,470,8,40,13645,8,Constant,21310,,,,,7,2397,,
,,,,,9,360,4.32,8,288,1.67,14.86,9,1940,1294,Constant,1617,1617,1617,9,17700,9,1470,1100,735,510,9,45,15350,9,Percentage,10000,,,,,8,2538,,
,,,,,10,360,5.2,9,288,1.67,18.99,10,2297,1531,Constant,1914,1914,1914,10,22360,10,1580,1185,790,550,10,50,17055,,,,,,,,9,2679,,
,,,,,11,360,5.7,10,288,1.92,18.99,11,2653,1769,Constant,2211,2211,2211,11,27640,11,1810,1355,905,630,11,55,18760,,,,,,,,10,2820,,
,,,,,12,360,6.2,11,288,1.92,22.97,12,3010,2006,Constant,2508,2508,2508,12,33540,12,2035,1525,1015,710,12,60,20465,,,,,,,,11,3102,,
,,,,,13,360,6.8,12,288,1.92,27.92,13,6019,4013,Percentage,50,125,50,13,40060,13,2260,1695,1130,790,13,65,22170,,,,,,,,12,3384,,
,,,,,14,360,7.5,13,288,1.92,27.92,14,6732,4488,Percentage,75,150,75,14,47200,14,2485,1860,1240,865,14,70,23875,,,,,,,,13,3666,,
,,,,,15,360,8.3,14,288,2.3,27.92,15,7524,5016,Percentage,100,175,100,,,15,2710,2030,1355,945,,,,,,,,,,,14,3948,,
,,,,,,,,15,288,2.3,32.47,16,8316,5544,Percentage,125,200,125,,,16,2940,2205,1470,1025,,,,,,,,,,,15,4230,,
,,,,,,,,16,288,2.3,38.62,17,9504,6336,Percentage,150,250,150,,,17,3165,2370,1580,1105,,,,,,,,,,,16,4512,,
,,,,,,,,17,288,2.3,43.59,18,10692,7128,Percentage,175,300,175,,,18,3390,2540,1695,1185,,,,,,,,,,,17,5076,,
,,,,,,,,18,288,2.76,43.59,19,11880,7920,Percentage,200,350,200,,,19,3615,2710,1805,1265,,,,,,,,,,,18,5640,,
,,,,,,,,19,288,2.76,50.99,20,13068,8712,Percentage,225,400,250,,,20,3840,2880,1920,1340,,,,,,,,,,,19,6204,,
,,,,,,,,20,288,2.76,56.39,21,14256,9504,Percentage,250,450,300,,,21,4125,3090,2060,1440,,,,,,,,,,,20,6768,,
,,,,,,,,21,288,2.76,64.61,22,15444,10296,Percentage,300,500,350,,,22,4405,3300,2200,1540,,,,,,,,,,,21,7332,,
,,,,,,,,22,288,2.76,70.28,23,17424,11616,Percentage,350,600,400,,,23,4690,3515,2345,1640,,,,,,,,,,,22,7896,,
,,,,,,,,23,288,3.31,70.28,24,23760,15840,Percentage,400,750,600,,,24,4970,3725,2485,1735,,,,,,,,,,,23,8460,,
,,,,,,,,24,288,3.31,79.32,25,29400,19600,Percentage,450,900,750,,,25,5255,3940,2625,1835,,,,,,,,,,,24,9024,,
,,,,,,,,25,288,3.31,85.71,26,37440,24960,Percentage,500,1100,900,,,26,5535,4150,2765,1935,,,,,,,,,,,25,9870,,
,,,,,,,,26,288,3.31,96,,,,,,,,,,27,5820,4365,2910,2035,,,,,,,,,,,26,10716,,
,,,,,,,,27,288,3.31,103.09,,,,,,,,,,28,6100,4575,3050,2135,,,,,,,,,,,27,11562,,
,,,,,,,,28,288,4.32,103.09,,,,,,,,,,29,6385,4785,3190,2230,,,,,,,,,,,28,12408,,
,,,,,,,,29,288,4.32,114.63,,,,,,,,,,30,6665,4995,3330,2330,,,,,,,,,,,29,13254,,
,,,,,,,,30,288,4.32,123.14,,,,,,,,,,31,7005,5250,3500,2450,,,,,,,,,,,30,14100,,
,,,,,,,,31,288,4.32,135.5,,,,,,,,,,32,7345,5505,3670,2570,,,,,,,,,,,,,,
,,,,,,,,32,288,4.32,146.14,,,,,,,,,,33,7685,5760,3840,2685,,,,,,,,,,,,,,
,,,,,,,,33,288,4.32,164.65,,,,,,,,,,34,8025,6015,4010,2805,,,,,,,,,,,,,,
