_ID,_VALUE,Type:string,Reward1:id,RewardNum1:int,Vip:int,#Des:string
FUNDUP_PURCHASE,999,PURCHASE,ITEM_CRYSTAL,1000,3,V2+1000水晶购买基金
FUNDUP_DAY_01,1,DAYS,ITEM_CRYSTAL,100,,送XXX水晶
FUNDUP_DAY_02,2,DAYS,ITEM_CRYSTAL,100,,送XXX水晶
FUNDUP_DAY_03,3,DAYS,ITEM_CRYSTAL,100,,送XXX水晶
FUNDUP_DAY_04,4,DAYS,ITEM_CRYSTAL,150,,送XXX水晶
FUNDUP_DAY_05,5,DAYS,ITEM_CRYSTAL,150,,送XXX水晶
FUNDUP_DAY_06,6,DAYS,ITEM_CRYSTAL,150,,送XXX水晶
FUNDUP_DAY_07,7,DAYS,ITEM_CRYSTAL,200,,送XXX水晶
FUNDUP_DAY_08,8,DAYS,ITEM_CRYSTAL,200,,送XXX水晶
FUNDUP_DAY_09,9,DAYS,ITEM_CRYSTAL,200,,送XXX水晶
FUNDUP_DAY_10,10,DAYS,ITEM_CRYSTAL,250,,送XXX水晶
FUNDUP_DAY_11,11,DAYS,ITEM_CRYSTAL,250,,送XXX水晶
FUNDUP_DAY_12,12,DAYS,ITEM_CRYSTAL,250,,送XXX水晶
FUNDUP_DAY_13,13,DAYS,ITEM_CRYSTAL,400,,送XXX水晶
FUNDUP_DAY_14,14,DAYS,ITEM_CRYSTAL,500,,送XXX水晶
FUNDUP_DAY_15,15,DAYS,ITEM_CRYSTAL,888,,送XXX水晶
