_ID,_VALUE,Day:int[],ChallengesNum:int,Heroes:id,SubLevelName:loc[],RecommendLevel:int[],EnemyLevel:int[],Drop:int[][],JammingRule:string,ShowItem1:id[],ShowItemCount1:int[],ShowItem2:id[],ShowItemCount2:int[],ShowItem3:id[],ShowItemCount3:int[],ShowItem4:id[],ShowItemCount4:int[],MapLevel:id[],SkillName1:id[],SkillDes1:id[],SkillName2:id[],SkillDes2:id[],SkillName3:id[],SkillDes3:id[],SkillName4:id[],SkillDes4:id[],SkillName5:id[],SkillDes5:id[]
GUARDIAN_OF_GOD_1,1,1,2,HERO_BOSS_DARK_RANDGRIS,LOC_GUARDIAN_OF_GOD_DIFFICULT1_1,50,50,300001#100000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,5,None,0,None,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_1
,,4,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_2,60,60,300002#100000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,10,None,0,None,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_1
,,,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_3,70,70,300003#100000|300007#100000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,15,ITEM_MONSTER_SPLINTER_SCISSORS_2,5,None,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_1
,,,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_4,80,80,300004#100000|300008#100000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,20,ITEM_MONSTER_SPLINTER_SCISSORS_2,8,None,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_1
,,,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_5,110,110,300005#100000|300009#100000|300013#40000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,25,ITEM_MONSTER_SPLINTER_SCISSORS_2,10,ITEM_EMBLEM_EGGYRA_SCISSORS,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_1
,,,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_6,140,140,300006#100000|300010#100000|300014#40000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,30,ITEM_MONSTER_SPLINTER_SCISSORS_2,12,ITEM_EMBLEM_EGGYRA_SCISSORS,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_6,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_1
,,,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_7,160,160,300006#100000|300011#100000|300015#40000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,30,ITEM_MONSTER_SPLINTER_SCISSORS_2,15,ITEM_EMBLEM_EGGYRA_SCISSORS,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_7,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_1
,,,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_8,180,180,300006#100000|300012#100000|300016#40000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,30,ITEM_MONSTER_SPLINTER_SCISSORS_2,20,ITEM_EMBLEM_EGGYRA_SCISSORS,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_8,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_1
,,,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_9,200,200,300006#100000|300012#100000|300017#40000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,30,ITEM_MONSTER_SPLINTER_SCISSORS_2,20,ITEM_EMBLEM_EGGYRA_SCISSORS,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_9,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_1
,,,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_10,250,250,300006#100000|300012#100000|300018#40000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,30,ITEM_MONSTER_SPLINTER_SCISSORS_2,20,ITEM_EMBLEM_EGGYRA_SCISSORS,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_10,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_2
,,,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_11,270,270,300006#100000|300012#100000|300019#40000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,30,ITEM_MONSTER_SPLINTER_SCISSORS_2,20,ITEM_EMBLEM_EGGYRA_SCISSORS,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_11,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_2
,,,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_12,300,300,300006#100000|300012#100000|300020#40000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_SCISSORS_1,30,ITEM_MONSTER_SPLINTER_SCISSORS_2,20,ITEM_EMBLEM_EGGYRA_SCISSORS,0,None,0,LEVEL_GUARDIAN_OF_GOD_4_LV_12,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_2,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_2_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DARK_RANDGRIS_SKILL_DES_5_2
GUARDIAN_OF_GOD_2,2,2,2,HERO_BOSS_DIFFUSE,LOC_GUARDIAN_OF_GOD_DIFFICULT1_1,50,50,310001#100000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_ROCK_1,5,None,0,None,0,None,0,LEVEL_GUARDIAN_OF_GOD_1_LV_1,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_DES_5_1,None,None
,,5,,,LOC_GUARDIAN_OF_GOD_DIFFICULT1_2,60,60,310002#100000,GuardianOfGodRule_1,ITEM_MONSTER_SPLINTER_ROCK_1,10,None,0,None,0,None,0,LEVEL_GUARDIAN_OF_GOD_1_LV_2,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_NAME_1,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_DES_1_1,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_NAME_3,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_DES_3_1,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_NAME_4,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_DES_4_1,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_NAME_5,LOC_PAN_GOD_BOSS_CHARACTER_DIFFUSE_SKILL_DES_5_1,None,None
