_ID,_VALUE,ConditionType:string,ConditionParam1:int[],ConditionParam2:string[],#Remark:string
GUILD_BATTLE_PARAM_ARRAY_TIME,1,ArrayTime,60,,战斗准备时间
GUILD_BATTLE_PARAM_BATTLE_TIME,2,BattleTime,300,,战斗最大时长
GUILD_BATTLE_PARAM_END_TIME,3,EndTime,450,,服务端强制结算时间
GUILD_BATTLE_PARAM_RANDOM_SHOW_NUMBER,4,RandomShowNumber,5,,随机显示队伍数量
GUILD_BATTLE_PARAM_NEED_DESTROY_TOWER,5,NeedDestroyTower,5,,攻打主城击破塔数量
GUILD_BATTLE_PARAM_1REWARD,6,1Reward,600001,,冠军奖励
,,,610001,,
,,,620001,,
,,,620042,,
,,,620009,,
GUILD_BATTLE_PARAM_2REWARD,7,2Reward,600002,,亚军奖励
,,,610002,,
,,,620002,,
,,,620043,,
,,,620010,,
GUILD_BATTLE_PARAM_4REWARD,8,4Reward,600003,,4强奖励
,,,610003,,
,,,620003,,
,,,620044,,
,,,620011,,
GUILD_BATTLE_PARAM_8REWARD,9,8Reward,600004,,8强奖励
,,,610004,,
,,,620004,,
,,,620045,,
,,,620012,,
GUILD_BATTLE_PARAM_16REWARD,10,16Reward,600005,,16强奖励
,,,610005,,
,,,620005,,
,,,620046,,
,,,620013,,
GUILD_BATTLE_PARAM_32REWARD,11,32Reward,600006,,32强奖励
,,,610006,,
,,,620006,,
,,,620047,,
,,,620014,,
GUILD_BATTLE_PARAM_REGULAR_SEASON_VICTORY_REWARD,12,RegularSeasonVictoryReward ,600007,,常规赛胜利奖励（无效）
,,,610007,,
,,,620007,,
GUILD_BATTLE_PARAM_PARTICIPATION_REWARD,13,ParticipationReward,600008,,参与奖励（无效）
,,,610008,,
,,,620008,,
GUILD_BATTLE_PARAM_BATTLE_REWARD,14,BattleReward,600000,,战斗奖励
GUILD_BATTLE_PARAM_MEMBER_PERMANENT_FRAME,15,MemberPermanentFrame,690001,,会员永久头像框
GUILD_BATTLE_PARAM_PRESIDENT_PERMANENT_FRAME,16,PresidentPermanentFrame,690002,,会长永久头像框
GUILD_BATTLE_PARAM_NEED_SUCCESSIVE_CHAMPIONSHIPS,17,NeedSuccessiveChampionships,3,,永久需连胜次数
GUILD_BATTLE_PARAM_GUILD_BATTLE_HERO_HP_PLUS,18,GuildBattleHeroHpPlus,20,,公会竞技敌方英雄生命加成
GUILD_BATTLE_PARAM_GUILD_BATTLE_CHARACTER_HP_PLUS,19,GuildBattleCharacterHpPlus,10,,公会竞技敌方士兵生命加成
GUILD_BATTLE_PARAM_HORSE_RACE_LAMP_TIMES,20,HorseRaceLampTimes,3,,跑马灯播放次数
GUILD_BATTLE_PARAM_HORSE_RACE_LAMP_INTERVAL,21,HorseRaceLampInterval,15,,跑马灯循环间隔
GUILD_BATTLE_PARAM_FRAME,22,Frame,3002,,8强头像框
,,,3003,,4强头像框
,,,3004,,冠军头像框
GUILD_BATTLE_PARAM_SILVER_COIN,23,RewardSliverCoin,500,,公会战赠送银币参数-基础银币
,,,10,,公会战赠送银币参数-进攻胜场银币
,,,50,,公会战赠送银币参数-公会胜场银币
,,,5,,公会战赠送银币参数-进攻失败银币
GUILD_BATTLE_PARAM_GUESS_LOST,24,DeductSliverCoin,0,,公会战竞猜失败扣除(千分比)
GUILD_BATTLE_PARAM_GUESS_CHANGE_COST_POINT,25,GuessChangeCostCoin,250,,公会战更换竞猜扣除(千分比)
GUILD_BATTLE_PARAM_GUESS_OVER_COST_POINT,26,GuessOverCostCoin,0,,公会战结束竞猜扣除(千分比)
GUILD_BATTLE_PARAM_POINT_REWARD_0,27,0Point,620015,,常规赛积分奖励-0
,,,620016,,
,,,620017,,
GUILD_BATTLE_PARAM_POINT_REWARD_1,28,1Point,620018,,常规赛积分奖励1
,,,620019,,
,,,620020,,
,,,620036,,
GUILD_BATTLE_PARAM_POINT_REWARD_2,29,2Point,620021,,常规赛积分奖励2
,,,620022,,
,,,620023,,
,,,620037,,
GUILD_BATTLE_PARAM_POINT_REWARD_3,30,3Point,620024,,常规赛积分奖励3
,,,620025,,
,,,620026,,
,,,620038,,
GUILD_BATTLE_PARAM_POINT_REWARD_4,31,4Point,620027,,常规赛积分奖励4
,,,620028,,
,,,620029,,
,,,620039,,
GUILD_BATTLE_PARAM_POINT_REWARD_5,32,5Point,620030,,常规赛积分奖励5
,,,620031,,
,,,620032,,
,,,620040,,
GUILD_BATTLE_PARAM_POINT_REWARD_6,33,6Point,620033,,常规赛积分奖励6
,,,620034,,
,,,620035,,
,,,620041,,
GUILD_BATTLE_PARAM_START_TIME,34,StartTime,,2020-10-05,年月日
,,,,05:00:00,时分秒
