_ID,_VALUE,NotRepeat:int[],MapLevelId:id[],EnemyModel:id[],BossLv:int[],BossStar:int[],EnemylImg:string[],Xpos:int[],Ypos:int[],Name:loc[],NameServer:string[],Color:string[],PresenterDistance:double[]
GUILD_BOSS_MAP_BANK_1,1,1,LEVEL_GUILD_BOSS_LOOP_1_1,HERO_DARK_LORD,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,2,LEVEL_GUILD_BOSS_LOOP_2_1,HERO_BAPHOMET,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,3,LEVEL_GUILD_BOSS_LOOP_3_1,HERO_OSIRIS,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,4,LEVEL_GUILD_BOSS_LOOP_4_1,HERO_EDDGA,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,5,LEVEL_GUILD_BOSS_LOOP_5_1,HERO_PHREEONI,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,6,LEVEL_GUILD_BOSS_LOOP_6_1,HERO_DRAKE,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,7,LEVEL_GUILD_BOSS_LOOP_7_1,HERO_DOPPELGANGER,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,8,LEVEL_GUILD_BOSS_LOOP_8_1,HERO_TURTLE_GENERAL,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,9,LEVEL_GUILD_BOSS_LOOP_9_1,HERO_ORK_HERO,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,10,LEVEL_GUILD_BOSS_LOOP_10_1,HERO_MOONLIGHT,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,11,LEVEL_GUILD_BOSS_LOOP_11_1,HERO_GARM,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,12,LEVEL_GUILD_BOSS_LOOP_12_1,HERO_G_RANDGRIS,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,13,LEVEL_GUILD_BOSS_LOOP_13_1,HERO_TAO_GUNKA,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,14,LEVEL_GUILD_BOSS_LOOP_14_1,HERO_MAYA,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,15,LEVEL_GUILD_BOSS_LOOP_15_1,HERO_MISTRESS,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,16,LEVEL_GUILD_BOSS_LOOP_16_1,HERO_DELETER,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,17,LEVEL_GUILD_BOSS_LOOP_17_1,HERO_OWL_BARON,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,18,LEVEL_GUILD_BOSS_LOOP_18_1,HERO_WANDER_MAN,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
,,19,LEVEL_GUILD_BOSS_LOOP_19_1,HERO_NIGHTMARE_TERROR,250,6,Cut-in_Full_Neal,37,-442,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_NAMECN_ITEM_GOLD,a91c1c,28
