_ID,_VALUE,UISpriteIcon:string,SimpleIcon:string,UISpriteIcon_L:string
GUILD_1,1,icon_Clan01,Clan01,icon_Clan01_L
GUILD_2,2,icon_Clan02,Clan02,icon_Clan02_L
GUILD_3,3,icon_Clan03,Clan03,icon_Clan03_L
GUILD_4,4,icon_Clan04,Clan04,icon_Clan04_L
GUILD_5,5,icon_Clan05,Clan05,icon_Clan05_L
GUILD_6,6,icon_Clan06,Clan06,icon_Clan06_L
GUILD_7,7,icon_Clan07,Clan07,icon_Clan07_L
GUILD_8,8,icon_Clan08,Clan08,icon_Clan08_L
GUILD_9,9,icon_Clan09,Clan09,icon_Clan09_L
GUILD_10,10,icon_Clan10,Clan10,icon_Clan10_L
GUILD_11,11,icon_Clan11,Clan11,icon_Clan11_L
GUILD_12,12,icon_Clan12,Clan12,icon_Clan12_L
GUILD_13,13,icon_Clan13,Clan13,icon_Clan13_L
GUILD_14,14,icon_Clan14,Clan14,icon_Clan14_L
GUILD_15,15,icon_Clan15,Clan15,icon_Clan15_L
GUILD_16,16,icon_Clan16,Clan16,icon_Clan16_L
GUILD_17,17,icon_Clan17,Clan17,icon_Clan17_L
GUILD_18,18,icon_Clan18,Clan18,icon_Clan18_L
GUILD_19,19,icon_Clan19,Clan19,icon_Clan19_L
GUILD_20,20,icon_Clan20,Clan20,icon_Clan20_L
