_ID,_VALUE,Name:loc,Star:int[],AttributeNumS:int[],AttributeNumA:int[],AttributeNumB:int[],AttributeNumC:int[],AttributeNumD:int[]
HERO_EVOLVE_ATTRITUBES_PROMOTION_HP,1,LOC_ATTRIBUTE_HP,1,0,0,0,0,0
,,,2,0,0,0,0,0
,,,3,0,0,0,0,0
,,,4,0,0,0,0,0
,,,5,0,0,0,0,0
,,,6,0,0,0,0,0
,,,7,0,0,0,0,0
,,,8,0,0,0,0,0
,,,9,0,0,0,0,0
,,,10,0,0,0,0,0
,,,11,44000,36630,30470,26290,22990
,,,12,0,0,0,0,0
,,,13,64000,53280,44320,38240,33440
,,,14,0,0,0,0,0
,,,15,92000,76590,63710,54970,48070
HERO_EVOLVE_ATTRITUBES_PROMOTION_ATTACK,2,LOC_ATTRIBUTE_ATTACK,1,0,0,0,0,0
,,,2,0,0,0,0,0
,,,3,0,0,0,0,0
,,,4,0,0,0,0,0
,,,5,0,0,0,0,0
,,,6,0,0,0,0,0
,,,7,0,0,0,0,0
,,,8,0,0,0,0,0
,,,9,0,0,0,0,0
,,,10,0,0,0,0,0
,,,11,0,0,0,0,0
,,,12,3600,3040,2680,2400,2080
,,,13,0,0,0,0,0
,,,14,5400,4560,4020,3600,3120
,,,15,0,0,0,0,0
