_ID,_VALUE,Cost1:string[],Param1:string[],Param2:string[],Param3:string[],CostNum:int[],#CostType:string
HERO_EVOLVE_COST_5,1,Self,None,None,None,1,本体卡
,,SameTypeRank,B,None,None,8,同阵营B级卡
HERO_EVOLVE_COST_6,2,SameTypeStar,5,None,None,1,同阵营5星卡
,,SameTypeRank,A,None,None,4,同阵营A级或S级卡
HERO_EVOLVE_COST_7,3,SameTypeStar,5,None,None,2,同阵营5星卡
,,SameTypeRank,A,None,None,6,同阵营A级或S级卡
HERO_EVOLVE_COST_8,4,Self,None,None,None,1,本体卡
,,SameTypeRank,A,None,None,8,同阵营A级或S级卡
HERO_EVOLVE_COST_9,5,Self,None,None,None,1,本体卡
,,SameTypeRank,A,None,None,16,同阵营A级或S级卡
HERO_EVOLVE_COST_10,6,Self,None,None,None,2,本体卡
,,Star,9,None,None,1,任意9星卡
HERO_EVOLVE_COST_11,7,Self,None,None,None,1,本体卡
HERO_EVOLVE_COST_12,8,Self,None,None,None,2,本体卡
HERO_EVOLVE_COST_13,9,Self,None,None,None,3,本体卡
HERO_EVOLVE_COST_14,10,Self,None,None,None,4,本体卡
HERO_EVOLVE_COST_15,11,Self,None,None,None,5,本体卡
