_INDEX,HeroEXP:int,HeroGold:int
0,50,100
1,75,200
2,100,300
3,150,400
4,200,500
5,250,600
6,300,700
7,350,800
8,400,900
9,500,1000
10,600,1500
11,700,2000
12,800,3000
13,900,4000
14,1000,5000
15,1300,6000
16,1600,7000
17,1900,8000
18,2200,9000
19,2500,10000
20,2800,11000
21,3100,12000
22,3400,13000
23,3700,14000
24,4000,15000
25,4250,15500
26,4500,16000
27,4750,16500
28,5000,17000
29,5250,18000
30,5500,19000
31,5750,20000
32,6000,21000
33,6250,22000
34,6500,23000
35,6750,23500
36,7000,24000
37,7250,24500
38,7500,25000
39,7750,25500
40,8000,26000
41,8250,26500
42,8500,27000
43,8750,27500
44,9000,28000
45,9250,28500
46,9500,29000
47,9750,29500
48,10000,30000
49,10250,30500
50,10500,31000
51,10750,31500
52,11000,32000
53,11250,32500
54,11500,33000
55,11750,33500
56,12000,34000
57,12250,34500
58,12500,35000
59,13000,36000
60,13500,37000
61,14000,38000
62,14500,39000
63,15000,40000
64,15500,41000
65,16000,42000
66,16500,43000
67,17000,44000
68,17500,45000
69,18500,47500
70,19500,50000
71,20500,52500
72,21500,55000
73,22500,57500
74,23500,60000
75,24500,62500
76,25500,65000
77,26500,67500
78,27500,70000
79,30000,75000
80,30500,80000
81,31000,85000
82,31500,90000
83,32000,95000
84,32500,100000
85,33000,105000
86,33500,110000
87,34000,115000
88,34500,120000
89,35000,125000
90,35500,130000
91,36000,135000
92,36500,140000
93,37000,143000
94,37500,146000
95,38000,149000
96,38500,152000
97,39000,154000
98,39500,156000
99,40000,180000
100,40500,200000
101,41000,220000
102,41500,240000
103,42000,260000
104,42500,280000
105,43000,300000
106,43500,320000
107,44000,340000
108,44500,360000
109,45000,380000
110,45500,400000
111,46000,420000
112,46500,440000
113,47000,460000
114,47500,480000
115,48000,500000
116,48500,520000
117,49000,540000
118,49500,560000
119,64000,600000
120,78400,670000
121,92800,740000
122,107200,810000
123,121600,880000
124,136000,950000
125,150400,1020000
126,164800,1090000
127,179200,1160000
128,193600,1230000
129,208000,1300000
130,222400,1370000
131,236800,1440000
132,251200,1510000
133,265600,1580000
134,280000,1650000
135,294400,1720000
136,308800,1790000
137,323200,1860000
138,337600,1930000
139,384000,2000000
140,400000,2070000
141,416000,2140000
142,432000,2210000
143,448000,2280000
144,464000,2350000
145,480000,2420000
146,496000,2490000
147,512000,2560000
148,528000,2630000
149,544000,2700000
150,560000,2770000
151,576000,2840000
152,592000,2910000
153,608000,2980000
154,624000,3050000
155,640000,3120000
156,656000,3190000
157,672000,3260000
158,688000,3330000
159,704000,3400000
160,720000,3490000
161,736000,3580000
162,752000,3670000
163,768000,3760000
164,784000,3850000
165,800000,3940000
166,816000,4030000
167,832000,4120000
168,848000,4210000
169,864000,4300000
170,880000,4390000
171,896000,4480000
172,912000,4570000
173,928000,4660000
174,944000,4750000
175,960000,4840000
176,976000,4930000
177,992000,5020000
178,1008000,5110000
179,1200000,6000000
180,1210000,6040000
181,1220000,6080000
182,1230000,6120000
183,1240000,6160000
184,1250000,6200000
185,1260000,6240000
186,1270000,6280000
187,1280000,6320000
188,1290000,6360000
189,1300000,6400000
190,1310000,6440000
191,1320000,6480000
192,1330000,6520000
193,1340000,6560000
194,1350000,6600000
195,1360000,6640000
196,1370000,6680000
197,1380000,6720000
198,1390000,6760000
199,1400000,6770000
200,1402000,6780000
201,1404000,6790000
202,1406000,6800000
203,1408000,6810000
204,1410000,6820000
205,1412000,6830000
206,1414000,6840000
207,1416000,6850000
208,1418000,6860000
209,1420000,6870000
210,1422000,6880000
211,1424000,6890000
212,1426000,6900000
213,1428000,6910000
214,1430000,6920000
215,1432000,6930000
216,1434000,6940000
217,1436000,6950000
218,1438000,6960000
219,1440000,6970000
220,1442000,6980000
221,1444000,6990000
222,1446000,7000000
223,1448000,7010000
224,1450000,7020000
225,1452000,7030000
226,1454000,7040000
227,1456000,7050000
228,1458000,7060000
229,1460000,7070000
230,1462000,7080000
231,1464000,7090000
232,1466000,7100000
233,1468000,7110000
234,1470000,7120000
235,1472000,7130000
236,1474000,7140000
237,1476000,7150000
238,1478000,7160000
239,1480000,7170000
240,1482000,7180000
241,1484000,7190000
242,1486000,7200000
243,1488000,7210000
244,1490000,7220000
245,1492000,7230000
246,1494000,7240000
247,1496000,7250000
248,1498000,7260000
249,1500000,7500000
250,1600000,8000000
251,1700000,8500000
252,1800000,9000000
253,1900000,9500000
254,2000000,10000000
255,2100000,10500000
256,2200000,11000000
257,2300000,11500000
258,2400000,12000000
259,2500000,12500000
260,2600000,13000000
261,2700000,13500000
262,2800000,14000000
263,2900000,14500000
264,3000000,15000000
265,3100000,15500000
266,3200000,16000000
267,3300000,16500000
268,3400000,17000000
269,3500000,17500000
270,3600000,18000000
271,3700000,18500000
272,3800000,19000000
273,3900000,19500000
274,4000000,20000000
275,4100000,20500000
276,4200000,21000000
277,4300000,21500000
278,4500000,22000000
279,4700000,24000000
280,4900000,26000000
281,5100000,28000000
282,5300000,30000000
283,5500000,32000000
284,5700000,34000000
285,5900000,36000000
286,6100000,38000000
287,6300000,40000000
288,6500000,42000000
289,7500000,45000000
290,8500000,48000000
291,9500000,51000000
292,10500000,54000000
293,11500000,57000000
294,12500000,60000000
295,13500000,63000000
296,14500000,66000000
297,15500000,69000000
298,16500000,72000000
299,0,0
