_ID,_VALUE,ModelType:string,Model:id,ChallengeCost:int[],SubLevelName:loc[],MapLevel:id[],IntimacyUnlockLv:int[],PlayerUnlockLv:int[],IsShowHeadPortrait:bool[],FirstDrop:int[][],Drop:int[][],FirstShowItem1:id[],FirstShowItemCount1:int[],FirstShowItem2:id[],FirstShowItemCount2:int[],ShowItem1:id[],ShowItemCount1:int[],ShowItem2:id[],ShowItemCount2:int[],Rules:id[],ThreeStarLoc:loc[],FailureLoc:loc[]
INTIMACY_CHALLENGE_103,103,Hero,HERO_LEIB_OLMAI,3,LOC_GUARDIAN_OF_GOD_DIFFICULT_1,LEVEL_INTIMACY_CHALLENGE_MONSTER_LEIB_OLMAI_LV_1,3,1,true,17003#100000|17901#100000,18003#100000|18901#100000,ITEM_EMBLEM_LEIB_OLMAI,10,ITEM_HERO_EVOLVE_STONE,500,ITEM_EMBLEM_LEIB_OLMAI,1,ITEM_HERO_EVOLVE_STONE,0,BATTLE_RESULT_CONDITION_1,LOC_INTIMACY_CHALLENGE_MONSTER_STAR3_LEIB_OLMAI,LOC_INTIMACY_CHALLENGE_MONSTER_FAILURE_LEIB_OLMAI
,,,,3,LOC_GUARDIAN_OF_GOD_DIFFICULT_2,LEVEL_INTIMACY_CHALLENGE_MONSTER_LEIB_OLMAI_LV_2,7,1,false,17103#100000|17901#100000,18901#100000,ITEM_EMBLEM_LEIB_OLMAI,5,ITEM_HERO_EVOLVE_STONE,500,None,0,ITEM_HERO_EVOLVE_STONE,0,BATTLE_RESULT_CONDITION_2,LOC_INTIMACY_CHALLENGE_PET_STAR3_CONDITION_3_MONSTER,LOC_INTIMACY_CHALLENGE_PET_FAILURE_PORING
,,,,3,LOC_GUARDIAN_OF_GOD_DIFFICULT_3,LEVEL_INTIMACY_CHALLENGE_MONSTER_LEIB_OLMAI_LV_3,11,1,true,17003#100000|17901#100000,18003#100000|18901#100000,ITEM_EMBLEM_LEIB_OLMAI,10,ITEM_HERO_EVOLVE_STONE,500,ITEM_EMBLEM_LEIB_OLMAI,1,ITEM_HERO_EVOLVE_STONE,0,BATTLE_RESULT_CONDITION_3,LOC_INTIMACY_CHALLENGE_PET_STAR3_CONDITION_4,LOC_INTIMACY_CHALLENGE_PET_FAILURE_LUNATIC
,,,,3,LOC_GUARDIAN_OF_GOD_DIFFICULT_4,LEVEL_INTIMACY_CHALLENGE_MONSTER_LEIB_OLMAI_LV_4,16,1,false,17103#100000|17901#100000,18901#100000,ITEM_EMBLEM_LEIB_OLMAI,5,ITEM_HERO_EVOLVE_STONE,500,None,0,ITEM_HERO_EVOLVE_STONE,0,BATTLE_RESULT_CONDITION_1,LOC_INTIMACY_CHALLENGE_MONSTER_STAR3_LEIB_OLMAI,LOC_INTIMACY_CHALLENGE_MONSTER_FAILURE_LEIB_OLMAI
,,,,3,LOC_GUARDIAN_OF_GOD_DIFFICULT_5,LEVEL_INTIMACY_CHALLENGE_MONSTER_LEIB_OLMAI_LV_5,21,1,true,17003#100000|17901#100000,18003#100000|18901#100000,ITEM_EMBLEM_LEIB_OLMAI,10,ITEM_HERO_EVOLVE_STONE,500,ITEM_EMBLEM_LEIB_OLMAI,1,ITEM_HERO_EVOLVE_STONE,0,BATTLE_RESULT_CONDITION_2,LOC_INTIMACY_CHALLENGE_PET_STAR3_CONDITION_3_MONSTER,LOC_INTIMACY_CHALLENGE_PET_FAILURE_PORING
INTIMACY_CHALLENGE_104,104,Hero,HERO_GRYPHON,3,LOC_GUARDIAN_OF_GOD_DIFFICULT_1,LEVEL_INTIMACY_CHALLENGE_MONSTER_GRYPHON_LV_1,3,1,true,17004#100000|17901#100000,18004#100000|18901#100000,ITEM_EMBLEM_GRYPHON,10,ITEM_HERO_EVOLVE_STONE,500,ITEM_EMBLEM_GRYPHON,1,ITEM_HERO_EVOLVE_STONE,0,BATTLE_RESULT_CONDITION_1,LOC_INTIMACY_CHALLENGE_MONSTER_STAR3_GRYPHON,LOC_INTIMACY_CHALLENGE_MONSTER_FAILURE_GRYPHON
,,,,3,LOC_GUARDIAN_OF_GOD_DIFFICULT_2,LEVEL_INTIMACY_CHALLENGE_MONSTER_GRYPHON_LV_2,7,1,false,17104#100000|17901#100000,18901#100000,ITEM_EMBLEM_GRYPHON,5,ITEM_HERO_EVOLVE_STONE,500,None,0,ITEM_HERO_EVOLVE_STONE,0,BATTLE_RESULT_CONDITION_2,LOC_INTIMACY_CHALLENGE_PET_STAR3_CONDITION_3_MONSTER,LOC_INTIMACY_CHALLENGE_PET_FAILURE_PORING
,,,,3,LOC_GUARDIAN_OF_GOD_DIFFICULT_3,LEVEL_INTIMACY_CHALLENGE_MONSTER_GRYPHON_LV_3,11,1,true,17004#100000|17901#100000,18004#100000|18901#100000,ITEM_EMBLEM_GRYPHON,10,ITEM_HERO_EVOLVE_STONE,500,ITEM_EMBLEM_GRYPHON,1,ITEM_HERO_EVOLVE_STONE,0,BATTLE_RESULT_CONDITION_3,LOC_INTIMACY_CHALLENGE_PET_STAR3_CONDITION_4,LOC_INTIMACY_CHALLENGE_PET_FAILURE_LUNATIC
,,,,3,LOC_GUARDIAN_OF_GOD_DIFFICULT_4,LEVEL_INTIMACY_CHALLENGE_MONSTER_GRYPHON_LV_4,16,1,false,17104#100000|17901#100000,18901#100000,ITEM_EMBLEM_GRYPHON,5,ITEM_HERO_EVOLVE_STONE,500,None,0,ITEM_HERO_EVOLVE_STONE,0,BATTLE_RESULT_CONDITION_1,LOC_INTIMACY_CHALLENGE_MONSTER_STAR3_GRYPHON,LOC_INTIMACY_CHALLENGE_MONSTER_FAILURE_GRYPHON
,,,,3,LOC_GUARDIAN_OF_GOD_DIFFICULT_5,LEVEL_INTIMACY_CHALLENGE_MONSTER_GRYPHON_LV_5,21,1,true,17004#100000|17901#100000,18004#100000|18901#100000,ITEM_EMBLEM_GRYPHON,10,ITEM_HERO_EVOLVE_STONE,500,ITEM_EMBLEM_GRYPHON,1,ITEM_HERO_EVOLVE_STONE,0,BATTLE_RESULT_CONDITION_2,LOC_INTIMACY_CHALLENGE_PET_STAR3_CONDITION_3_MONSTER,LOC_INTIMACY_CHALLENGE_PET_FAILURE_PORING
