_ID,_VALUE,FoodId:id,BaseIntimacy:int,PlusIntimacy:int,ObjectType:string[],Object:id[]
APPLE,1,ITEM_FOOD_APPLE,40,10,Hero,HERO_DEVILING
,,,,,Hero,HERO_ANGELING
,,,,,Hero,HERO_TURTLE_GENERAL
,,,,,Hero,HERO_SEYREN
,,,,,Hero,HERO_DRACULA_BARON
,,,,,Hero,HERO_CLOWN_ALPHOCCIO
,,,,,Hero,HERO_PYURIEL
BANANA,2,ITEM_FOOD_BANANA,40,10,Hero,HERO_WANDER_MAN
,,,,,Hero,HERO_SHECI
,,,,,Hero,HERO_G_RANDEL
,,,,,Hero,HERO_MOONLIGHT
,,,,,Hero,HERO_HARWORD
,,,,,Hero,HERO_PHARAOH
,,,,,Hero,HERO_INCANTATION_SAMURAI
GRAPE,3,ITEM_FOOD_GRAPE,40,10,Hero,HERO_ALICE
,,,,,Hero,HERO_GARM
,,,,,Hero,HERO_DOPPELGANGER
,,,,,Hero,HERO_GOLDEN_BUG
,,,,,Hero,HERO_CELIA
,,,,,Hero,HERO_GYPSY_TRENTINI
CARROT,4,ITEM_FOOD_CARROT,40,10,Hero,HERO_DELETER
,,,,,Hero,HERO_GRYPHON
,,,,,Hero,HERO_G_RANDGRIS
,,,,,Hero,HERO_BAPHOMET
,,,,,Hero,HERO_BACSOJIN
,,,,,Hero,HERO_AMON_RA
DONUTS,5,ITEM_FOOD_DONUTS,40,10,Hero,HERO_PHREEONI
,,,,,Hero,HERO_OWL_BARON
,,,,,Hero,HERO_MAGALETA
,,,,,Hero,HERO_G_KATRINN
,,,,,Hero,HERO_VESPER
,,,,,Hero,HERO_CHEN
MILK,6,ITEM_FOOD_MILK,40,10,Hero,HERO_MINI_DEMON
,,,,,Hero,HERO_ORC_LORD
,,,,,Hero,HERO_ORK_HERO
,,,,,Hero,HERO_TAO_GUNKA
,,,,,Hero,HERO_GLOOMUNDERNIGHT
,,,,,Hero,HERO_LADY_TANEE
MASTELA,7,ITEM_FOOD_MASTELA,40,10,Hero,HERO_NIGHTMARE_TERROR
,,,,,Hero,HERO_OSIRIS
,,,,,Hero,HERO_DARK_ILLUSION
,,,,,Hero,HERO_DARK_LORD
,,,,,Hero,HERO_LORD_OF_DEATH
,,,,,Hero,HERO_STALKER_GERTIE
HONEY,8,ITEM_FOOD_HONEY,40,10,Hero,HERO_LEIB_OLMAI
,,,,,Hero,HERO_EDDGA
,,,,,Hero,HERO_ATROCE
,,,,,Hero,HERO_MISTRESS
,,,,,Hero,HERO_KNIGHT_OF_WINDSTORM
,,,,,Hero,HERO_LEAK
JELLY,9,ITEM_FOOD_JELLY,40,10,Hero,HERO_MAYA
,,,,,Hero,HERO_G_EREMES
,,,,,Hero,HERO_DRAKE
