_INDEX,IntimacyB:int,IntimacyA:int,IntimacyS:int,IntimacySS:int,Gift:id,GiftNum:int
0,200,200,360,400,ITEM_INTIMACY_LUCKY_BAG_1,1
1,400,400,720,800,ITEM_INTIMACY_LUCKY_BAG_1,1
2,600,600,1080,1200,ITEM_INTIMACY_LUCKY_BAG_1,1
3,1000,1000,1800,2000,ITEM_INTIMACY_LUCKY_BAG_1,1
4,1500,1500,2700,3000,ITEM_INTIMACY_LUCKY_BAG_1,1
5,2500,2500,4500,5000,ITEM_INTIMACY_LUCKY_BAG_1,1
6,2700,2700,4860,5400,ITEM_INTIMACY_LUCKY_BAG_1,1
7,2900,2900,5220,5800,ITEM_INTIMACY_LUCKY_BAG_1,1
8,3100,3100,5580,6200,ITEM_INTIMACY_LUCKY_BAG_1,1
9,3300,3300,5940,6600,ITEM_INTIMACY_LUCKY_BAG_1,1
10,3500,3500,6300,7000,ITEM_INTIMACY_LUCKY_BAG_1,1
11,3700,3700,6660,7400,ITEM_INTIMACY_LUCKY_BAG_1,1
12,3900,3900,7020,7800,ITEM_INTIMACY_LUCKY_BAG_1,1
13,4100,4100,7380,8200,ITEM_INTIMACY_LUCKY_BAG_1,1
14,4300,4300,7740,8600,ITEM_INTIMACY_LUCKY_BAG_1,1
15,4500,4500,8100,9000,ITEM_INTIMACY_LUCKY_BAG_1,1
16,4700,4700,8460,9400,ITEM_INTIMACY_LUCKY_BAG_1,1
17,4900,4900,8820,9800,ITEM_INTIMACY_LUCKY_BAG_1,1
18,5100,5100,9180,10200,ITEM_INTIMACY_LUCKY_BAG_1,1
19,5300,5300,9540,10600,ITEM_INTIMACY_LUCKY_BAG_1,1
20,5500,5500,9900,11000,ITEM_INTIMACY_LUCKY_BAG_1,1
21,5700,5700,10260,11400,ITEM_INTIMACY_LUCKY_BAG_1,1
22,5900,5900,10620,11800,ITEM_INTIMACY_LUCKY_BAG_1,1
23,6100,6100,10980,12200,ITEM_INTIMACY_LUCKY_BAG_1,1
24,6300,6300,11340,12600,ITEM_INTIMACY_LUCKY_BAG_1,1
