_ID,_VALUE,Name:string,Category:string,BagSort:int,BagCategory:int,#BagCategoryType:string,SubCategory:string,GotoType:string,HeroName:id,CategoryDes:string,Rarity:id,NameKey:loc,DesKey:loc,UISpriteIcon:string,UISmallSpriteIcon:string,UIShopIcon:string,ExchangeItem:id,ExchangeNum:int,Price:int,SparItemId:id,EquipmentAttributeId:id,RandomPackageDrop:int{},SkinTimeLimit:id,SkinSaleItem:id,SkinSaleNum:int,IsShowInDrop:bool
ITEM_GOLD,1,Zeny ,Currency,601,0,0-不显示,,,,货币,RARITY_TYPE_BLUE,LOC_ITEM_NAMECN_ITEM_GOLD,LOC_ITEM_DESCN_ITEM_GOLD,Icon_Currency_Gold_M2,Icon_Currency_Gold_M2,,,,0,,,,,,,FALSE
ITEM_KNIGHTS_EXP,2,EXP,Currency,602,0,1-装备,,,,货币,RARITY_TYPE_BLUE,LOC_ITEM_NAMECN_ITEM_KNIGHTS_EXP,LOC_ITEM_DESCN_ITEM_KNIGHTS_EXP,Icon_Currency_PlayerExp_M2,Icon_Currency_PlayerExp_M2,Icon_Currency_PlayerExp_M,,,0,,,,,,,FALSE
ITEM_RUSH_TICKET,3,$$$$$$$$$$$$$$$$$$$$$$$$$,Currency,211,3,2-徽章,,,,货币,RARITY_TYPE_PURPLE,LOC_ITEM_NAMECN_ITEM_RUSH_TICKET,LOC_ITEM_DESCN_ITEM_RUSH_TICKET,Icon_Currency_RushTickets_M,Icon_Currency_RushTickets_M2,,,,0,,,,,,,FALSE
ITEM_ENERGY,4,AP,Currency,603,0,3-消耗品,,,,货币,RARITY_TYPE_BLUE,LOC_ITEM_NAMECN_ITEM_ENERGY,LOC_ITEM_DESCN_ITEM_ENERGY,Icon_Currency_Energy_M,,,,,0,,,,,,,FALSE
ITEM_CRUSADE_COIN,5,Midgard Coin,Currency,604,0,4-其他,,,,货币,RARITY_TYPE_BLUE,LOC_ITEM_NAMECN_ITEM_CRUSADE_COIN,LOC_ITEM_DESCN_ITEM_CRUSADE_COIN,Icon_Currency_Gold_Crusade_M2,Icon_Currency_Gold_Crusade_M2,,,,0,,,,,,,FALSE
ITEM_BATTLE_SOUL_PACKAGE_1,6,$$$$$$$$$$$$$$$$$$$$$$$$$,Consumables,101,4,,,,,消耗品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_SoulPackage1,,icon_Stone_Affinage_L0,ITEM_BATTLE_SOUL,600,0,,,,,,,FALSE
ITEM_BATTLE_SOUL_PACKAGE_2,7,$$$$$$$$$$$$$$$$$$$$$$$$$,Consumables,102,4,,,,,消耗品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_SoulPackage2,,icon_Stone_Affinage_L0,ITEM_BATTLE_SOUL,1200,0,,,,,,,FALSE
ITEM_BATTLE_SOUL_PACKAGE_3,8,$$$$$$$$$$$$$$$$$$$$$$$$$,Consumables,103,4,,,,,消耗品,RARITY_TYPE_BLUE,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_SoulPackage3,,icon_Stone_Affinage_L1,ITEM_BATTLE_SOUL,6000,0,,,,,,,FALSE
ITEM_BATTLE_SOUL_PACKAGE_4,9,$$$$$$$$$$$$$$$$$$$$$$$$$,Consumables,104,4,,,,,消耗品,RARITY_TYPE_PURPLE,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_SoulPackage4,,icon_Stone_Affinage_L1,ITEM_BATTLE_SOUL,12000,0,,,,,,,FALSE
ITEM_DIMENSITY,10,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,605,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Magic_Crystal,,,,,0,,,,,,,FALSE
ITEM_MAGIC_CHARM,11,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,606,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Runes,,,,,0,,,,,,,FALSE
ITEM_ANKLET,12,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,607,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Anklet,,,,,0,,,,,,,FALSE
ITEM_ANCIENT_BOOKS,13,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,608,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Ancient_Book,,,,,0,,,,,,,FALSE
ITEM_CRYSTAL,14,Golden Poring,Currency,609,0,,,,,货币,RARITY_TYPE_RED,LOC_ITEM_NAMECN_ITEM_CRYSTAL,LOC_ITEM_DESCN_ITEM_CRYSTAL,Icon_Currency_Crystal_M2,Icon_Currency_Crystal_M2,,,,0,,,,,,,FALSE
ITEM_LIGHT_FRAGMENT,15,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,610,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Light_Piece,,,,,0,,,,,,,FALSE
ITEM_BATTLE_SOUL,16,Monster Spirit,Currency,611,0,,,,,货币,RARITY_TYPE_BLUE,LOC_ITEM_NAMECN_ITEM_BATTLE_SOUL,LOC_ITEM_DESCN_ITEM_BATTLE_SOUL,Icon_Currency_Soul_M2,Icon_Currency_Soul_M2,,,,0,,,,,,,FALSE
ITEM_EMERGENCY_MEDICINE,17,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,612,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Potion,,,,,0,,,,,,,FALSE
ITEM_HERBAL_MEDICINE,18,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,613,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Herb,,,,,0,,,,,,,FALSE
ITEM_GRAIN,19,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,614,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Cereal,,,,,0,,,,,,,FALSE
ITEM_ARMOR,20,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,615,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Armour,,,,,0,,,,,,,FALSE
ITEM_HILL_STONE,21,$$$$$$$$$$$$$$$$$$$$$$$$$,EquipmentEvolveResource,616,0,,,,,装备进阶素材,RARITY_TYPE_BLUE,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Hill_Dust,,,,,0,,,,,,,FALSE
ITEM_VIP_EXP,22,$$$$$$$$$$$$$$$$$$$$$$$$$,Currency,617,0,,,,,货币,RARITY_TYPE_BLUE,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_VIP_Exp,,,,,0,,,,,,,FALSE
EQUIPMENT_EVOLVE_RESOURCE_3,23,$$$$$$$$$$$$$$$$$$$$$$$$$,EquipmentEvolveResource,618,0,,,,,装备进阶素材,RARITY_TYPE_PURPLE,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Hill_Star,,,,,0,,,,,,,FALSE
ITEM_BUCKET,24,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,619,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Bucket,,,,,0,,,,,,,FALSE
ITEM_EMERGENCY_MEDICINE_1,25,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,620,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Potion,,,,,0,,,,,,,FALSE
ITEM_EMERGENCY_MEDICINE_2,26,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,621,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Potion,,,,,0,,,,,,,FALSE
ITEM_EMERGENCY_MEDICINE_3,27,$$$$$$$$$$$$$$$$$$$$$$$$$,Quest,622,0,,,,,任务物品,RARITY_TYPE_GREEN,LOC_HOME_SHOW_REWARD_LIMIT,,Icon_Quest_Potion,,,,,0,,,,,,,FALSE
