_ID,_VALUE,SplinterId:id,ComposeNum:int,ItemId:id,DropId:int,Icon:string
ITEM_COMPOSE_1,1,ITEM_TREASURE_EXCHANGE_TICKET_SPLINTER,10,ITEM_TREASURE_EXCHANGE_TICKET,0,
ITEM_COMPOSE_10001,10001,ITEM_MONSTER_SPLINTER_ALL_1,20,None,100001,ICON_RandomMonster
ITEM_COMPOSE_10002,10002,ITEM_MONSTER_SPLINTER_ALL_2,30,None,100002,ICON_RandomMonster
ITEM_COMPOSE_10003,10003,ITEM_MONSTER_SPLINTER_ALL_3,50,None,100003,ICON_RandomMonster
ITEM_COMPOSE_10004,10004,ITEM_MONSTER_SPLINTER_ALL_4,60,None,100004,ICON_RandomMonster
ITEM_COMPOSE_10005,10005,ITEM_MONSTER_SPLINTER_SCISSORS_1,20,None,100005,ICON_RandomMonster
ITEM_COMPOSE_10006,10006,ITEM_MONSTER_SPLINTER_SCISSORS_2,30,None,100006,ICON_RandomMonster
ITEM_COMPOSE_10007,10007,ITEM_MONSTER_SPLINTER_SCISSORS_3,50,None,100007,ICON_RandomMonster
ITEM_COMPOSE_10008,10008,ITEM_MONSTER_SPLINTER_SCISSORS_4,60,None,100008,ICON_RandomMonster
ITEM_COMPOSE_10009,10009,ITEM_MONSTER_SPLINTER_ROCK_1,20,None,100009,ICON_RandomMonster
ITEM_COMPOSE_10010,10010,ITEM_MONSTER_SPLINTER_ROCK_2,30,None,100010,ICON_RandomMonster
ITEM_COMPOSE_10011,10011,ITEM_MONSTER_SPLINTER_ROCK_3,50,None,100011,ICON_RandomMonster
ITEM_COMPOSE_10012,10012,ITEM_MONSTER_SPLINTER_ROCK_4,60,None,100012,ICON_RandomMonster
ITEM_COMPOSE_10013,10013,ITEM_MONSTER_SPLINTER_PAPER_1,20,None,100013,ICON_RandomMonster
ITEM_COMPOSE_10014,10014,ITEM_MONSTER_SPLINTER_PAPER_2,30,None,100014,ICON_RandomMonster
ITEM_COMPOSE_10015,10015,ITEM_MONSTER_SPLINTER_PAPER_3,50,None,100015,ICON_RandomMonster
ITEM_COMPOSE_10016,10016,ITEM_MONSTER_SPLINTER_PAPER_4,60,None,100016,ICON_RandomMonster
ITEM_COMPOSE_10017,10017,ITEM_MONSTER_SPLINTER_BLACK_1,20,None,100017,ICON_RandomMonster
ITEM_COMPOSE_10018,10018,ITEM_MONSTER_SPLINTER_BLACK_2,30,None,100018,ICON_RandomMonster
ITEM_COMPOSE_10019,10019,ITEM_MONSTER_SPLINTER_BLACK_3,50,None,100019,ICON_RandomMonster
ITEM_COMPOSE_10020,10020,ITEM_MONSTER_SPLINTER_BLACK_4,60,None,100020,ICON_RandomMonster
ITEM_COMPOSE_10021,10021,ITEM_MONSTER_SPLINTER_WHITE_1,20,None,100021,ICON_RandomMonster
ITEM_COMPOSE_10022,10022,ITEM_MONSTER_SPLINTER_WHITE_2,30,None,100022,ICON_RandomMonster
ITEM_COMPOSE_10023,10023,ITEM_MONSTER_SPLINTER_WHITE_3,50,None,100023,ICON_RandomMonster
ITEM_COMPOSE_10024,10024,ITEM_MONSTER_SPLINTER_WHITE_4,60,None,100024,ICON_RandomMonster
ITEM_COMPOSE_10025,10025,ITEM_MONSTER_SPLINTER_BW_SS,60,None,100025,ICON_RandomMonster
ITEM_COMPOSE_10026,10026,ITEM_MONSTER_SPLINTER_RPS_SS,60,None,100026,ICON_RandomMonster
