_ID,_VALUE,ExchangeItem:id[],ExchangeNum:int[]
ITEM_PACKAGE_BREAK_KNIGHT_WHITE,1,ITEM_CORPS_BREAK_KNIGHT_WHITE_1,5
,,ITEM_CORPS_BREAK_KNIGHT_WHITE_2,5
,,ITEM_CORPS_BREAK_KNIGHT_WHITE_3,5
,,ITEM_CORPS_BREAK_KNIGHT_WHITE_4,5
ITEM_PACKAGE_BREAK_KNIGHT_GREEN,2,ITEM_CORPS_BREAK_KNIGHT_GREEN_1,5
,,ITEM_CORPS_BREAK_KNIGHT_GREEN_2,5
,,ITEM_CORPS_BREAK_KNIGHT_GREEN_3,5
,,ITEM_CORPS_BREAK_KNIGHT_GREEN_4,5
ITEM_PACKAGE_BREAK_KNIGHT_BLUE,3,ITEM_CORPS_BREAK_KNIGHT_BLUE_1,5
,,ITEM_CORPS_BREAK_KNIGHT_BLUE_2,5
,,ITEM_CORPS_BREAK_KNIGHT_BLUE_3,5
,,ITEM_CORPS_BREAK_KNIGHT_BLUE_4,5
ITEM_PACKAGE_BREAK_KNIGHT_BLUE_2,4,ITEM_CORPS_BREAK_KNIGHT_BLUE_6,5
,,ITEM_CORPS_BREAK_KNIGHT_BLUE_7,5
,,ITEM_CORPS_BREAK_KNIGHT_BLUE_8,5
,,ITEM_CORPS_BREAK_KNIGHT_BLUE_9,5
ITEM_PACKAGE_BREAK_KNIGHT_PURPLE,5,ITEM_CORPS_BREAK_KNIGHT_PURPLE_1,5
,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_2,5
,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_3,5
,,ITEM_CORPS_BREAK_KNIGHT_PURPLE_4,5
ITEM_PACKAGE_BREAK_INFANTRY_WHITE,6,ITEM_CORPS_BREAK_INFANTRY_WHITE_1,5
,,ITEM_CORPS_BREAK_INFANTRY_WHITE_2,5
,,ITEM_CORPS_BREAK_INFANTRY_WHITE_3,5
,,ITEM_CORPS_BREAK_INFANTRY_WHITE_4,5
ITEM_PACKAGE_BREAK_INFANTRY_GREEN,7,ITEM_CORPS_BREAK_INFANTRY_GREEN_1,5
,,ITEM_CORPS_BREAK_INFANTRY_GREEN_2,5
,,ITEM_CORPS_BREAK_INFANTRY_GREEN_3,5
,,ITEM_CORPS_BREAK_INFANTRY_GREEN_4,5
ITEM_PACKAGE_BREAK_INFANTRY_BLUE,8,ITEM_CORPS_BREAK_INFANTRY_BLUE_1,5
,,ITEM_CORPS_BREAK_INFANTRY_BLUE_2,5
,,ITEM_CORPS_BREAK_INFANTRY_BLUE_3,5
,,ITEM_CORPS_BREAK_INFANTRY_BLUE_4,5
ITEM_PACKAGE_BREAK_INFANTRY_BLUE_2,9,ITEM_CORPS_BREAK_INFANTRY_BLUE_6,5
,,ITEM_CORPS_BREAK_INFANTRY_BLUE_7,5
,,ITEM_CORPS_BREAK_INFANTRY_BLUE_8,5
,,ITEM_CORPS_BREAK_INFANTRY_BLUE_9,5
ITEM_PACKAGE_BREAK_INFANTRY_PURPLE,10,ITEM_CORPS_BREAK_INFANTRY_PURPLE_1,5
,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_2,5
,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_3,5
,,ITEM_CORPS_BREAK_INFANTRY_PURPLE_4,5
ITEM_PACKAGE_BREAK_ARCHER_WHITE,11,ITEM_CORPS_BREAK_ARCHER_WHITE_1,5
,,ITEM_CORPS_BREAK_ARCHER_WHITE_2,5
,,ITEM_CORPS_BREAK_ARCHER_WHITE_3,5
,,ITEM_CORPS_BREAK_ARCHER_WHITE_4,5
ITEM_PACKAGE_BREAK_ARCHER_GREEN,12,ITEM_CORPS_BREAK_ARCHER_GREEN_1,5
,,ITEM_CORPS_BREAK_ARCHER_GREEN_2,5
,,ITEM_CORPS_BREAK_ARCHER_GREEN_3,5
,,ITEM_CORPS_BREAK_ARCHER_GREEN_4,5
ITEM_PACKAGE_BREAK_ARCHER_BLUE,13,ITEM_EMBLEM_ALICE,1000
,,ITEM_EMBLEM_ALICE,1000
,,ITEM_EMBLEM_ALICE,1000
,,ITEM_EMBLEM_ALICE,1000
,,ITEM_EMBLEM_ALICE,1000
,,ITEM_EMBLEM_ALICE,1000
,,ITEM_EMBLEM_ALICE,1000
,,ITEM_EMBLEM_ALICE,1000
,,ITEM_EMBLEM_ALICE,1000
,,ITEM_EMBLEM_ALICE,1000
