_INDEX,SkillLevelUpPrice:int,CharacterLevelUpPrice:int
0,100,200
1,500,1000
2,1000,2000
3,1500,3000
4,2000,4000
5,2500,5000
6,3000,6000
7,3500,7000
8,4000,8000
9,4500,9000
10,5000,10000
11,5500,11000
12,6000,12000
13,6500,13000
14,7000,14000
15,7500,15000
16,8000,16000
17,8500,17000
18,9000,18000
19,9500,19000
20,10000,20000
21,10500,21000
22,11000,22000
23,11500,23000
24,12000,24000
25,12500,25000
26,13000,26000
27,13500,27000
28,14000,28000
29,14500,29000
30,15000,30000
31,15500,31000
32,16000,32000
33,16500,33000
34,17000,34000
35,17500,35000
36,18000,36000
37,18500,37000
38,19000,38000
39,19500,39000
40,20000,40000
41,21000,42000
42,22000,44000
43,23000,46000
44,24000,48000
45,25000,50000
46,26000,52000
47,27000,54000
48,28000,56000
49,29000,58000
50,30000,60000
51,31000,62000
52,32000,64000
53,33000,66000
54,34000,68000
55,35000,70000
56,36000,72000
57,37000,74000
58,38000,76000
59,39000,78000
60,40000,80000
61,41000,82000
62,42000,84000
63,43000,86000
64,44000,88000
65,45000,90000
66,46000,92000
67,47000,94000
68,48000,96000
69,49000,98000
70,50000,100000
71,51000,102000
72,52000,104000
73,53000,106000
74,54000,108000
75,55000,110000
76,56000,112000
77,57000,114000
78,58000,116000
79,59000,118000
80,60000,120000
81,61000,122000
82,62000,124000
83,63000,126000
84,64000,128000
85,65000,130000
86,66000,132000
87,67000,134000
88,68000,136000
89,69000,138000
90,70000,140000
91,71000,142000
92,72000,144000
93,73000,146000
94,74000,148000
95,75000,150000
96,76000,152000
97,77000,154000
98,78000,156000
99,79000,158000
100,80000,160000
101,81000,162000
102,82000,164000
103,83000,166000
104,84000,168000
105,85000,170000
106,86000,172000
107,87000,174000
108,88000,176000
109,89000,178000
110,90000,180000
111,91000,182000
112,92000,184000
113,93000,186000
114,94000,188000
115,95000,190000
116,96000,192000
117,97000,194000
118,98000,196000
119,99000,198000
