_ID,_VALUE,LoadingPic:string[],Weight:int[],TiggerType:string[],TiggerParam:int[][]
LOADING_LOGIN_1,1,PAN_Loading_1,100,Login,0
,,,,Level,1
LOADING_LOGIN_2,2,110,100,Day,1#3
,,,,Login,0
LOADING_LOGIN_3,3,PAN_Loading_3,70,Day,4#99999
,,PAN_Loading_4,30,Login,0
LOADING_MAP_LEVEL_ENTER_1,4,137,100,MapLevelEnter,101
LOADING_MAP_LEVEL_ENTER_2,5,106,100,MapLevelEnter,102
LOADING_MAP_LEVEL_ENTER_3,6,102,100,MapLevelEnter,103
LOADING_MAP_LEVEL_ENTER_4,7,109,100,MapLevelEnter,104
LOADING_MAP_LEVEL_ENTER_5,8,111,100,MapLevelEnter,105
LOADING_MAP_LEVEL_ENTER_6,9,120,100,MapLevelEnter,106
LOADING_MAP_LEVEL_ENTER_7,10,104,100,MapLevelEnter,107
LOADING_MAP_LEVEL_ENTER_8,11,131,100,MapLevelEnter,201
LOADING_MAP_LEVEL_ENTER_9,12,110,100,MapLevelEnter,202
LOADING_MAP_LEVEL_ENTER_10,13,128,100,MapLevelEnter,203
LOADING_MAP_LEVEL_ENTER_11,14,PAN_Loading_9,100,MapLevelEnter,204
LOADING_MAP_LEVEL_ENTER_12,15,129,100,MapLevelEnter,205
LOADING_MAP_LEVEL_ENTER_13,16,PAN_Loading_10,100,MapLevelEnter,206
LOADING_MAP_LEVEL_ENTER_14,17,115,100,MapLevelEnter,207
LOADING_MAP_LEVEL_ENTER_15,18,128,100,MapLevelEnter,208
LOADING_MAP_LEVEL_ENTER_16,19,132,100,MapLevelEnter,209
LOADING_MAP_LEVEL_ENTER_17,20,122,100,MapLevelEnter,210
LOADING_MAP_LEVEL_ENTER_18,21,116,100,MapLevelEnter,301
LOADING_MAP_LEVEL_ENTER_19,22,108,100,MapLevelEnter,302
LOADING_MAP_LEVEL_ENTER_20,23,132,100,MapLevelEnter,305
LOADING_MAP_LEVEL_ENTER_21,24,119,100,MapLevelEnter,307
LOADING_MAP_LEVEL_ENTER_22,25,118,100,MapLevelEnter,309
LOADING_MAP_LEVEL_ENTER_23,26,107,100,MapLevelEnter,310
LOADING_MAP_LEVEL_ENTER_24,27,120,100,MapLevelEnter,312
LOADING_MAP_LEVEL_ENTER_25,28,113,100,MapLevelEnter,315
LOADING_MAP_LEVEL_ENTER_26,29,132,100,MapLevelEnter,401
LOADING_MAP_LEVEL_ENTER_27,30,110,100,MapLevelEnter,403
LOADING_MAP_LEVEL_ENTER_28,31,130,100,MapLevelEnter,405
LOADING_MAP_LEVEL_ENTER_29,32,125,100,MapLevelEnter,407
LOADING_MAP_LEVEL_OUT_1,33,PAN_Loading_2,100,MapLevelNext,101
LOADING_MAP_LEVEL_OUT_2,34,PAN_Loading_3,100,MapLevelNext,102
LOADING_MAP_LEVEL_OUT_3,35,PAN_Loading_3,100,MapLevelNext,103
LOADING_MAP_LEVEL_OUT_4,36,PAN_Loading_9,100,MapLevelNext,104
LOADING_MAP_LEVEL_OUT_5,37,127,100,MapLevelNext,105
LOADING_MAP_LEVEL_OUT_6,38,110,100,MapLevelNext,106
LOADING_MAP_LEVEL_OUT_7,39,120,100,MapLevelNext,107
LOADING_MAP_LEVEL_OUT_8,40,PAN_Loading_7,100,MapLevelNext,201
LOADING_MAP_LEVEL_OUT_9,41,PAN_Loading_8,100,MapLevelNext,202
LOADING_MAP_LEVEL_OUT_10,42,PAN_Loading_10,100,MapLevelNext,203
LOADING_MAP_LEVEL_OUT_11,43,124,100,MapLevelNext,204
LOADING_MAP_LEVEL_OUT_12,44,PAN_Loading_8,100,MapLevelNext,205
LOADING_MAP_LEVEL_OUT_13,45,129,100,MapLevelNext,206
LOADING_MAP_LEVEL_OUT_14,46,133,100,MapLevelNext,207
LOADING_MAP_LEVEL_OUT_15,47,110,100,MapLevelNext,208
LOADING_MAP_LEVEL_OUT_16,48,116,100,MapLevelNext,209
LOADING_MAP_LEVEL_OUT_17,49,117,100,MapLevelNext,210
LOADING_MAP_LEVEL_OUT_18,50,121,100,MapLevelNext,303
LOADING_MAP_LEVEL_OUT_19,51,132,100,MapLevelNext,304
LOADING_MAP_LEVEL_OUT_20,52,124,100,MapLevelNext,306
LOADING_MAP_LEVEL_OUT_21,53,131,100,MapLevelNext,308
LOADING_MAP_LEVEL_OUT_22,54,118,100,MapLevelNext,310
LOADING_MAP_LEVEL_OUT_23,55,120,100,MapLevelNext,313
LOADING_MAP_LEVEL_OUT_24,56,PAN_Loading_10,100,MapLevelNext,401
LOADING_MAP_LEVEL_OUT_25,57,123,100,MapLevelNext,402
LOADING_MAP_LEVEL_OUT_26,58,110,100,MapLevelNext,404
LOADING_COMMON_1,999,PAN_Loading_3,49,VipLevel,0#5
,,PAN_Loading_4,21,Common,0
,,PAN_Loading_5,30,DailyTiggerTimesLimit1,2
LOADING_COMMON_2,1000,PAN_Loading_3,58,Common,0
,,PAN_Loading_4,30,,
,,PAN_Loading_8,4,,
,,PAN_Loading_9,4,,
,,PAN_Loading_10,4,,
