_ID,_VALUE,#Name:string,ChoicePoolId:int,ChoicePoolPos:int[],Times:int,#Remark:string,DropTimes:int,GuaranteeTimes:int,DrawQuestNum:int,isCountinQuest:int,DropID:id[],DropWeight:int[],GuaranteeWeight:int[],DropWeightChoice:int[],GuaranteeWeightChoice:int[],CostItem1:id,CostNum1:int,CostItem2:id,CostNum2:int,HatchEnergy:int,OpenTime:int,StartTime:int,EndTime:int,ShowRate:loc[],ShowTips:loc,Name:loc,Prefab:string,Sort:int,LinkID:id,Hero:id[]
LOTTERY_FRIEND,1,友情-单抽,0,0,1,,1,0,0,0,DROP_RO_LOTTERY_FRIEND_1,22,0,,,ITEM_FRIENDSHIP_VOUCHER,1,,,0,,,,,LOC_PAN_LOTTERY_TIPS_3,LOC_PAN_LOTTERY_9,MAIN_FRIEND,1,LOTTERY_FRIEND_TEN,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_2,48,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_3,80,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_4,100,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_5,100,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_6,30,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_7,80,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_8,100,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_9,150,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_10,40,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_11,50,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_12,200,0,,,,,,,,,,,,,,,,,
LOTTERY_FRIEND_TEN,2,友情-十连,0,0,10,,10,0,0,0,DROP_RO_LOTTERY_FRIEND_1,22,0,,,ITEM_FRIENDSHIP_VOUCHER,10,,,0,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_2,48,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_3,80,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_4,100,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_5,100,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_6,30,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_7,80,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_8,100,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_9,150,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_10,40,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_11,50,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_FRIEND_12,200,0,,,,,,,,,,,,,,,,,
LOTTERY_NORMAL,3,基础-单抽,0,0,1,,1,0,1,0,DROP_RO_LOTTERY_NORMAL_1,20,0,,,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,,,,,LOC_PAN_LOTTERY_TIPS_2,LOC_PAN_LOTTERY_8,MAIN_MONSTER,2,LOTTERY_NORMAL_TEN,
,,,,,,,,,,,DROP_RO_LOTTERY_NORMAL_2,180,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_NORMAL_3,220,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_NORMAL_4,530,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_NORMAL_5,50,0,,,,,,,,,,,,,,,,,
LOTTERY_NORMAL_TEN,4,基础-十连,0,0,10,,9,1,10,1,DROP_RO_LOTTERY_NORMAL_1,20,20,,,ITEM_BANQUET_TICKET,10,ITEM_CRYSTAL,2500,100,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_NORMAL_2,180,930,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_NORMAL_3,220,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_NORMAL_4,530,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_NORMAL_5,50,50,,,,,,,,,,,,,,,,,
LOTTERY_UP,5,UP池-单抽,0,0,1,,1,0,1,0,DROP_RO_LOTTERY_UP_1,7,0,,,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,,1546272000,1546272001,LOC_PAN_LOTTERY_RULE_6,LOC_PAN_LOTTERY_TIPS_4,LOC_PAN_LOTTERY_LABEL_3,MAIN_UP,999,LOTTERY_UP_TEN,HERO_BAPHOMET
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,0,,,,,,,,,,,LOC_PAN_LOTTERY_RULE_7,,,,,,HERO_DARK_LORD
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,LOC_PAN_LOTTERY_RULE_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,LOC_PAN_LOTTERY_FAQ_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_6,13,0,,,,,,,,,,,,,,,,,
LOTTERY_UP_TEN,6,UP池-十连,0,0,10,,9,1,10,1,DROP_RO_LOTTERY_UP_1,7,7,,,ITEM_BANQUET_TICKET,10,ITEM_CRYSTAL,2500,100,,1546272000,1546272001,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_2,180,930,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_3,220,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_4,530,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_5,50,50,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_UP_6,13,13,,,,,,,,,,,,,,,,,
LOTTERY_CHOICE,7,精选池-单抽,2,6,1,ChoicePoolPos第一行表示精选池对应的掉落组,1,0,1,0,DROP_RO_LOTTERY_CHOICE_1,7,0,0,0,ITEM_BANQUET_TICKET,1,ITEM_CRYSTAL,250,10,,1574197767,1575061767,LOC_LOTTERY_ADD_10,LOC_PAN_LOTTERY_TIPS_2,LOC_PAN_LOTTERY_LABEL_4,MAIN_CHOICE,1000,LOTTERY_CHOICE_TEN,HERO_MOONLIGHT
,,,,1,,ChoicePoolPos第二行开始表示SS的掉落组，抽到后程序替换第一行对应掉落组,,,,,DROP_RO_LOTTERY_CHOICE_2,180,0,180,0,,,,,,,,,LOC_PAN_LOTTERY_FAQ_10,,,,,,HERO_MISTRESS
,,,,,,ChoicePoolId字段表示精选池id，重复的无法再次参与,,,,,DROP_RO_LOTTERY_CHOICE_3,220,0,220,0,,,,,,,,,LOC_PAN_LOTTERY_FAQ_5,,,,,,HERO_PHREEONI
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_4,530,0,530,0,,,,,,,,,LOC_PAN_LOTTERY_FAQ_9,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_5,50,0,50,0,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_6,13,0,20,0,,,,,,,,,,,,,,,
LOTTERY_CHOICE_TEN,8,精选池-十连,2,6,10,,9,1,10,1,DROP_RO_LOTTERY_CHOICE_1,7,7,0,0,ITEM_BANQUET_TICKET,10,ITEM_CRYSTAL,2500,100,,1574197767,1575061767,,,,,,,
,,,,1,,,,,,,DROP_RO_LOTTERY_CHOICE_2,180,930,180,930,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_3,220,0,220,0,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_4,530,0,530,0,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_5,50,50,50,50,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_CHOICE_6,13,13,20,20,,,,,,,,,,,,,,,
LOTTERY_POINT,9,累计积分抽奖,0,0,1,,1,0,0,0,DROP_RO_LOTTERY_POINT_1,75,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_POINT_2,775,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_RO_LOTTERY_POINT_3,150,0,,,,,,,,,,,,,,,,,
LOTTERY_SS_MONSTER,10,必出SS魔物的奖池,0,0,1,,1,0,0,0,DROP_RO_LOTTERY_SS_MONSTER_1,1,0,,,,,,,,,,,,,,,,,
LOTTERY_SS_SCROLL,11,必出SS宠物的奖池,0,0,1,,1,0,0,0,DROP_RO_LOTTERY_SS_PET_1,1,0,,,,,,,,,,,,,,,,,
LOTTERY_FIRST_ONE,12,教程-单抽,0,0,1,,1,0,1,0,DROP_GUIDE_MONSTR_1,1,0,,,ITEM_CRYSTAL,0,,,10,,,,,,,,,,
LOTTERY_FIRST_TEN,13,教程-十连抽,0,0,10,,10,,0,0,DROP_GUIDE_PET_1,1,0,,,ITEM_FRIENDSHIP_VOUCHER,10,,,0,,,,,,,,,,
,,,,,,,,,,,DROP_GUIDE_PET_2,1,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_GUIDE_PET_3,1,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_GUIDE_PET_4,1,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,DROP_GUIDE_PET_5,1,0,,,,,,,,,,,,,,,,,
