_ID,_VALUE,LastLevel:int,NameKey:loc,#Name:string,DesKey:loc,EnemyComatEff:int,OpenOurSquare:bool,OurSquare:int,OpenEnemySquare:bool,EnemySquare:int,MapLevelGrade:int,MapLevelPower:int,Recommend:int,AiSkillPointAddRate:decimal,PlayerSkillPointAddRate:decimal,AiStartSkillPoint:int,PlayerStartSkillPoint:int,BGM:id,IsSignificantBattle:bool,LevelType:string,NumOfTime:int,OutputHeroExp:int,OutputHeroGold:int,OutputBattleSoul:int,OutputTeamExp:int,AutoBattleDrop:int[][],FirstReward:id,FirstRewardNumber:int,OutputItem1:id,OutputItem1Num:int,OutputItem1Percentage:decimal,OutputItem2:id,OutputItem2Num:int,OutputItem2Percentage:decimal,OutputItem3:id,OutputItem3Num:int,OutputItem3Percentage:decimal,OutputItem4:id,OutputItem4Num:int,OutputItem4Percentage:decimal,OutputItem5:id,OutputItem5Num:int,OutputItem5Percentage:decimal,MapFileName:string,PlayerFileName:string,BattleScene:string,StartBattleCutscene:id,EnterBattleCutscene:id,RecommendedLevel:int,LevelReward:id,LevelRewardNum:int,IsBossLevel:bool,IsEndPoint:bool,JammingRule:string,OnHookScene:string,OnHookBGM:id
LEVEL_101,101,,,普隆德拉,,,FALSE,,FALSE,,1,0,200,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,1,1,0,,None,0,ITEM_GOLD,1000,1,ITEM_BATTLE_SOUL,500,1,ITEM_EMBLEM_SOHEE,30,1,,,,ITEM_KNIGHTS_EXP,100,1,101,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_102,102,101,,普隆德拉,,,FALSE,,FALSE,,1,0,250,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,2,1,0,,None,0,ITEM_GOLD,1000,1,ITEM_BATTLE_SOUL,500,1,ITEM_SCROLL_EMBLEM_SPORE,30,1,,,,ITEM_KNIGHTS_EXP,200,1,102,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_103,103,102,,普隆德拉,,,FALSE,,FALSE,,1,0,300,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,3,2,0,,None,0,ITEM_GOLD,1000,1,ITEM_BATTLE_SOUL,500,1,ITEM_NEW_EQUIPMENT_1,1,1,ITEM_NEW_EQUIPMENT_2,1,1,ITEM_KNIGHTS_EXP,300,1,103,,battle_001,,,,ITEM_BATTLE_SOUL,50000,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_104,104,103,,普隆德拉,,,FALSE,,FALSE,,1,0,350,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,4,2,0,,None,0,ITEM_GOLD,1000,1,ITEM_BATTLE_SOUL,500,1,ITEM_NEW_EQUIPMENT_3,1,1,ITEM_NEW_EQUIPMENT_4,1,1,ITEM_KNIGHTS_EXP,500,1,104,,battle_001,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_105,105,104,,普隆德拉,,,FALSE,,FALSE,,1,0,500,1,0.8,2,2,BGM_BATTLE,TRUE,story,999,0,5,3,0,,None,0,ITEM_GOLD,1000,1,ITEM_BATTLE_SOUL,500,1,,,,,,,ITEM_KNIGHTS_EXP,800,1,105,,battle_001,CUTSCENE_LEVEL_105,,,ITEM_SCROLL_EMBLEM_WILOW,15,TRUE,TRUE,BossRule_105,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_201,201,105,,普隆德拉,,,FALSE,,FALSE,,1,0,1000,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,10,6,0,700001#100000|710001#10000,None,0,ITEM_GOLD,3000,1,ITEM_BATTLE_SOUL,750,1,,,,,,,ITEM_KNIGHTS_EXP,1000,1,201,,battle_001_Night,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_202,202,201,,普隆德拉,,,FALSE,,FALSE,,1,0,1200,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,11,6,1,700001#100000|710001#10000,None,0,ITEM_GOLD,3000,1,ITEM_BATTLE_SOUL,750,1,,,,,,,ITEM_KNIGHTS_EXP,1200,1,202,,battle_001_Night,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_203,203,202,,普隆德拉,,,FALSE,,FALSE,,1,0,1500,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,12,7,1,700001#100000|710001#10000,None,0,ITEM_GOLD,3000,1,ITEM_BATTLE_SOUL,750,1,ITEM_HERO_EVOLVE_STONE,250,1,ITEM_SPAR_RED_ATK_2,1,1,ITEM_KNIGHTS_EXP,1200,1,203,,battle_001_Night,,,,ITEM_EMBLEM_MINOROUS,15,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_204,204,203,,普隆德拉,,,FALSE,,FALSE,,1,0,1800,1,0.8,2,2,BGM_BATTLE,TRUE,story,999,0,13,7,1,700001#100000|710001#10000,None,0,ITEM_GOLD,3000,1,ITEM_BATTLE_SOUL,750,1,ITEM_NEW_EQUIPMENT_1,1,1,ITEM_FOOD_APPLE,5,1,ITEM_KNIGHTS_EXP,1200,1,204,,battle_001_Night,,,,,,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
LEVEL_205,205,204,,普隆德拉,,,FALSE,,FALSE,,1,0,2000,1,0.8,2,2,BGM_BATTLE,FALSE,story,999,0,14,8,1,700001#100000|710001#10000,None,0,ITEM_GOLD,3000,1,ITEM_BATTLE_SOUL,750,1,ITEM_NEW_EQUIPMENT_2,1,1,ITEM_FOOD_BANANA,5,1,ITEM_KNIGHTS_EXP,1300,1,205,,battle_001_Night,,,,ITEM_EMBLEM_MINOROUS,15,FALSE,FALSE,,Map_on-hook_1,BGM_RO_BATTLE_PRONTERA
