_ID,_VALUE,Type:string,Level:int,AttributeType:string[],AttributeNum:obsint[],AttributeDes:loc[],SuitsId:id
NEW_EQUIPMENT_ATTRIBUTE_1,1,Armor,1,Damage,12,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_1
,,,,Magic,12,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_2,2,Helmet,1,HP,114,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_1
NEW_EQUIPMENT_ATTRIBUTE_3,3,Boots,1,HP,76,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_1
NEW_EQUIPMENT_ATTRIBUTE_4,4,Weapon,1,Damage,17,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_1
,,,,Magic,17,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_5,5,Armor,2,Damage,46,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_2
,,,,Magic,46,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_6,6,Helmet,2,HP,456,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_2
NEW_EQUIPMENT_ATTRIBUTE_7,7,Boots,2,HP,304,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_2
NEW_EQUIPMENT_ATTRIBUTE_8,8,Weapon,2,Damage,70,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_2
,,,,Magic,70,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_9,9,Armor,3,Damage,75,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_3
,,,,Magic,75,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_10,10,Helmet,3,HP,741,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_3
NEW_EQUIPMENT_ATTRIBUTE_11,11,Boots,3,HP,494,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_3
NEW_EQUIPMENT_ATTRIBUTE_12,12,Weapon,3,Damage,113,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_3
,,,,Magic,113,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_13,13,Armor,4,Damage,98,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_4
,,,,Magic,98,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_14,14,Helmet,4,HP,969,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_4
NEW_EQUIPMENT_ATTRIBUTE_15,15,Boots,4,HP,646,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_4
NEW_EQUIPMENT_ATTRIBUTE_16,16,Weapon,4,Damage,148,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_4
,,,,Magic,148,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_17,17,Armor,5,Damage,122,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_5
,,,,Magic,122,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_18,18,Helmet,5,HP,1197,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_5
NEW_EQUIPMENT_ATTRIBUTE_19,19,Boots,5,HP,798,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_5
NEW_EQUIPMENT_ATTRIBUTE_20,20,Weapon,5,Damage,182,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_5
,,,,Magic,182,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_21,21,Armor,6,Damage,151,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_6
,,,,Magic,151,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_22,22,Helmet,6,HP,1482,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_6
NEW_EQUIPMENT_ATTRIBUTE_23,23,Boots,6,HP,988,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_6
NEW_EQUIPMENT_ATTRIBUTE_24,24,Weapon,6,Damage,226,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_6
,,,,Magic,226,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_25,25,Armor,7,Damage,186,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_7
,,,,Magic,186,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_26,26,Helmet,7,HP,1824,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_7
NEW_EQUIPMENT_ATTRIBUTE_27,27,Boots,7,HP,1216,LOC_SPAR_DES_HP,NEW_EQUIPMENT_SUITS_7
NEW_EQUIPMENT_ATTRIBUTE_28,28,Weapon,7,Damage,278,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_7
,,,,Magic,278,LOC_SPAR_DES_MGK,
NEW_EQUIPMENT_ATTRIBUTE_29,29,Armor,8,Damage,232,LOC_SPAR_DES_ATK,NEW_EQUIPMENT_SUITS_8
